role_id,task_rank,masco_task_id,masco_code,task,task_source_level,source,source_page_pdf,source_url,source_retrieved_at
M121102,5,EMASCO_121102_05,121102,Monitor the effectiveness of risk management and corrective action plans.,exact_occupation,eMASCO exact occupation detail (MASCO 2020 content),,https://emasco.mohr.gov.my/masco/1211-02,2026-08-29T10:41:52+00:00
M121102,6,EMASCO_121102_06,121102,"Prepare and present audit and risk management reports, including findings and recommendations, to senior management and stakeholders.",exact_occupation,eMASCO exact occupation detail (MASCO 2020 content),,https://emasco.mohr.gov.my/masco/1211-02,2026-08-29T10:41:52+00:00
M121102,7,EMASCO_121102_07,121102,"Lead, mentor, and train audit and risk management teams to enhance performance and compliance.",exact_occupation,eMASCO exact occupation detail (MASCO 2020 content),,https://emasco.mohr.gov.my/masco/1211-02,2026-08-29T10:41:52+00:00
M121102,8,EMASCO_121102_08,121102,"Manage relationships with clients, regulatory authorities, and internal departments regarding audit and risk matters.",exact_occupation,eMASCO exact occupation detail (MASCO 2020 content),,https://emasco.mohr.gov.my/masco/1211-02,2026-08-29T10:41:52+00:00
M121102,9,EMASCO_121102_09,121102,Ensure organisational readiness for crises and implement business continuity plans.,exact_occupation,eMASCO exact occupation detail (MASCO 2020 content),,https://emasco.mohr.gov.my/masco/1211-02,2026-08-29T10:41:52+00:00
M121102,10,EMASCO_121102_10,121102,"Advise management on improving internal controls, governance, and operational efficiency.",exact_occupation,eMASCO exact occupation detail (MASCO 2020 content),,https://emasco.mohr.gov.my/masco/1211-02,2026-08-29T10:41:52+00:00
M121103,1,EMASCO_121103_01,121103,"Plan, organise, lead, control, and coordinate credit operations.",exact_occupation,eMASCO exact occupation detail (MASCO 2020 content),,https://emasco.mohr.gov.my/masco/1211-03,2026-08-29T10:41:52+00:00
M121103,2,EMASCO_121103_02,121103,Review and assess credit applications and associated risks.,exact_occupation,eMASCO exact occupation detail (MASCO 2020 content),,https://emasco.mohr.gov.my/masco/1211-03,2026-08-29T10:41:52+00:00
M121103,3,EMASCO_121103_03,121103,Establish and manage customer credit limits.,exact_occupation,eMASCO exact occupation detail (MASCO 2020 content),,https://emasco.mohr.gov.my/masco/1211-03,2026-08-29T10:41:52+00:00
M121103,4,EMASCO_121103_04,121103,Develop and implement organisational credit policies.,exact_occupation,eMASCO exact occupation detail (MASCO 2020 content),,https://emasco.mohr.gov.my/masco/1211-03,2026-08-29T10:41:52+00:00
M121103,5,EMASCO_121103_05,121103,Monitor customer payment behaviour and resolve overdue accounts.,exact_occupation,eMASCO exact occupation detail (MASCO 2020 content),,https://emasco.mohr.gov.my/masco/1211-03,2026-08-29T10:41:52+00:00
M121103,6,EMASCO_121103_06,121103,Analyse financial statements to determine creditworthiness.,exact_occupation,eMASCO exact occupation detail (MASCO 2020 content),,https://emasco.mohr.gov.my/masco/1211-03,2026-08-29T10:41:52+00:00
M121103,7,EMASCO_121103_07,121103,Manage and train a team of credit officers.,exact_occupation,eMASCO exact occupation detail (MASCO 2020 content),,https://emasco.mohr.gov.my/masco/1211-03,2026-08-29T10:41:52+00:00
M121103,8,EMASCO_121103_08,121103,Consult with senior management and departmental managers on credit matters.,exact_occupation,eMASCO exact occupation detail (MASCO 2020 content),,https://emasco.mohr.gov.my/masco/1211-03,2026-08-29T10:41:52+00:00
M121103,9,EMASCO_121103_09,121103,Prepare reports for senior management on credit status and outstanding payments.,exact_occupation,eMASCO exact occupation detail (MASCO 2020 content),,https://emasco.mohr.gov.my/masco/1211-03,2026-08-29T10:41:52+00:00
M121104,1,EMASCO_121104_01,121104,Coordinate and supervise overall insurance operations to ensure efficiency and service quality.,exact_occupation,eMASCO exact occupation detail (MASCO 2020 content),,https://emasco.mohr.gov.my/masco/1211-04,2026-08-29T10:41:52+00:00
M121104,2,EMASCO_121104_02,121104,"Design, implement, and monitor insurance products and services.",exact_occupation,eMASCO exact occupation detail (MASCO 2020 content),,https://emasco.mohr.gov.my/masco/1211-04,2026-08-29T10:41:52+00:00
M121104,3,EMASCO_121104_03,121104,Ensure compliance with relevant laws and regulations.,exact_occupation,eMASCO exact occupation detail (MASCO 2020 content),,https://emasco.mohr.gov.my/masco/1211-04,2026-08-29T10:41:52+00:00
M121104,4,EMASCO_121104_04,121104,Set and achieve insurance sales and performance targets.,exact_occupation,eMASCO exact occupation detail (MASCO 2020 content),,https://emasco.mohr.gov.my/masco/1211-04,2026-08-29T10:41:52+00:00
M121104,5,EMASCO_121104_05,121104,Analyse and monitor company performance and financial operations.,exact_occupation,eMASCO exact occupation detail (MASCO 2020 content),,https://emasco.mohr.gov.my/masco/1211-04,2026-08-29T10:41:52+00:00
M121104,6,EMASCO_121104_06,121104,"Oversee training and development of underwriters, agents, and service teams.",exact_occupation,eMASCO exact occupation detail (MASCO 2020 content),,https://emasco.mohr.gov.my/masco/1211-04,2026-08-29T10:41:52+00:00
M121104,7,EMASCO_121104_07,121104,"Oversee the resolution of complex customer complaints, claims, and disputes on insurance matters.",exact_occupation,eMASCO exact occupation detail (MASCO 2020 content),,https://emasco.mohr.gov.my/masco/1211-04,2026-08-29T10:41:52+00:00
M121104,8,EMASCO_121104_08,121104,Plan budgets and perform financial forecasting for insurance products and services.,exact_occupation,eMASCO exact occupation detail (MASCO 2020 content),,https://emasco.mohr.gov.my/masco/1211-04,2026-08-29T10:41:52+00:00
M121104,9,EMASCO_121104_09,121104,Report department performance and strategic initiatives to senior management.,exact_occupation,eMASCO exact occupation detail (MASCO 2020 content),,https://emasco.mohr.gov.my/masco/1211-04,2026-08-29T10:41:52+00:00
M121104,10,EMASCO_121104_10,121104,"Develop and maintain partnerships with brokers, agents, and key stakeholders to expand business opportunities.",exact_occupation,eMASCO exact occupation detail (MASCO 2020 content),,https://emasco.mohr.gov.my/masco/1211-04,2026-08-29T10:41:52+00:00
M121105,1,EMASCO_121105_01,121105,"Develop and implement investment and portfolio strategies based on market trends, economic conditions, and client objectives.",exact_occupation,eMASCO exact occupation detail (MASCO 2020 content),,https://emasco.mohr.gov.my/masco/1211-05,2026-08-29T10:41:52+00:00
M121105,2,EMASCO_121105_02,121105,"Analyse financial data, asset performance, and market information to support investment decisions.",exact_occupation,eMASCO exact occupation detail (MASCO 2020 content),,https://emasco.mohr.gov.my/masco/1211-05,2026-08-29T10:41:52+00:00
M121105,3,EMASCO_121105_03,121105,Monitor and adjust portfolios to optimise returns and manage investment risks.,exact_occupation,eMASCO exact occupation detail (MASCO 2020 content),,https://emasco.mohr.gov.my/masco/1211-05,2026-08-29T10:41:52+00:00
M121105,4,EMASCO_121105_04,121105,Conduct portfolio risk assessments and ensure compliance with relevant financial regulations and policies.,exact_occupation,eMASCO exact occupation detail (MASCO 2020 content),,https://emasco.mohr.gov.my/masco/1211-05,2026-08-29T10:41:52+00:00
M121105,5,EMASCO_121105_05,121105,"Communicate with clients and stakeholders, providing updates and discussing portfolio performance.",exact_occupation,eMASCO exact occupation detail (MASCO 2020 content),,https://emasco.mohr.gov.my/masco/1211-05,2026-08-29T10:41:52+00:00
M121105,6,EMASCO_121105_06,121105,Prepare and present investment reports to clients or senior management.,exact_occupation,eMASCO exact occupation detail (MASCO 2020 content),,https://emasco.mohr.gov.my/masco/1211-05,2026-08-29T10:41:52+00:00
M121105,7,EMASCO_121105_07,121105,"Collaborate with analysts, traders, and internal teams to support investment decision-making.",exact_occupation,eMASCO exact occupation detail (MASCO 2020 content),,https://emasco.mohr.gov.my/masco/1211-05,2026-08-29T10:41:52+00:00
M121107,1,EMASCO_121107_01,121107,"Deliver comprehensive tax services, ensuring compliance with applicable laws and regulations within established deadlines.",exact_occupation,eMASCO exact occupation detail (MASCO 2020 content),,https://emasco.mohr.gov.my/masco/1211-07,2026-08-29T10:41:52+00:00
M121107,2,EMASCO_121107_02,121107,"Oversee tax compliance, including the preparation and submission of tax returns and corporate filings.",exact_occupation,eMASCO exact occupation detail (MASCO 2020 content),,https://emasco.mohr.gov.my/masco/1211-07,2026-08-29T10:41:52+00:00
M121107,3,EMASCO_121107_03,121107,Provide tax planning advice and review complex income tax returns.,exact_occupation,eMASCO exact occupation detail (MASCO 2020 content),,https://emasco.mohr.gov.my/masco/1211-07,2026-08-29T10:41:52+00:00
M121107,4,EMASCO_121107_04,121107,"Identify, assess, and mitigate tax risks across organisational operations.",exact_occupation,eMASCO exact occupation detail (MASCO 2020 content),,https://emasco.mohr.gov.my/masco/1211-07,2026-08-29T10:41:52+00:00
M121107,5,EMASCO_121107_05,121107,Liaise with external auditors and tax authorities to address tax-related matters and ensure compliance.,exact_occupation,eMASCO exact occupation detail (MASCO 2020 content),,https://emasco.mohr.gov.my/masco/1211-07,2026-08-29T10:41:52+00:00
M121107,6,EMASCO_121107_06,121107,Review financial statements to assess tax implications and resolve any discrepancies.,exact_occupation,eMASCO exact occupation detail (MASCO 2020 content),,https://emasco.mohr.gov.my/masco/1211-07,2026-08-29T10:41:52+00:00
M121107,7,EMASCO_121107_07,121107,"Mentor and supervise junior tax staff, including reviewing their work for accuracy and compliance.",exact_occupation,eMASCO exact occupation detail (MASCO 2020 content),,https://emasco.mohr.gov.my/masco/1211-07,2026-08-29T10:41:52+00:00
M121108,1,EMASCO_121108_01,121108,"Review, assess, and approve claims in accordance with policy coverage, investigation findings, and legal guidelines.",exact_occupation,eMASCO exact occupation detail (MASCO 2020 content),,https://emasco.mohr.gov.my/masco/1211-08,2026-08-29T10:41:52+00:00
M121108,2,EMASCO_121108_02,121108,Supervise and lead a team of claims adjusters or officers to ensure efficient and timely claims handling.,exact_occupation,eMASCO exact occupation detail (MASCO 2020 content),,https://emasco.mohr.gov.my/masco/1211-08,2026-08-29T10:41:52+00:00
M121108,3,EMASCO_121108_03,121108,"Negotiate claim settlements with claimants, policyholders, or third parties in line with policy terms and legal requirements.",exact_occupation,eMASCO exact occupation detail (MASCO 2020 content),,https://emasco.mohr.gov.my/masco/1211-08,2026-08-29T10:41:52+00:00
M121108,4,EMASCO_121108_04,121108,Provide technical expertise to resolve complex or high-value claims.,exact_occupation,eMASCO exact occupation detail (MASCO 2020 content),,https://emasco.mohr.gov.my/masco/1211-08,2026-08-29T10:41:52+00:00
M121108,5,EMASCO_121108_05,121108,Ensure compliance with industry regulations and company procedures in all claims activities.,exact_occupation,eMASCO exact occupation detail (MASCO 2020 content),,https://emasco.mohr.gov.my/masco/1211-08,2026-08-29T10:41:52+00:00
M121108,6,EMASCO_121108_06,121108,Conduct claims-related reviews and investigations to support accurate and fair claims resolution.,exact_occupation,eMASCO exact occupation detail (MASCO 2020 content),,https://emasco.mohr.gov.my/masco/1211-08,2026-08-29T10:41:52+00:00
M121108,7,EMASCO_121108_07,121108,Develop and implement strategies to prevent fraudulent claims and manage associated risks.,exact_occupation,eMASCO exact occupation detail (MASCO 2020 content),,https://emasco.mohr.gov.my/masco/1211-08,2026-08-29T10:41:52+00:00
M121108,8,EMASCO_121108_08,121108,Monitor claims operations to ensure accuracy in claims processing and financial reporting.,exact_occupation,eMASCO exact occupation detail (MASCO 2020 content),,https://emasco.mohr.gov.my/masco/1211-08,2026-08-29T10:41:52+00:00
M121108,9,EMASCO_121108_09,121108,Analyse claims performance and recommend improvements to processes and policies.,exact_occupation,eMASCO exact occupation detail (MASCO 2020 content),,https://emasco.mohr.gov.my/masco/1211-08,2026-08-29T10:41:52+00:00
M121109,1,EMASCO_121109_01,121109,"Lead and manage actuarial valuation teams, ensuring effective delivery of valuation activities.",exact_occupation,eMASCO exact occupation detail (MASCO 2020 content),,https://emasco.mohr.gov.my/masco/1211-09,2026-08-29T10:41:52+00:00
M121109,2,EMASCO_121109_02,121109,"Conduct periodic actuarial valuations of pension schemes, insurance contracts, and other financial liabilities.",exact_occupation,eMASCO exact occupation detail (MASCO 2020 content),,https://emasco.mohr.gov.my/masco/1211-09,2026-08-29T10:41:52+00:00
M121109,3,EMASCO_121109_03,121109,"Ensure compliance with regulatory requirements and accounting standards, including IFRS 17 and Solvency II.",exact_occupation,eMASCO exact occupation detail (MASCO 2020 content),,https://emasco.mohr.gov.my/masco/1211-09,2026-08-29T10:41:52+00:00
M121109,4,EMASCO_121109_04,121109,Develop and implement actuarial valuation methodologies and frameworks to support accurate financial assessments.,exact_occupation,eMASCO exact occupation detail (MASCO 2020 content),,https://emasco.mohr.gov.my/masco/1211-09,2026-08-29T10:41:52+00:00
M121109,5,EMASCO_121109_05,121109,"Analyse actuarial and financial data using statistical models and ICT tools to identify trends, correlations, and risks.",exact_occupation,eMASCO exact occupation detail (MASCO 2020 content),,https://emasco.mohr.gov.my/masco/1211-09,2026-08-29T10:41:52+00:00
M121109,6,EMASCO_121109_06,121109,"Prepare detailed actuarial reports for senior management, regulators, and auditors.",exact_occupation,eMASCO exact occupation detail (MASCO 2020 content),,https://emasco.mohr.gov.my/masco/1211-09,2026-08-29T10:41:52+00:00
M121109,7,EMASCO_121109_07,121109,Collaborate with finance and risk management functions to support integrated financial planning and decision-making.,exact_occupation,eMASCO exact occupation detail (MASCO 2020 content),,https://emasco.mohr.gov.my/masco/1211-09,2026-08-29T10:41:52+00:00
M121109,8,EMASCO_121109_08,121109,"Identify and assess actuarial and financial risks that may impact organisational outcomes, and implement mitigation measures.",exact_occupation,eMASCO exact occupation detail (MASCO 2020 content),,https://emasco.mohr.gov.my/masco/1211-09,2026-08-29T10:41:52+00:00
M121109,9,EMASCO_121109_09,121109,Supervise and mentor junior actuaries and analysts.,exact_occupation,eMASCO exact occupation detail (MASCO 2020 content),,https://emasco.mohr.gov.my/masco/1211-09,2026-08-29T10:41:52+00:00
M121111,1,EMASCO_121111_01,121111,Design and implement transfer pricing policies for intercompany transactions.,exact_occupation,eMASCO exact occupation detail (MASCO 2020 content),,https://emasco.mohr.gov.my/masco/1211-11,2026-08-29T10:41:52+00:00
M121111,2,EMASCO_121111_02,121111,Prepare and review transfer pricing documentation and reports in compliance with local tax regulations and guidelines.,exact_occupation,eMASCO exact occupation detail (MASCO 2020 content),,https://emasco.mohr.gov.my/masco/1211-11,2026-08-29T10:41:52+00:00
M121111,3,EMASCO_121111_03,121111,Oversee and manage a portfolio of transfer pricing projects.,exact_occupation,eMASCO exact occupation detail (MASCO 2020 content),,https://emasco.mohr.gov.my/masco/1211-11,2026-08-29T10:41:52+00:00
M121111,4,EMASCO_121111_04,121111,Conduct financial analysis to support transfer pricing policies and reporting requirements.,exact_occupation,eMASCO exact occupation detail (MASCO 2020 content),,https://emasco.mohr.gov.my/masco/1211-11,2026-08-29T10:41:52+00:00
M121111,5,EMASCO_121111_05,121111,Advise management on the impact of transfer pricing on business operations and strategies.,exact_occupation,eMASCO exact occupation detail (MASCO 2020 content),,https://emasco.mohr.gov.my/masco/1211-11,2026-08-29T10:41:52+00:00
M121111,6,EMASCO_121111_06,121111,Perform risk assessments and internal reviews to ensure compliance with transfer pricing regulations.,exact_occupation,eMASCO exact occupation detail (MASCO 2020 content),,https://emasco.mohr.gov.my/masco/1211-11,2026-08-29T10:41:52+00:00
M121111,7,EMASCO_121111_07,121111,Collaborate with tax authorities during audits and resolve transfer pricing issues.,exact_occupation,eMASCO exact occupation detail (MASCO 2020 content),,https://emasco.mohr.gov.my/masco/1211-11,2026-08-29T10:41:52+00:00
M121111,8,EMASCO_121111_08,121111,Stay updated on developments in transfer pricing regulations across relevant jurisdictions.,exact_occupation,eMASCO exact occupation detail (MASCO 2020 content),,https://emasco.mohr.gov.my/masco/1211-11,2026-08-29T10:41:52+00:00
M121111,9,EMASCO_121111_09,121111,Coordinate with external consultants and legal advisors on complex transfer pricing matters.,exact_occupation,eMASCO exact occupation detail (MASCO 2020 content),,https://emasco.mohr.gov.my/masco/1211-11,2026-08-29T10:41:52+00:00
M121202,1,EMASCO_121202_01,121202,Develop and implement workplace safety and health policies and procedures.,exact_occupation,eMASCO exact occupation detail (MASCO 2020 content),,https://emasco.mohr.gov.my/masco/1212-02,2026-08-29T10:41:52+00:00
M121202,2,EMASCO_121202_02,121202,"Conduct risk assessments, safety audits, and accident investigations, and recommend corrective actions.",exact_occupation,eMASCO exact occupation detail (MASCO 2020 content),,https://emasco.mohr.gov.my/masco/1212-02,2026-08-29T10:41:52+00:00
M121202,3,EMASCO_121202_03,121202,"Lead safety training sessions, emergency drills, and employee awareness programmes.",exact_occupation,eMASCO exact occupation detail (MASCO 2020 content),,https://emasco.mohr.gov.my/masco/1212-02,2026-08-29T10:41:52+00:00
M121202,4,EMASCO_121202_04,121202,Ensure compliance with occupational safety and health regulations and applicable standards.,exact_occupation,eMASCO exact occupation detail (MASCO 2020 content),,https://emasco.mohr.gov.my/masco/1212-02,2026-08-29T10:41:52+00:00
M121202,5,EMASCO_121202_05,121202,Oversee the implementation and performance of safety and health programmes across the organisation.,exact_occupation,eMASCO exact occupation detail (MASCO 2020 content),,https://emasco.mohr.gov.my/masco/1212-02,2026-08-29T10:41:52+00:00
M121202,6,EMASCO_121202_06,121202,"Maintain safety records, certifications, and regulatory documentation.",exact_occupation,eMASCO exact occupation detail (MASCO 2020 content),,https://emasco.mohr.gov.my/masco/1212-02,2026-08-29T10:41:52+00:00
M121202,7,EMASCO_121202_07,121202,Promote and reinforce a positive safety culture across the workplace through continuous engagement initiatives.,exact_occupation,eMASCO exact occupation detail (MASCO 2020 content),,https://emasco.mohr.gov.my/masco/1212-02,2026-08-29T10:41:52+00:00
M121202,8,EMASCO_121202_08,121202,"Advise management on safety improvements, compliance issues, and risk mitigation strategies.",exact_occupation,eMASCO exact occupation detail (MASCO 2020 content),,https://emasco.mohr.gov.my/masco/1212-02,2026-08-29T10:41:52+00:00
M121404,1,EMASCO_121404_01,121404,"Develop and implement supply chain, procurement, and logistics strategies to ensure efficient sourcing, production support, and delivery of goods.",exact_occupation,eMASCO exact occupation detail (MASCO 2020 content),,https://emasco.mohr.gov.my/masco/1214-04,2026-08-29T10:41:52+00:00
M121404,2,EMASCO_121404_02,121404,"Plan, coordinate, and monitor transportation, warehousing, and distribution activities to ensure timely and cost-effective movement of materials and products.",exact_occupation,eMASCO exact occupation detail (MASCO 2020 content),,https://emasco.mohr.gov.my/masco/1214-04,2026-08-29T10:41:52+00:00
M121404,3,EMASCO_121404_03,121404,"Manage supplier and vendor relationships, including negotiating pricing, contracts, and delivery terms.",exact_occupation,eMASCO exact occupation detail (MASCO 2020 content),,https://emasco.mohr.gov.my/masco/1214-04,2026-08-29T10:41:52+00:00
M121404,4,EMASCO_121404_04,121404,Oversee inventory management and demand forecasting to maintain optimal stock levels and minimise shortages or overstocking.,exact_occupation,eMASCO exact occupation detail (MASCO 2020 content),,https://emasco.mohr.gov.my/masco/1214-04,2026-08-29T10:41:52+00:00
M121404,5,EMASCO_121404_05,121404,"Supervise warehouse operations, including receiving, storage, stock control, and dispatch of goods.",exact_occupation,eMASCO exact occupation detail (MASCO 2020 content),,https://emasco.mohr.gov.my/masco/1214-04,2026-08-29T10:41:52+00:00
M121404,6,EMASCO_121404_06,121404,"Analyse supply chain and logistics data to identify process improvements, cost reductions, and operational efficiencies.",exact_occupation,eMASCO exact occupation detail (MASCO 2020 content),,https://emasco.mohr.gov.my/masco/1214-04,2026-08-29T10:41:52+00:00
M121404,7,EMASCO_121404_07,121404,"Ensure compliance with relevant laws, regulations, and safety standards related to logistics, transportation, and storage.",exact_occupation,eMASCO exact occupation detail (MASCO 2020 content),,https://emasco.mohr.gov.my/masco/1214-04,2026-08-29T10:41:52+00:00
M121404,8,EMASCO_121404_08,121404,"Collaborate with internal departments, including procurement, production, sales, and finance, to coordinate supply chain activities.",exact_occupation,eMASCO exact occupation detail (MASCO 2020 content),,https://emasco.mohr.gov.my/masco/1214-04,2026-08-29T10:41:52+00:00
M121404,9,EMASCO_121404_09,121404,"Manage, supervise, and develop supply chain, logistics, and warehouse personnel to ensure effective operations.",exact_occupation,eMASCO exact occupation detail (MASCO 2020 content),,https://emasco.mohr.gov.my/masco/1214-04,2026-08-29T10:41:52+00:00
