question_id,role_id,masco_code,role_title,locale,category,difficulty,question_text,anchor_type,anchor_text,global_anchor_standard,global_anchor_record_id,global_anchor_url,global_anchor_license_id,interview_method_sources,authoring_method,answer_framework,answer_guidance,strong_evidence_signals,watch_out_for,follow_up_question,quality_score_100,review_status,safety_note
M112104-GQ06,M112104,112104,Chief Technical Officer,en-MY,technical,intermediate,"Walk me through your approach to this area of work: analyse ICT system. What steps, tools, or standards would you use?",skill,analyse ICT system,ESCO 1.2.1,http://data.europa.eu/esco/skill/7adb8473-bcc6-4ff8-9850-76d945d40092,https://esco.ec.europa.eu/en/use-esco/download,EC-REUSE-ESCO,OPM-STRUCTURED-INTERVIEWS; VA-PBI,generated_from_global_official_role_anchor,approach-controls-evidence,"Explain the method step by step, name standards or checks, discuss trade-offs, and show how you validate the result.",Specific context; clear personal contribution; credible reasoning; job-relevant controls; evidenced result; reflection.,"Generic answer; unclear ownership; unsupported claim; unsafe shortcut; no result, validation, or learning.",How would you validate the result?,88,human_domain_fairness_and_legal_review_required,Score only job-relevant evidence. Do not use protected or personal characteristics.
M112104-GQ07,M112104,112104,Chief Technical Officer,en-MY,technical,advanced,"What controls and quality checks would you apply when handling: Develop or execute strategies to address issues such as energy use, resource conservation, recycling, pollution reduction, waste elimination, transportation, education, and building design.? Explain the main trade-offs.",task,"Develop or execute strategies to address issues such as energy use, resource conservation, recycling, pollution reduction, waste elimination, transportation, education, and building design.",O*NET 31.0,11-1011.03|task:15384,https://www.onetcenter.org/database.html,CC-BY-4.0-ONET,OPM-STRUCTURED-INTERVIEWS; VA-PBI,generated_from_global_official_role_anchor,approach-controls-evidence,"Explain the method step by step, name standards or checks, discuss trade-offs, and show how you validate the result.",Specific context; clear personal contribution; credible reasoning; job-relevant controls; evidenced result; reflection.,"Generic answer; unclear ownership; unsupported claim; unsafe shortcut; no result, validation, or learning.",Which failure mode would concern you most?,88,human_domain_fairness_and_legal_review_required,Score only job-relevant evidence. Do not use protected or personal characteristics.
M112104-GQ08,M112104,112104,Chief Technical Officer,en-MY,technical,advanced,"How would you measure performance and improve the way this work is done: Formulates and directs ICT strategies, and aligns ICT strategies with business objectives?",task,"Formulates and directs ICT strategies, and aligns ICT strategies with business objectives",OSCA 2024 Version 1.0,113131|task:2,https://www.abs.gov.au/statistics/classifications/osca-occupation-standard-classification-australia/2024-version-1-0/data-downloads,CC-BY-4.0-ABS,OPM-STRUCTURED-INTERVIEWS; VA-PBI,generated_from_global_official_role_anchor,approach-controls-evidence,"Explain the method step by step, name standards or checks, discuss trade-offs, and show how you validate the result.",Specific context; clear personal contribution; credible reasoning; job-relevant controls; evidenced result; reflection.,"Generic answer; unclear ownership; unsupported claim; unsafe shortcut; no result, validation, or learning.","What data would you trust, and what are its limitations?",88,human_domain_fairness_and_legal_review_required,Score only job-relevant evidence. Do not use protected or personal characteristics.
M112104-GQ09,M112104,112104,Chief Technical Officer,en-MY,situational,intermediate,"A priority changes while you are responsible for: attack vectors. How would you reassess, communicate, and deliver?",skill,attack vectors,ESCO 1.2.1,http://data.europa.eu/esco/skill/501537a7-9d63-491d-ae02-09f04767ff1e,https://esco.ec.europa.eu/en/use-esco/download,EC-REUSE-ESCO,OPM-STRUCTURED-INTERVIEWS; VA-PBI,generated_from_global_official_role_anchor,assess-act-communicate-review,"Clarify facts, prioritise risk, act within authority, communicate, escalate when needed, and confirm resolution.",Specific context; clear personal contribution; credible reasoning; job-relevant controls; evidenced result; reflection.,"Generic answer; unclear ownership; unsupported claim; unsafe shortcut; no result, validation, or learning.",What would cause you to escalate?,88,human_domain_fairness_and_legal_review_required,Score only job-relevant evidence. Do not use protected or personal characteristics.
M112104-GQ10,M112104,112104,Chief Technical Officer,en-MY,situational,advanced,"You notice a quality, safety, or compliance risk related to: Develop, or oversee the development of, sustainability evaluation or monitoring systems.. What would you do first, and why?",task,"Develop, or oversee the development of, sustainability evaluation or monitoring systems.",O*NET 31.0,11-1011.03|task:15379,https://www.onetcenter.org/database.html,CC-BY-4.0-ONET,OPM-STRUCTURED-INTERVIEWS; VA-PBI,generated_from_global_official_role_anchor,assess-act-communicate-review,"Clarify facts, prioritise risk, act within authority, communicate, escalate when needed, and confirm resolution.",Specific context; clear personal contribution; credible reasoning; job-relevant controls; evidenced result; reflection.,"Generic answer; unclear ownership; unsupported claim; unsafe shortcut; no result, validation, or learning.",How would you document and close the issue?,88,human_domain_fairness_and_legal_review_required,Score only job-relevant evidence. Do not use protected or personal characteristics.
M112104-GQ11,M112104,112104,Chief Technical Officer,en-MY,career_growth,foundation,"Which capability would you most need to strengthen to excel as a Chief Technical Officer, and how would you develop it?",role_title,Chief Technical Officer,MASCO 2020,M112104,https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=317,MASCO-RIGHTS-REVIEW,OPM-STRUCTURED-INTERVIEWS; VA-PBI,generated_from_MASCO_role_title_and_global_structured_interview_method,capability-gap-plan,"Identify one relevant capability, explain why it matters, and give a specific learning and application plan.",Specific context; clear personal contribution; credible reasoning; job-relevant controls; evidenced result; reflection.,"Generic answer; unclear ownership; unsupported claim; unsafe shortcut; no result, validation, or learning.",How would you demonstrate progress?,78,human_domain_fairness_and_legal_review_required,Score only job-relevant evidence. Do not use protected or personal characteristics.
M112104-GQ12,M112104,112104,Chief Technical Officer,en-MY,employer_question,foundation,What would you ask the interviewer to understand how success is measured for the Chief Technical Officer role?,role_title,Chief Technical Officer,MASCO 2020,M112104,https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=317,MASCO-RIGHTS-REVIEW,OPM-STRUCTURED-INTERVIEWS; VA-PBI,generated_from_MASCO_role_title_and_global_structured_interview_method,informed-question,"Ask a concise question about expectations, measures of success, support, or near-term priorities.",Specific context; clear personal contribution; credible reasoning; job-relevant controls; evidenced result; reflection.,"Generic answer; unclear ownership; unsupported claim; unsafe shortcut; no result, validation, or learning.",How would the answer influence your priorities?,78,human_domain_fairness_and_legal_review_required,Score only job-relevant evidence. Do not use protected or personal characteristics.
M121101-GQ01,M121101,121101,Budgeting/Financial Accounting Manager,en-MY,introduction,foundation,Give me a concise overview of your experience and explain how it prepares you for the Budgeting/Financial Accounting Manager role.,role_title,Budgeting/Financial Accounting Manager,MASCO 2020,M121101,https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=318,MASCO-RIGHTS-REVIEW,OPM-STRUCTURED-INTERVIEWS; VA-PBI,generated_from_MASCO_role_title_and_global_structured_interview_method,concise-summary,"State your current professional focus, two relevant strengths, one evidence point, and why those fit this role.",Specific context; clear personal contribution; credible reasoning; job-relevant controls; evidenced result; reflection.,"Generic answer; unclear ownership; unsupported claim; unsafe shortcut; no result, validation, or learning.",Which achievement best demonstrates your readiness?,78,human_domain_fairness_and_legal_review_required,Score only job-relevant evidence. Do not use protected or personal characteristics.
M121101-GQ02,M121101,121101,Budgeting/Financial Accounting Manager,en-MY,motivation,foundation,"Why are you interested in the Budgeting/Financial Accounting Manager role, and what value would you aim to deliver in the first six months?",role_title,Budgeting/Financial Accounting Manager,MASCO 2020,M121101,https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=318,MASCO-RIGHTS-REVIEW,OPM-STRUCTURED-INTERVIEWS; VA-PBI,generated_from_MASCO_role_title_and_global_structured_interview_method,motivation-fit-evidence,"Connect your motivation to the work, show that you understand the role, and support the fit with evidence.",Specific context; clear personal contribution; credible reasoning; job-relevant controls; evidenced result; reflection.,"Generic answer; unclear ownership; unsupported claim; unsafe shortcut; no result, validation, or learning.",What would you need to learn first?,78,human_domain_fairness_and_legal_review_required,Score only job-relevant evidence. Do not use protected or personal characteristics.
M121101-GQ03,M121101,121101,Budgeting/Financial Accounting Manager,en-MY,behavioural,intermediate,"Tell me about a time your work involved this responsibility: accounting department processes. What did you do, and what changed as a result?",skill,accounting department processes,ESCO 1.2.1,http://data.europa.eu/esco/skill/08371fe9-c658-4f6a-966f-71dbb0ab683d,https://esco.ec.europa.eu/en/use-esco/download,EC-REUSE-ESCO,OPM-STRUCTURED-INTERVIEWS; VA-PBI,generated_from_global_official_role_anchor,STAR,"Describe the situation and your responsibility, explain your own actions and decisions, then give the result and learning.",Specific context; clear personal contribution; credible reasoning; job-relevant controls; evidenced result; reflection.,"Generic answer; unclear ownership; unsupported claim; unsafe shortcut; no result, validation, or learning.",What evidence shows that your action made a difference?,88,human_domain_fairness_and_legal_review_required,Score only job-relevant evidence. Do not use protected or personal characteristics.
M121101-GQ04,M121101,121101,Budgeting/Financial Accounting Manager,en-MY,behavioural,advanced,Describe a difficult decision connected to: Establish and maintain relationships with individual or business customers or provide assistance with problems these customers may encounter.. How did you evaluate the options and consequences?,task,Establish and maintain relationships with individual or business customers or provide assistance with problems these customers may encounter.,O*NET 31.0,11-3031.00|task:21311,https://www.onetcenter.org/database.html,CC-BY-4.0-ONET,OPM-STRUCTURED-INTERVIEWS; VA-PBI,generated_from_global_official_role_anchor,STAR,"Describe the situation and your responsibility, explain your own actions and decisions, then give the result and learning.",Specific context; clear personal contribution; credible reasoning; job-relevant controls; evidenced result; reflection.,"Generic answer; unclear ownership; unsupported claim; unsafe shortcut; no result, validation, or learning.",What would you do differently now?,88,human_domain_fairness_and_legal_review_required,Score only job-relevant evidence. Do not use protected or personal characteristics.
M121101-GQ05,M121101,121101,Budgeting/Financial Accounting Manager,en-MY,behavioural,intermediate,"Give an example of working with other people while responsible for: Plan, organize, direct, control and evaluate the operation of an accounting, audit or other financial department. How did you handle different expectations?",duty,"Plan, organize, direct, control and evaluate the operation of an accounting, audit or other financial department",NOC 2021 Version 1.0,10010|main-duty:2,https://www.statcan.gc.ca/en/subjects/standard/noc/2021/indexV1,STATCAN-OPEN-LICENCE,OPM-STRUCTURED-INTERVIEWS; VA-PBI,generated_from_global_official_role_anchor,STAR,"Describe the situation and your responsibility, explain your own actions and decisions, then give the result and learning.",Specific context; clear personal contribution; credible reasoning; job-relevant controls; evidenced result; reflection.,"Generic answer; unclear ownership; unsupported claim; unsafe shortcut; no result, validation, or learning.",How did you confirm alignment?,88,human_domain_fairness_and_legal_review_required,Score only job-relevant evidence. Do not use protected or personal characteristics.
M121101-GQ06,M121101,121101,Budgeting/Financial Accounting Manager,en-MY,technical,intermediate,"Walk me through your approach to this area of work: accounting entries. What steps, tools, or standards would you use?",skill,accounting entries,ESCO 1.2.1,http://data.europa.eu/esco/skill/99b163e8-7815-43e2-83f3-a47f3076354c,https://esco.ec.europa.eu/en/use-esco/download,EC-REUSE-ESCO,OPM-STRUCTURED-INTERVIEWS; VA-PBI,generated_from_global_official_role_anchor,approach-controls-evidence,"Explain the method step by step, name standards or checks, discuss trade-offs, and show how you validate the result.",Specific context; clear personal contribution; credible reasoning; job-relevant controls; evidenced result; reflection.,"Generic answer; unclear ownership; unsupported claim; unsafe shortcut; no result, validation, or learning.",How would you validate the result?,88,human_domain_fairness_and_legal_review_required,Score only job-relevant evidence. Do not use protected or personal characteristics.
M121101-GQ07,M121101,121101,Budgeting/Financial Accounting Manager,en-MY,technical,advanced,What controls and quality checks would you apply when handling: Oversee the flow of cash or financial instruments.? Explain the main trade-offs.,task,Oversee the flow of cash or financial instruments.,O*NET 31.0,11-3031.00|task:21319,https://www.onetcenter.org/database.html,CC-BY-4.0-ONET,OPM-STRUCTURED-INTERVIEWS; VA-PBI,generated_from_global_official_role_anchor,approach-controls-evidence,"Explain the method step by step, name standards or checks, discuss trade-offs, and show how you validate the result.",Specific context; clear personal contribution; credible reasoning; job-relevant controls; evidenced result; reflection.,"Generic answer; unclear ownership; unsupported claim; unsafe shortcut; no result, validation, or learning.",Which failure mode would concern you most?,88,human_domain_fairness_and_legal_review_required,Score only job-relevant evidence. Do not use protected or personal characteristics.
M121101-GQ08,M121101,121101,Budgeting/Financial Accounting Manager,en-MY,technical,advanced,"How would you measure performance and improve the way this work is done: Develop and implement the financial policies, systems and procedures of an establishment?",duty,"Develop and implement the financial policies, systems and procedures of an establishment",NOC 2021 Version 1.0,10010|main-duty:3,https://www.statcan.gc.ca/en/subjects/standard/noc/2021/indexV1,STATCAN-OPEN-LICENCE,OPM-STRUCTURED-INTERVIEWS; VA-PBI,generated_from_global_official_role_anchor,approach-controls-evidence,"Explain the method step by step, name standards or checks, discuss trade-offs, and show how you validate the result.",Specific context; clear personal contribution; credible reasoning; job-relevant controls; evidenced result; reflection.,"Generic answer; unclear ownership; unsupported claim; unsafe shortcut; no result, validation, or learning.","What data would you trust, and what are its limitations?",88,human_domain_fairness_and_legal_review_required,Score only job-relevant evidence. Do not use protected or personal characteristics.
M121101-GQ09,M121101,121101,Budgeting/Financial Accounting Manager,en-MY,situational,intermediate,"A priority changes while you are responsible for: analyse financial performance of a company. How would you reassess, communicate, and deliver?",skill,analyse financial performance of a company,ESCO 1.2.1,http://data.europa.eu/esco/skill/8a43795b-bb38-4f29-91df-a6c92ad4643c,https://esco.ec.europa.eu/en/use-esco/download,EC-REUSE-ESCO,OPM-STRUCTURED-INTERVIEWS; VA-PBI,generated_from_global_official_role_anchor,assess-act-communicate-review,"Clarify facts, prioritise risk, act within authority, communicate, escalate when needed, and confirm resolution.",Specific context; clear personal contribution; credible reasoning; job-relevant controls; evidenced result; reflection.,"Generic answer; unclear ownership; unsupported claim; unsafe shortcut; no result, validation, or learning.",What would cause you to escalate?,88,human_domain_fairness_and_legal_review_required,Score only job-relevant evidence. Do not use protected or personal characteristics.
