match_id,role_id,masco_code,masco_title,global_source_standard,global_source_code,global_source_title,mapping_method,title_similarity_0_100,mapping_confidence,source_record_id,source_url,license_id,source_description,review_status
M121103-M02,M121103,121103,Credit Manager,OSCA 2024 Version 1.0,212931,Credit Risk Manager,title_similarity,80,medium,212931,https://www.abs.gov.au/statistics/classifications/osca-occupation-standard-classification-australia/2024-version-1-0/data-downloads,CC-BY-4.0-ABS,"Identifies, assesses and manages risk associated with the credit activities of an organisation to minimise potential losses",human_mapping_review_required
M121104-M01,M121104,121104,Insurance Manager,ESCO 1.2.1,1346.4,insurance agency manager,MASCO_crosswalk,100,high,http://data.europa.eu/esco/occupation/594170bc-5663-40b0-97ef-c9f1ad51b2a0,https://esco.ec.europa.eu/en/use-esco/download,EC-REUSE-ESCO,Insurance agency managers coordinate and oversee the operations of an institution or a branch of an institution that offers insurance services. They provide clients with advice on insurance products.,crosswalk_reviewed_in_source_project
M121105-M01,M121105,121105,Fund/Portfolio Manager,ESCO 1.2.1,2412.7,investment fund manager,MASCO_crosswalk,100,medium,http://data.europa.eu/esco/occupation/b95bdbed-1e7e-482a-aa73-7bdbb3e36358,https://esco.ec.europa.eu/en/use-esco/download,EC-REUSE-ESCO,"Investment fund managers implement and monitor the investment strategy of a fund. They manage the fund's portfolio trading activities and supervise the financial, securities, and investment analysts in charge to perform research on the investments and then make buying and selling recommendations. They make decisions on when to buy or sell the assets included in a portfolio. Investment fund managers works in a variety of settings such as banks, investment vehicles and stockbroking companies, working closely with the investment analyst. This occupation manages strategy and does not always work with relations between shareholders or investors.",crosswalk_reviewed_in_source_project
M121105-M02,M121105,121105,Fund/Portfolio Manager,O*NET 31.0,11-3031.03,Investment Fund Managers,title_similarity,67,medium,11-3031.03,https://www.onetcenter.org/database.html,CC-BY-4.0-ONET,"Plan, direct, or coordinate investment strategy or operations for a large pool of liquid assets supplied by institutional investors or individual investors.",human_mapping_review_required
M121107-M01,M121107,121107,Tax Manager,ESCO 1.2.1,2411.1.12,tax advisor,MASCO_crosswalk,100,high,http://data.europa.eu/esco/occupation/59c22779-4d89-4bc9-ba8b-d64bea236723,https://esco.ec.europa.eu/en/use-esco/download,EC-REUSE-ESCO,"Tax advisors use their expertise in tax legislation to provide commercially-focused advisory and consultancy services to a wide range of clients from all economic sectors. They explain complicated tax-related legislation to their clients and assist them in ensuring the most efficient and beneficial payment of taxes by devising tax-efficient strategies. They also inform them of fiscal changes and developments and may specialise in tax strategies concerning mergers or multinational reconstruction for business clients, trust and estate taxes for individual clients etc.",crosswalk_reviewed_in_source_project
M121108-M01,M121108,121108,Claims Manager,ESCO 1.2.1,1346.5,insurance claims manager,MASCO_crosswalk,100,high,http://data.europa.eu/esco/occupation/942211c1-b534-4a14-ae85-38ea44c2d14b,https://esco.ec.europa.eu/en/use-esco/download,EC-REUSE-ESCO,"Insurance claims managers lead the team of insurance claims officers to ensure they handle insurance claims properly and efficiently. They deal with more complex customer complains and assist with fraudulent cases. Insurance claims managers work with insurance brokers, agents, loss adjusters and customers.",crosswalk_reviewed_in_source_project
M121109-M01,M121109,121109,Actuarial Valuation Manager,ESCO 1.2.1,2120.1,actuarial consultant,MASCO_crosswalk,100,high,http://data.europa.eu/esco/occupation/068c2787-58ff-468e-bbb6-c4e5dd6ee482,https://esco.ec.europa.eu/en/use-esco/download,EC-REUSE-ESCO,"Actuarial consultants analyse, manage and provide guidance on financial impact of risks. They can work in fields related to insurance, pension, investment, banking, healthcare etc. Actuarial consultants apply technical and statistical models and theories to give strategic, commercial, and financial advice.",crosswalk_reviewed_in_source_project
M121111-M01,M121111,121111,Transfer Pricing Manager,ESCO 1.2.1,2411.1.12,tax advisor,MASCO_crosswalk,100,not_established,http://data.europa.eu/esco/occupation/59c22779-4d89-4bc9-ba8b-d64bea236723,https://esco.ec.europa.eu/en/use-esco/download,EC-REUSE-ESCO,"Tax advisors use their expertise in tax legislation to provide commercially-focused advisory and consultancy services to a wide range of clients from all economic sectors. They explain complicated tax-related legislation to their clients and assist them in ensuring the most efficient and beneficial payment of taxes by devising tax-efficient strategies. They also inform them of fiscal changes and developments and may specialise in tax strategies concerning mergers or multinational reconstruction for business clients, trust and estate taxes for individual clients etc.",crosswalk_reviewed_in_source_project
M121202-M01,M121202,121202,Occupational Safety and Health Manager,ESCO 1.2.1,1213.7,health safety and environmental manager,MASCO_crosswalk,100,high,http://data.europa.eu/esco/occupation/57e87533-e523-4ee5-bf21-94a39fcc279b,https://esco.ec.europa.eu/en/use-esco/download,EC-REUSE-ESCO,"Health, safety and environmental managers design and execute corporate policies and procedures related to occupational health and safety and environmental protection. They analyse business processes to ensure compliance with government and environment legislation, conduct risk assessment in the domain of occupational health and safety, evaluate the environmental impact of economic activities and design the appropriate measures for the improvement of work environments and cultures. They coordinate the implementation of an integrated health, safety and environmental management system, defining effective indicators, organizing audits and eventually participating in accident investigation and reporting. They promote an integrated approach to sustainability and occupational health within business organisations, liaising with corporate and line managers and training employees. They are responsible for drafting technical documentation related to the compliance with health and safety and environmental legislation.",crosswalk_reviewed_in_source_project
M121202-M03,M121202,121202,Occupational Safety and Health Manager,NOC 2021 Version 1.0,22232,Occupational health and safety specialists,title_similarity,75,medium,22232,https://www.statcan.gc.ca/en/subjects/standard/noc/2021/indexV1,STATCAN-OPEN-LICENCE,"This group performs some or all of the following duties:; Lead and participate in workplace audits and investigations of safety concerns, incidents and accidents; Lead and participate in workplace inspections to ensure that equipment, materials and production processes do not present a safety or health hazard to employees",human_mapping_review_required
M121202-M02,M121202,121202,Occupational Safety and Health Manager,O*NET 31.0,19-5011.00,Occupational Health and Safety Specialists,title_similarity,75,medium,19-5011.00,https://www.onetcenter.org/database.html,CC-BY-4.0-ONET,"Review, evaluate, and analyze work environments and design programs and procedures to control, eliminate, and prevent disease or injury caused by chemical, physical, and biological agents or ergonomic factors. May conduct inspections and enforce adherence to laws and regulations governing the health and safety of individuals. May be employed in the public or private sector.",human_mapping_review_required
M121202-M04,M121202,121202,Occupational Safety and Health Manager,OSCA 2024 Version 1.0,111633,Work Health and Safety Manager,title_similarity,75,medium,111633,https://www.abs.gov.au/statistics/classifications/osca-occupation-standard-classification-australia/2024-version-1-0/data-downloads,CC-BY-4.0-ABS,"Leads the development and implementation of work health and safety programs, and ensures compliance with related statutory requirements",human_mapping_review_required
M121404-M01,M121404,121404,Supply Chain and Logistics Management Manager,ESCO 1.2.1,1324.8,supply chain manager,MASCO_crosswalk,100,medium,http://data.europa.eu/esco/occupation/aacc3918-b5d3-484b-9480-5d29aa550d74,https://esco.ec.europa.eu/en/use-esco/download,EC-REUSE-ESCO,"Supply chain managers plan, manage and coordinate all activities related to the sourcing and procurement of supplies needed to run manufacturing operations from the acquisition of raw materials to the distribution of finished products. The supplies can be raw materials or finished products, and it can be for internal or external use. Moreover, they plan and commission all the activities needed to be performed in manufacturing plants and adjust operations to changing levels of demand for a company's products.",crosswalk_reviewed_in_source_project
M121404-M02,M121404,121404,Supply Chain and Logistics Management Manager,O*NET 31.0,11-3071.04,Supply Chain Managers,title_similarity,75,medium,11-3071.04,https://www.onetcenter.org/database.html,CC-BY-4.0-ONET,"Direct or coordinate production, purchasing, warehousing, distribution, or financial forecasting services or activities to limit costs and improve accuracy, customer service, or safety. Examine existing procedures or opportunities for streamlining activities to meet product distribution needs. Direct the movement, storage, or processing of inventory.",human_mapping_review_required
M121408-M01,M121408,121408,Technology Manager,ESCO 1.2.1,1330.5,ICT operations manager,MASCO_crosswalk,100,high,http://data.europa.eu/esco/occupation/f0ca39a8-1e30-487c-95f9-ef2d5e734adc,https://esco.ec.europa.eu/en/use-esco/download,EC-REUSE-ESCO,"ICT operations managers coordinate ICT services and infrastructure ensuring that the organisation has the required infrastructural resources. They also plan and monitor stages of either a business process or a computer process, negotiate contracts and take mitigation action in case of non-fulfilment of agreements. They oversee the day-to-day tasks involving infrastructure components, ICT systems and software.",crosswalk_reviewed_in_source_project
M121408-M02,M121408,121408,Technology Manager,O*NET 31.0,15-1299.09,Information Technology Project Managers,title_similarity,67,medium,15-1299.09,https://www.onetcenter.org/database.html,CC-BY-4.0-ONET,"Plan, initiate, and manage information technology (IT) projects. Lead and guide the work of technical staff. Serve as liaison between business and technical aspects of projects. Plan project stages and assess business implications for each stage. Monitor progress to assure deadlines, standards, and cost targets are met.",human_mapping_review_required
M121409-M01,M121409,121409,Chief Business Officer,ESCO 1.2.1,1120.3,chief executive officer,MASCO_crosswalk,100,not_established,http://data.europa.eu/esco/occupation/6c3fd65e-2d24-47d8-bc22-9e93512bdcc2,https://esco.ec.europa.eu/en/use-esco/download,EC-REUSE-ESCO,"Chief executive officers hold the highest ranking in a pyramidal corporate structure. They are able to hold a complete idea of the functioning of the business, its departments, risks, and stakeholders. They analyse different kinds of information and create links among them for decision-making purposes. They serve as a communication link with the board of directors for reporting and implementation of the overall strategy.",crosswalk_reviewed_in_source_project
M121409-M02,M121409,121409,Chief Business Officer,O*NET 31.0,11-1011.03,Chief Sustainability Officers,title_similarity,67,medium,11-1011.03,https://www.onetcenter.org/database.html,CC-BY-4.0-ONET,"Communicate and coordinate with management, shareholders, customers, and employees to address sustainability issues. Enact or oversee a corporate sustainability strategy.",human_mapping_review_required
M121409-M03,M121409,121409,Chief Business Officer,OSCA 2024 Version 1.0,113131,Chief Information Officer,title_similarity,67,medium,113131,https://www.abs.gov.au/statistics/classifications/osca-occupation-standard-classification-australia/2024-version-1-0/data-downloads,CC-BY-4.0-ABS,"Plans, organises, directs, controls and coordinates the ICT strategies, plans and operations of an organisation to ensure the ICT infrastructure supports the organisation's overall operations and priorities",human_mapping_review_required
M122301-M01,M122301,122301,Research and Development Manager,ESCO 1.2.1,1223.2,research and development manager,MASCO_crosswalk,100,high,http://data.europa.eu/esco/occupation/73ceb2f9-18e3-4cfe-9c06-e9fb31ece440,https://esco.ec.europa.eu/en/use-esco/download,EC-REUSE-ESCO,"Research and development managers coordinate the efforts of scientists, academical researchers, product developers, and market researchers towards the creation of new products, the improvement of current ones or other research activities, including scientific research. They manage and plan research and development activities of an organisation, specify goals and budget requirements and manage the staff.",crosswalk_reviewed_in_source_project
M122301-M02,M122301,122301,Research and Development Manager,O*NET 31.0,11-3131.00,Training and Development Managers,title_similarity,67,medium,11-3131.00,https://www.onetcenter.org/database.html,CC-BY-4.0-ONET,"Plan, direct, or coordinate the training and development activities and staff of an organization.",human_mapping_review_required
M122301-M03,M122301,122301,Research and Development Manager,OSCA 2024 Version 1.0,111531,Research and Development Manager,title_similarity,100,high,111531,https://www.abs.gov.au/statistics/classifications/osca-occupation-standard-classification-australia/2024-version-1-0/data-downloads,CC-BY-4.0-ABS,"Plans, organises, directs, controls and coordinates research and development activities within an organisation",human_mapping_review_required
M131101-M01,M131101,131101,Forestry Manager,ESCO 1.2.1,1311.1,forester,MASCO_crosswalk,100,high,http://data.europa.eu/esco/occupation/f04eaeff-52f5-4d52-93ad-6f846884827f,https://esco.ec.europa.eu/en/use-esco/download,EC-REUSE-ESCO,Foresters are responsible for monitoring the natural and economic viability of a woodland or forest and for activities related to its management and conservation.,crosswalk_reviewed_in_source_project
M131102-M01,M131102,131102,Agricultural Manager,ESCO 1.2.1,6130.1,farm manager,MASCO_crosswalk,100,high,http://data.europa.eu/esco/occupation/4552095e-3396-4831-86ad-4fc34ec39a19,https://esco.ec.europa.eu/en/use-esco/download,EC-REUSE-ESCO,"Farm managers plan and organise the daily operations, resourcing and business management of animal and crops producing farms.",crosswalk_reviewed_in_source_project
M131102-M02,M131102,131102,Agricultural Manager,O*NET 31.0,11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",title_similarity,82,high,11-9013.00,https://www.onetcenter.org/database.html,CC-BY-4.0-ONET,"Plan, direct, or coordinate the management or operation of farms, ranches, greenhouses, aquacultural operations, nurseries, timber tracts, or other agricultural establishments. May hire, train, and supervise farm workers or contract for services to carry out the day-to-day activities of the managed operation. May engage in or supervise planting, cultivating, harvesting, and financial and marketing activities.",human_mapping_review_required
M131103-M01,M131103,131103,Veterinary Manager,ESCO 1.2.1,1120.1,animal facility manager,MASCO_crosswalk,100,high,http://data.europa.eu/esco/occupation/93dfef83-579c-4bef-b0ba-d41ee9cbda85,https://esco.ec.europa.eu/en/use-esco/download,EC-REUSE-ESCO,"Animal facility managers coordinate and plan all activities of a zoo. They formulate policies, manage daily operations, and plan the use of materials and human resources. They are the driving force and public face of their institution. This often involves representing their institution on a national, regional and global scale and taking part in coordinated zoo activities.",crosswalk_reviewed_in_source_project
M131103-M02,M131103,131103,Veterinary Manager,OSCA 2024 Version 1.0,171333,Veterinary Practice Manager,title_similarity,80,medium,171333,https://www.abs.gov.au/statistics/classifications/osca-occupation-standard-classification-australia/2024-version-1-0/data-downloads,CC-BY-4.0-ABS,"Organises and controls the functions and resources of a veterinary practice or hospital, such as administrative systems and practice personnel",human_mapping_review_required
M131104-M01,M131104,131104,Field Manager (Grass),ESCO 1.2.1,6113.3,horticulture production team leader,MASCO_crosswalk,100,high,http://data.europa.eu/esco/occupation/8e24c53a-9dc6-46d1-986b-48a93f20df2a,https://esco.ec.europa.eu/en/use-esco/download,EC-REUSE-ESCO,Horticulture production team leaders are responsible for leading and working with a team. They organise daily work schedules for the production of horticulture crops and participate in the production.,crosswalk_reviewed_in_source_project
M131201-M01,M131201,131201,Aquaculture and Fisheries Production/Operation Manager,ESCO 1.2.1,1312.3,aquaculture production manager,MASCO_crosswalk,100,medium,http://data.europa.eu/esco/occupation/5945cba8-19a4-4632-8a8f-4186e2bad1a3,https://esco.ec.europa.eu/en/use-esco/download,EC-REUSE-ESCO,"Aquaculture production managers plan, direct and coordinate the production of fish, shellfish or other forms of aquatic life such as cash crops, in large-scale aquaculture operations to culture and harvest or for release into fresh, brackish or salt water.",crosswalk_reviewed_in_source_project
M132101-M01,M132101,132101,Manufacturing Manager,ESCO 1.2.1,1321.2,manufacturing manager,MASCO_crosswalk,100,high,http://data.europa.eu/esco/occupation/6426ada1-4d8c-4612-99e3-91bc569805ee,https://esco.ec.europa.eu/en/use-esco/download,EC-REUSE-ESCO,"Manufacturing managers plan, oversee and direct the manufacturing process in an organisation. They ensure products and services are efficiently produced within the timeframe and budget given.",crosswalk_reviewed_in_source_project
M132101-M02,M132101,132101,Manufacturing Manager,NOC 2021 Version 1.0,90010,Manufacturing managers,title_similarity,100,high,90010,https://www.statcan.gc.ca/en/subjects/standard/noc/2021/indexV1,STATCAN-OPEN-LICENCE,"This group performs some or all of the following duties:; Plan, organize, direct, control and evaluate the operations of a manufacturing establishment or the operations or production department of a manufacturing establishment; Develop and implement plans to efficiently use materials, labour and equipment to meet production targets",human_mapping_review_required
M132101-M03,M132101,132101,Manufacturing Manager,OSCA 2024 Version 1.0,132232,Production Manager (Manufacturing),title_similarity,80,medium,132232,https://www.abs.gov.au/statistics/classifications/osca-occupation-standard-classification-australia/2024-version-1-0/data-downloads,CC-BY-4.0-ABS,"Plans, organises, directs, controls and coordinates the production activities of a manufacturing operation including physical, technological and human resources",human_mapping_review_required
M132102-M01,M132102,132102,Electrical Manager,ESCO 1.2.1,3123.1.11,electrical supervisor,MASCO_crosswalk,100,high,http://data.europa.eu/esco/occupation/8862c29b-3810-4fbc-85c7-c9ee87535f73,https://esco.ec.europa.eu/en/use-esco/download,EC-REUSE-ESCO,Electrical supervisors monitor the operations involved in installing and servicing electricity cables and other electrical infrastructure. They assign tasks and take quick decisions to resolve problems.,crosswalk_reviewed_in_source_project
M132103-M01,M132103,132103,Energy Manager,ESCO 1.2.1,1349.12,energy manager,MASCO_crosswalk,100,high,http://data.europa.eu/esco/occupation/a005f8a2-2d8a-433e-8d89-13575f822fd4,https://esco.ec.europa.eu/en/use-esco/download,EC-REUSE-ESCO,"Energy managers coordinate the energy use in an organisation, and aim to implement policies for increased sustainability, and minimisation of cost and environmental impact. They monitor the energy demands and use, and develop improvement strategies, as well as researching the most beneficial source of energy for the organisation's needs.",crosswalk_reviewed_in_source_project
M132103-M02,M132103,132103,Energy Manager,O*NET 31.0,11-9199.09,Wind Energy Operations Managers,title_similarity,67,medium,11-9199.09,https://www.onetcenter.org/database.html,CC-BY-4.0-ONET,"Manage wind field operations, including personnel, maintenance activities, financial activities, and planning.",human_mapping_review_required
M132104-M01,M132104,132104,Production Manager (Manufacturing),ESCO 1.2.1,1321.2.1,industrial production manager,MASCO_crosswalk,100,medium,http://data.europa.eu/esco/occupation/eb9479c6-5fdf-4f45-ace4-28b547b8c7e5,https://esco.ec.europa.eu/en/use-esco/download,EC-REUSE-ESCO,"Industrial production managers oversee the operations and the resources needed in industrial plants and manufacturing sites for a smooth running of the operations. They prepare the production schedule by combining the requirements of clients with the resources of the production plant. They organise the journey of incoming raw materials or semi finished products in the plant until a final product is delivered by coordinating inventories, warehouses, distribution, and support activities.",crosswalk_reviewed_in_source_project
M132104-M03,M132104,132104,Production Manager (Manufacturing),NOC 2021 Version 1.0,90010,Manufacturing managers,title_similarity,80,medium,90010,https://www.statcan.gc.ca/en/subjects/standard/noc/2021/indexV1,STATCAN-OPEN-LICENCE,"This group performs some or all of the following duties:; Plan, organize, direct, control and evaluate the operations of a manufacturing establishment or the operations or production department of a manufacturing establishment; Develop and implement plans to efficiently use materials, labour and equipment to meet production targets",human_mapping_review_required
M132104-M02,M132104,132104,Production Manager (Manufacturing),O*NET 31.0,11-3051.00,Industrial Production Managers,title_similarity,67,medium,11-3051.00,https://www.onetcenter.org/database.html,CC-BY-4.0-ONET,"Plan, direct, or coordinate the work activities and resources necessary for manufacturing products in accordance with cost, quality, and quantity specifications.",human_mapping_review_required
M132104-M04,M132104,132104,Production Manager (Manufacturing),OSCA 2024 Version 1.0,132232,Production Manager (Manufacturing),title_similarity,100,high,132232,https://www.abs.gov.au/statistics/classifications/osca-occupation-standard-classification-australia/2024-version-1-0/data-downloads,CC-BY-4.0-ABS,"Plans, organises, directs, controls and coordinates the production activities of a manufacturing operation including physical, technological and human resources",human_mapping_review_required
M132105-M01,M132105,132105,Ship Hull Manager,ESCO 1.2.1,1321.2.1,industrial production manager,MASCO_crosswalk,100,high,http://data.europa.eu/esco/occupation/eb9479c6-5fdf-4f45-ace4-28b547b8c7e5,https://esco.ec.europa.eu/en/use-esco/download,EC-REUSE-ESCO,"Industrial production managers oversee the operations and the resources needed in industrial plants and manufacturing sites for a smooth running of the operations. They prepare the production schedule by combining the requirements of clients with the resources of the production plant. They organise the journey of incoming raw materials or semi finished products in the plant until a final product is delivered by coordinating inventories, warehouses, distribution, and support activities.",crosswalk_reviewed_in_source_project
M132106-M01,M132106,132106,Mechanical Manager,ESCO 1.2.1,1321.2,manufacturing manager,MASCO_crosswalk,100,high,http://data.europa.eu/esco/occupation/6426ada1-4d8c-4612-99e3-91bc569805ee,https://esco.ec.europa.eu/en/use-esco/download,EC-REUSE-ESCO,"Manufacturing managers plan, oversee and direct the manufacturing process in an organisation. They ensure products and services are efficiently produced within the timeframe and budget given.",crosswalk_reviewed_in_source_project
M132107-M01,M132107,132107,Welding Manager,ESCO 1.2.1,7212.4,welding coordinator,MASCO_crosswalk,100,high,http://data.europa.eu/esco/occupation/cdef4961-fcc2-4e00-bfe8-4480b33aa6f3,https://esco.ec.europa.eu/en/use-esco/download,EC-REUSE-ESCO,"Welding coordinators supervise the workflow of welding applications. They monitor welding processes performed by other welders, supervise the staff, being sometimes responsible for vocational training. They also weld particularly demanding parts. Welding coordinators ensure that the necessary welding equipment is ready for usage. They mostly coordinate welding applications and related professional activities.",crosswalk_reviewed_in_source_project
M132108-M01,M132108,132108,Oil Mill Manager,ESCO 1.2.1,1321.2.1.3,food production manager,MASCO_crosswalk,100,high,http://data.europa.eu/esco/occupation/a7d6a377-3d3b-41cf-9301-f4a0a7ad3d96,https://esco.ec.europa.eu/en/use-esco/download,EC-REUSE-ESCO,"Food production managers oversee and monitor production and have overall responsibility for staffing and related issues. Hence, they have a detailed knowledge of the manufacturing products and their production processes. On the one hand, they control process parameters and their influence on the product and on the other hand, they ensure that staffing and recruitment levels are adequate.",crosswalk_reviewed_in_source_project
M132109-M01,M132109,132109,Manager (Halal Food Manufacturing),ESCO 1.2.1,1321.2.1.3,food production manager,MASCO_crosswalk,100,high,http://data.europa.eu/esco/occupation/a7d6a377-3d3b-41cf-9301-f4a0a7ad3d96,https://esco.ec.europa.eu/en/use-esco/download,EC-REUSE-ESCO,"Food production managers oversee and monitor production and have overall responsibility for staffing and related issues. Hence, they have a detailed knowledge of the manufacturing products and their production processes. On the one hand, they control process parameters and their influence on the product and on the other hand, they ensure that staffing and recruitment levels are adequate.",crosswalk_reviewed_in_source_project
M132109-M02,M132109,132109,Manager (Halal Food Manufacturing),NOC 2021 Version 1.0,90010,Manufacturing managers,title_similarity,67,medium,90010,https://www.statcan.gc.ca/en/subjects/standard/noc/2021/indexV1,STATCAN-OPEN-LICENCE,"This group performs some or all of the following duties:; Plan, organize, direct, control and evaluate the operations of a manufacturing establishment or the operations or production department of a manufacturing establishment; Develop and implement plans to efficiently use materials, labour and equipment to meet production targets",human_mapping_review_required
M132111-M01,M132111,132111,Power Generation Plant Manager,ESCO 1.2.1,1219.5.3,power plant manager,MASCO_crosswalk,100,high,http://data.europa.eu/esco/occupation/cb446db8-e8b3-418c-a21c-2d10faea42a5,https://esco.ec.europa.eu/en/use-esco/download,EC-REUSE-ESCO,"Power plant managers supervise operations in power plants which produce and transport energy. They coordinate the production of energy in the plant, and supervise the construction, operation and maintenance of energy transmission and distribution networks and systems.",crosswalk_reviewed_in_source_project
M132111-M02,M132111,132111,Power Generation Plant Manager,O*NET 31.0,11-3051.04,Biomass Power Plant Managers,title_similarity,75,medium,11-3051.04,https://www.onetcenter.org/database.html,CC-BY-4.0-ONET,"Manage operations at biomass power generation facilities. Direct work activities at plant, including supervision of operations and maintenance staff.",human_mapping_review_required
M132111-M03,M132111,132111,Power Generation Plant Manager,OSCA 2024 Version 1.0,399133,Power Generation Plant Operator,title_similarity,75,medium,399133,https://www.abs.gov.au/statistics/classifications/osca-occupation-standard-classification-australia/2024-version-1-0/data-downloads,CC-BY-4.0-ABS,"Operates, controls, maintains and monitors machines and associated plant equipment used to generate electrical power, including power generated from renewable energy such as solar, wind power and hydropower",human_mapping_review_required
M132201-M01,M132201,132201,Production and Operation Manager (Mine),ESCO 1.2.1,1322.1.1,mine production manager,MASCO_crosswalk,100,high,http://data.europa.eu/esco/occupation/df66a6e6-2130-4932-8aaf-263dafa569fa,https://esco.ec.europa.eu/en/use-esco/download,EC-REUSE-ESCO,"Mine production managers coordinate and implement short and medium term mine production schedules and plans, such as drilling, blasting, ore and mineral extraction, and waste management.",crosswalk_reviewed_in_source_project
