"source_current_role_id","source_current_masco_code","source_current_role_title","status","masco2020_role_ids","d13_esco_code","d13_esco_title","d11_esco_code","d11_esco_comparison_codes","d11_esco_comparison_titles","previous_d13_esco_code","source_mapping_relation","source_mapping_confidence"
"M214112","214112","Energy Engineer","retained","M214155","2149.9","energy engineer","","","","","close_match","high"
"M214113","214113","Renewable Energy Engineer","retained","M214156","2149.9.7","renewable energy engineer","","","","","close_match","high"
"M214114","214114","Environment Engineer","retained","M214157","2143.1","environmental engineer","","","","","close_match","medium"
"M214115","214115","Energy Auditor","retained","M214159","3112.5","energy analyst","","","","","broader_proxy","medium"
"M214116","214116","Materials Engineer","retained","M214169","2149.11","materials engineer","","","","","close_match","high"
"M214201","214201","Civil Engineering Technologist","retained","M214206","2142.1","civil engineer","","","","","broader_proxy","medium"
"M214202","214202","Civil Engineer","retained","M214207","2142.1","civil engineer","","","","2142.1","close_match","high"
"M214203","214203","Foundation Engineer","retained","M214238","2142.1.4","geological engineer","","","","","partial_proxy","low"
"M214204","214204","Quantity Surveyor","retained","M214248","2149.14","quantity surveyor","","","","","close_match","high"
"M214206","214206","Engineer Grade J9","retained","M214202","2142.1","civil engineer","","","","","broader_proxy","medium"
"M214207","214207","Quantity Surveyor Grade J9/J10","retained","M214245","2149.14","quantity surveyor","","","","","close_match","high"
"M214208","214208","Building Surveyor Grade J9/J10","retained","M214246","3315.8","real estate surveyor","","","","","close_match","medium"
"M214301","214301","Environmental Engineer","retained","M214301","2143.1","environmental engineer","","","","2143.1","close_match","high"
"M214302","214302","Environmental Analyst","retained","M214305","2133.7","environmental scientist","","","","2143.1","broader_proxy","medium"
"M214401","214401","Mechanical Engineer","retained","M214402","2144.1","mechanical engineer","","","","2144.1","close_match","high"
"M214402","214402","Lift Engineer","retained","M214404","7412.7","lift technician","","","","","partial_proxy","low"
"M214403","214403","Competent Person (CP) - Internal Combustion Engine Engineer","retained","M214413","2144.1","mechanical engineer","","","","","broader_proxy","medium"
"M214404","214404","Welding Engineer","retained","M214436","2144.1.23","welding engineer","","","","2144.1.23","close_match","high"
"M214405","214405","Engineering Technologist","retained","M214443","2144.1","mechanical engineer","","","","","broader_proxy","medium"
"M214406","214406","Robotic Technologist","retained","M214458","3119.2.1","robotics engineering technician","","","","","close_match","medium"
"M214407","214407","Aerospace Engineer","retained","M214459","2144.1.1","aerospace engineer","","","","2144.1.1","close_match","high"
"M214408","214408","Mine Ventilation Engineer","excluded_from_active_dataset","","2144.1.13","mine ventilation engineer","","","","2144.1.13","close_match","high"
"M214501","214501","Chemical Engineer","retained","M214503","2145.1","chemical engineer","","","","2145.1","close_match","high"
"M214601","214601","Mining Engineer","retained","M214601","2146.8","mine planning engineer","","","","2146.11","partial_proxy","low"
"M214602","214602","Petroleum Mining Engineer","retained","M214606","2146.10","petroleum engineer","","","","","partial_proxy","low"
"M214603","214603","Metallurgist","retained","M214609","2146.5","metallurgist","","","","2146.5","close_match","high"
"M214604","214604","Assayer","retained","M214616","2146.1","assayer","","","","2146.1","close_match","high"
"M214605","214605","Marine Section Leader","retained","M214624","4323.19","vessel operations coordinator","","","","","partial_proxy","low"
"M214606","214606","Hydraulics Engineer","retained","M214641","2144.1.7","fluid power engineer","","","","","close_match","medium"
"M214607","214607","Water Management Engineer","retained","M214642","2142.1.11","water engineer","","","","","partial_proxy","low"
"M214608","214608","Pipeline Mechanical Engineer","retained","M214645","2142.1.7","pipeline engineer","","","","","partial_proxy","low"
"M214609","214609","Pipe Stress Engineer","retained","M214648","2142.1.7","pipeline engineer","","","","","partial_proxy","low"
"M214610","214610","Blasting Expert (Mine)","retained","M214649","2146.3","explosives engineer","","","","","broader_proxy","medium"
"M214901","214901","Explosive Ordnance Engineer","retained","M214901","2146.3","explosives engineer","","","","","partial_proxy","low"
"M214902","214902","Marine Salvage Engineer","retained","M214902","2144.1.10","marine engineer","","","","","partial_proxy","low"
"M214904","214904","Industrial Health and Safety Engineer","retained","M214907","2149.10","health and safety engineer","","","","2149.10","close_match","medium"
"M214905","214905","Field Service Engineer","retained","M214913","2144.1.6","equipment engineer","","","","","partial_proxy","low"
"M214906","214906","Research Engineer","retained","M214918","2149.2.8","research engineer","","","","2149.2.8","close_match","high"
"M214907","214907","Biomedical Engineer","retained","M214919","2149.5.1","biomedical engineer","","","","2149.5.1","close_match","high"
"M214908","214908","Optical Engineer","retained","M214920","2149.12","optical engineer","","","","2149.12","close_match","high"
"M214909","214909","Quality Assurance/Quality Control Inspection Engineer (QA/QC)","retained","M214921","2149.2.7","quality engineer","","","","","partial_proxy","low"
"M214910","214910","Commissioning Engineer","retained","M214923","2149.6","commissioning engineer","","","","2149.6","close_match","high"
"M214911","214911","Nano Engineer","excluded_from_active_dataset","","2149.11.1","nanoengineer","","","","","close_match","medium"
"M214913","214913","Factories and Machinery Inspector Grade J9","retained","M214922","3257.5","occupational health and safety inspector","","","","","partial_proxy","low"
"M215101","215101","Electrical Engineer","retained","M215102","2151.1","electrical engineer","","","","2151.1","close_match","high"
"M215102","215102","Electrical Energy Auditor","retained","M215135","3112.5","energy analyst","","","","","broader_proxy","medium"
"M215103","215103","Electrical Superintendent","retained","M215136","3123.1.11","electrical supervisor","","","","","close_match","medium"
"M215201","215201","Electronics Engineer","retained","M215202","2152.1","electronics engineer","","","","2152.1","close_match","high"
"M215202","215202","Integrated Circuit (IC) Package Assembly Process Engineer","retained","M215236","2152.1.7","microelectronics engineer","","","","","broader_proxy","medium"
"M215301","215301","Telecommunications Engineer","retained","M215301","2153.1","telecommunications engineer","","","","2153.1","close_match","high"
"M215302","215302","Network and Systems Engineer","retained","M215323","2523.3","ICT network engineer","","","","","close_match","medium"
"M215303","215303","Acoustic Engineer","retained","M215330","2149.1","acoustical engineer","","","","","close_match","medium"
"M216101","216101","Architect","retained","M216102","2161.1","architect","","","","2161.1","close_match","high"
"M216102","216102","Architect Grade J9/J10","retained","M216101","2161.1","architect","","","","","close_match","high"
"M216201","216201","Landscape Architect","retained","M216202","2162.1","landscape architect","","","","2162.1","close_match","high"
"M216202","216202","Landscape Architect Grade J9","retained","M216201","2162.1","landscape architect","","","","","close_match","high"
"M216301","216301","Commercial Products Designer","retained","M216301","2163.1","industrial designer","","","","","partial_proxy","low"
"M216302","216302","Green Technology Design Professional","retained","M216326","2143.1","environmental engineer","","","","","broader_proxy","medium"
"M216401","216401","Town Planner","retained","M216402","2164.4","urban planner","","","","","close_match","medium"
"M216402","216402","Traffic Engineer","retained","M216404","2164.3","transport planner","","","","2164.3","close_match","medium"
"M216403","216403","Urban and Regional Planner","retained","M216407","2164.4","urban planner","","","","","partial_proxy","low"
"M216404","216404","Urban and Rural Planning Officer Grade J9","retained","M216401","2164.4","urban planner","","","","","partial_proxy","low"
"M216501","216501","Cartographer","retained","M216503","2165.2","cartographer","","","","2165.2","close_match","high"
"M216502","216502","Surveyor","retained","M216507","2165.4","land surveyor","","","","2165.4","close_match","medium"
"M216503","216503","Geospatialist Grade J9","retained","M216501","2165.3","geographic information systems specialist","","","","","partial_proxy","low"
"M216504","216504","Surveyor Grade J9","retained","M216502","2165.4","land surveyor","","","","","close_match","medium"
"M216602","216602","Poster Designer","retained","M363204","2166.9","graphic designer","","","","","broader_proxy","medium"
"M216603","216603","Designer Grade B9","retained","M216601","2166.9","graphic designer","","","","","broader_proxy","medium"
"M217101","217101","Marine Engineer","retained","M217102","2144.1.10","marine engineer","","","","","close_match","high"
"M217102","217102","Naval Architect","retained","M217105","2144.1.14","naval architect","","","","","close_match","high"
"M217201","217201","Hovercraft Pilot","retained","M217203","3152.3","maritime pilot","","","","","partial_proxy","low"
"M217202","217202","Port Captain","retained","M217205","4323.11","port coordinator","","","","","partial_proxy","low"
"M217203","217203","Ship Navigator","retained","M217207","3152.1","deck officer","","","","","broader_proxy","medium"
"M217204","217204","Marine Superintendent (Deck)","retained","M217210","3152.1","deck officer","","","","","broader_proxy","medium"
"M217205","217205","Shipping Executive","retained","M217211","3331.2.2","shipping agent","","","","","partial_proxy","low"
"M217206","217206","Marine Officer Grade AL9","retained","M217201","3115.1.9","marine surveyor","","","","","partial_proxy","low"
"M217301","217301","Pilot","retained","M217303","3153.2","aircraft pilot","","","","","partial_proxy","low"
"M217302","217302","Flight Instructor","retained","M217305","3153.2.3","flight instructor","","","","","close_match","high"
"M217303","217303","Aircraft Design Engineer","retained","M217310","2144.1.1","aerospace engineer","","","","","close_match","medium"
"M217304","217304","Aeronautical Engineer","retained","M217311","2144.1.1","aerospace engineer","","","","","close_match","medium"
"M217306","217306","Marine Aviation Officer","retained","M217322","3154.3","flight operations officer","","","","","partial_proxy","low"
"M217308","217308","Pilot/Pilot Inspector Grade AT9","retained","M217301","3154.2","aviation inspector","","","","","broader_proxy","medium"
"M217309","217309","Aircraft Examiner Grade AT9","retained","M217302","3154.2","aviation inspector","","","","","broader_proxy","medium"
"M217310","217310","Pilot/Pilot Examiner Grade AT10","retained","M217312","3154.2","aviation inspector","","","","","broader_proxy","medium"
"M217311","217311","Pilot/Pilot Examiner Grade AT12","retained","M217313","3154.2","aviation inspector","","","","","broader_proxy","medium"
"M217312","217312","Pilot/Pilot Examiner Grade AT13","retained","M217314","3154.2","aviation inspector","","","","","broader_proxy","medium"
"M217313","217313","Pilot/Pilot Examiner Grade AT14 (Flight Operation Director)","retained","M217315","3154.2","aviation inspector","","","","","broader_proxy","medium"
"M217401","217401","Air Traffic Controller","retained","M217402","3154.1","air traffic controller","","","","","close_match","high"
"M217402","217402","Operation Centre Controller","retained","M217403","3154.3","flight operations officer","","","","","broader_proxy","medium"
"M217404","217404","Air Traffic Control Officer Grade A9","retained","M217401","3154.1","air traffic controller","","","","","close_match","medium"
"M217501","217501","Railway and Locomotive Operation Officer","retained","M217501","1324.3.1.3","rail operations manager","","","","","broader_proxy","medium"
"M218101","218101","Mining Executive","retained","M218101","1322.1","mine manager","","","","","broader_proxy","medium"
"M218201","218201","Manufacturing Executive","retained","M218201","1321.2","manufacturing manager","","","","","partial_proxy","low"
"M218202","218202","Quality Assurance Executive","retained","M218202","1219.7","quality services manager","","","","","broader_proxy","medium"
"M218203","218203","Store Executive","retained","M218207","1324.3.4","warehouse manager","","","","","partial_proxy","low"
"M218204","218204","Competent Person (CP) - Boilerman","retained","M818202","8182.1","boiler operator","","","","","close_match","medium"
"M218205","218205","Technical Service Adviser","retained","M218229","1349.21","service manager","","","","","partial_proxy","low"
"M218206","218206","Material Specialist","retained","M218231","2149.11","materials engineer","","","","","broader_proxy","medium"
"M218207","218207","Product Development Executive","excluded_from_active_dataset","","1223.2.1","product development manager","","","","","broader_proxy","medium"
"M218301","218301","Construction Executive","retained","M218301","1323.1","construction manager","","","","","broader_proxy","medium"
"M221101","221101","Medical Doctor","retained","M221102","2211.1","general practitioner","","","","","close_match","medium"
"M221102","221102","Medical Doctor (Gynaecology)","retained","M221107","2212.1","specialised doctor","","","","","broader_proxy","medium"
"M221103","221103","Medical Doctor (Cardiology)","retained","M221108","2212.1","specialised doctor","","","","","broader_proxy","medium"
"M221104","221104","Medical Doctor (Obstetrics)","retained","M221110","2212.1","specialised doctor","","","","","broader_proxy","medium"
"M221105","221105","Medical Doctor (Ophthalmology)","retained","M221111","2212.1","specialised doctor","","","","","broader_proxy","medium"
"M221106","221106","Medical Doctor (Psychiatry)","retained","M221112","2212.1","specialised doctor","","","","","broader_proxy","medium"
"M221107","221107","Medical Doctor (Radiology)","retained","M221113","2212.1","specialised doctor","","","","","broader_proxy","medium"
"M221108","221108","Medical Doctor (Skin)","retained","M221118","2212.1","specialised doctor","","","","","broader_proxy","medium"
"M221111","221111","Medical Officer Grade UD9, UD10","retained","M221101;M221120","2211.1","general practitioner","","","","","close_match","medium"
"M221201","221201","Ear, Nose and Throat Specialist","retained","M221201","2212.1","specialised doctor","","","","","broader_proxy","medium"
"M221202","221202","Anaesthetist","retained","M221204","2212.1","specialised doctor","","","","","broader_proxy","medium"
"M221203","221203","Medical Oncologist","retained","M221206","2212.1","specialised doctor","","","","","broader_proxy","medium"
"M221204","221204","Psychiatrist","retained","M221208","2212.1","specialised doctor","","","","","broader_proxy","medium"
"M221205","221205","Ophthalmologist","retained","M221209","2212.1","specialised doctor","","","","","broader_proxy","medium"
"M221206","221206","Cardiologist","retained","M221210","2212.1","specialised doctor","","","","","broader_proxy","medium"
"M221207","221207","Neurologist","retained","M221211","2212.1","specialised doctor","","","","","broader_proxy","medium"
"M221208","221208","Obstetrician and Gynaecologist","retained","M221213","2212.1","specialised doctor","","","","","broader_proxy","medium"
"M221209","221209","Surgeon","retained","M221217","2212.1","specialised doctor","","","","","broader_proxy","medium"
"M221210","221210","Dermatologist","retained","M221233","2212.1","specialised doctor","","","","","broader_proxy","medium"
"M221211","221211","Orthopaedist","retained","M221234","2212.1","specialised doctor","","","","","broader_proxy","medium"
"M221212","221212","Paediatrician","retained","M221236","2212.1","specialised doctor","","","","","broader_proxy","medium"
"M221213","221213","Physician","retained","M221244","2212.1","specialised doctor","","","","","broader_proxy","medium"
"M221214","221214","Radiologist","retained","M221257","2212.1","specialised doctor","","","","","broader_proxy","medium"
"M221215","221215","Urologist","retained","M221262","2212.1","specialised doctor","","","","","broader_proxy","medium"
"M221216","221216","Venereologist","retained","M221263","2212.1","specialised doctor","","","","","broader_proxy","medium"
"M221217","221217","Occupational Therapist","retained","M226801","2269.4","occupational therapist","","","","","close_match","high"
"M222101","222101","Professional Nurse","retained","M222102","2221.2","nurse responsible for general care","","","","","broader_proxy","medium"
"M222102","222102","Specialist Nurse","retained","M222109","2221.3","specialist nurse","","","","2221.3","close_match","high"
"M222103","222103","Nurse Instructor","retained","M222110","2310.1.28","nursing lecturer","","","","","broader_proxy","medium"
"M222104","222104","Nurse Grade U9","retained","M222101","2221.2","nurse responsible for general care","","","","","broader_proxy","medium"
"M222201","222201","Professional Midwife","retained","M222201","2222.1","midwife","","","","","close_match","medium"
"M224101","224101","Paramedic","retained","M224101","3258.2","paramedic in emergency responses","","","","","close_match","medium"
"M225101","225101","Veterinarian","retained","M225102","2250.6","general veterinarian","","","","","close_match","medium"
"M225102","225102","Veterinary Officer Grade GV9","retained","M225101","2250.7","official veterinarian","","","","","partial_proxy","low"
"M226101","226101","Dentist","retained","M226102","2261.1","dental practitioner","","","","2261.1","close_match","medium"
"M226102","226102","Dental Officer Grade UG9","retained","M226101","2261.1","dental practitioner","","","","","partial_proxy","low"
"M226201","226201","Pharmacist","retained","M226202","2262.1","pharmacist","","","","2262.1","close_match","high"
"M226202","226202","Pharmacist Grade UF9","retained","M226201","2262.1","pharmacist","","","","","close_match","high"
"M226203","226203","Pharmacist Grade UF10","retained","M226207","2262.1","pharmacist","","","","","close_match","high"
"M226301","226301","Occupational Safety and Health Adviser","retained","M226320","2263.3","health and safety officer","","","","","close_match","medium"
"M226302","226302","Competent Person (CP) - Assessor","retained","M226325;M226327","3257.5","occupational health and safety inspector","","","","","broader_proxy","medium"
"M226303","226303","Competent Person (CP) - Waste Management","retained","M226328","1321.2.5","waste management officer","","","","","broader_proxy","medium"
"M226304","226304","Building Auditor","retained","M226329","3112.1.2","building inspector","","","","","broader_proxy","medium"
"M226305","226305","Halal Executive","retained","M226331","2263.2","food safety specialist","","","","","partial_proxy","low"
"M226306","226306","Food and Drinks Technologist","retained","M226337","2145.1.4","food technologist","","","","","partial_proxy","low"
"M226307","226307","Landfill Engineer","retained","M226341","2143.1.4","waste treatment engineer","","","","","broader_proxy","medium"
