"role_id","role_title","masco_code","masco_unit_group_code","chosen_esco_code","chosen_esco_title","chosen_esco_uri","mapping_relation","mapping_confidence","mapping_rationale","review_status","production_ready","priority","review_decision","reviewer","review_date","review_notes","masco_source_url","esco_source_url","source_current_role_id","source_current_masco_code","source_current_role_title","source_current_url","masco_reference_version","masco2020_remap_method","masco2020_remap_confidence","masco2020_source_pdf_page","masco2020_source_url","profile_basis","retrieval_evidence_basis","source_d13_mapping_relation","source_d13_mapping_confidence","source_d13_mapping_rationale","source_d13_review_status","source_d13_production_ready"
"M121411","Supply Chain Manager","121411","1214","1324.8","supply chain manager","http://data.europa.eu/esco/occupation/aacc3918-b5d3-484b-9480-5d29aa550d74","inherited_test_proxy","low","Inherited current-role ESCO assignment, not independently revalidated for this MASCO 2020 identity. Current title explicitly combines supply-chain and logistics management; retain the two printed 2020 identities. Original rationale: Supply-chain and logistics planning and coordination.","test_only_project_mapping_not_human_validated","False","normal","","","","","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=319","http://data.europa.eu/esco/occupation/aacc3918-b5d3-484b-9480-5d29aa550d74","M121404","121404","Supply Chain and Logistics Management Manager","https://emasco.mohr.gov.my/masco/1214-04","2020","combined_title_split","medium","319","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=319","Current eMASCO D11 profile inherited for a MASCO 2020 identity; not 2020-specific task evidence; test only.","Original current-role title and profile; candidate scores were not recomputed for the MASCO 2020 title.","close_match","medium","Supply-chain and logistics planning and coordination.","assistant_drafted_pending_domain_validation","False"
"M121416","Technology Manager","121416","1214","1330.5","ICT operations manager","http://data.europa.eu/esco/occupation/f0ca39a8-1e30-487c-95f9-ef2d5e734adc","broader_proxy","medium","D11 description concerns IT infrastructure and services, not generic product technology.","test_only_project_mapping_not_human_validated","False","normal","","","","","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=319","http://data.europa.eu/esco/occupation/f0ca39a8-1e30-487c-95f9-ef2d5e734adc","M121408","121408","Technology Manager","https://emasco.mohr.gov.my/masco/1214-08","2020","exact_normalized_title","high","319","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=319","Current eMASCO D11 profile inherited for a MASCO 2020 identity; not 2020-specific task evidence; test only.","Original current-role title and profile; candidate scores were not recomputed for the MASCO 2020 title.","broader_proxy","medium","D11 description concerns IT infrastructure and services, not generic product technology.","assistant_drafted_pending_domain_validation","False"
"M122301","Research and Development Manager","122301","1223","1223.2","research and development manager","http://data.europa.eu/esco/occupation/73ceb2f9-18e3-4cfe-9c06-e9fb31ece440","close_match","high","Research and development leadership, not a narrower product-manager alias.","test_only_project_mapping_not_human_validated","False","normal","","","","","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=320","http://data.europa.eu/esco/occupation/73ceb2f9-18e3-4cfe-9c06-e9fb31ece440","M122301","122301","Research and Development Manager","https://emasco.mohr.gov.my/masco/1223-01","2020","exact_normalized_title","high","320","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=320","Current eMASCO D11 profile inherited for a MASCO 2020 identity; not 2020-specific task evidence; test only.","Original current-role title and profile; candidate scores were not recomputed for the MASCO 2020 title.","close_match","high","Research and development leadership, not a narrower product-manager alias.","assistant_drafted_pending_domain_validation","False"
"M131102","Forestry Manager","131102","1311","1311.1","forester","http://data.europa.eu/esco/occupation/f04eaeff-52f5-4d52-93ad-6f846884827f","close_match","medium","ESCO alternate title matches the cleaned MASCO title; national qualifications and full task scope are not assumed equivalent.","test_only_project_mapping_not_human_validated","False","normal","","","","","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=320","http://data.europa.eu/esco/occupation/f04eaeff-52f5-4d52-93ad-6f846884827f","M131101","131101","Forestry Manager","https://emasco.mohr.gov.my/masco/1311-01","2020","exact_normalized_title","high","320","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=320","Current eMASCO D11 profile inherited for a MASCO 2020 identity; not 2020-specific task evidence; test only.","Original current-role title and profile; candidate scores were not recomputed for the MASCO 2020 title.","close_match","medium","ESCO alternate title matches the cleaned MASCO title; national qualifications and full task scope are not assumed equivalent.","assistant_drafted_pending_domain_validation","False"
"M131106","Agricultural Manager","131106","1311","6130.1","farm manager","http://data.europa.eu/esco/occupation/4552095e-3396-4831-86ad-4fc34ec39a19","broader_proxy","medium","Agricultural production and farm operations management.","test_only_project_mapping_not_human_validated","False","normal","","","","","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=320","http://data.europa.eu/esco/occupation/4552095e-3396-4831-86ad-4fc34ec39a19","M131102","131102","Agricultural Manager","https://emasco.mohr.gov.my/masco/1311-02","2020","exact_normalized_title","high","320","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=320","Current eMASCO D11 profile inherited for a MASCO 2020 identity; not 2020-specific task evidence; test only.","Original current-role title and profile; candidate scores were not recomputed for the MASCO 2020 title.","broader_proxy","medium","Agricultural production and farm operations management.","assistant_drafted_pending_domain_validation","False"
"M131111","Veterinary Manager","131111","1311","1120.1","animal facility manager","http://data.europa.eu/esco/occupation/93dfef83-579c-4bef-b0ba-d41ee9cbda85","partial_proxy","low","Animal-facility operations and staff management; veterinary clinical oversight requires enrichment. D11 task text appears to describe turf maintenance and is excluded from this decision.","test_only_project_mapping_not_human_validated","False","high","","","","","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=320","http://data.europa.eu/esco/occupation/93dfef83-579c-4bef-b0ba-d41ee9cbda85","M131103","131103","Veterinary Manager","https://emasco.mohr.gov.my/masco/1311-03","2020","exact_normalized_title","high","320","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=320","Current eMASCO D11 profile inherited for a MASCO 2020 identity; not 2020-specific task evidence; test only.","Original current-role title and profile; candidate scores were not recomputed for the MASCO 2020 title.","partial_proxy","low","Animal-facility operations and staff management; veterinary clinical oversight requires enrichment. D11 task text appears to describe turf maintenance and is excluded from this decision.","assistant_drafted_pending_domain_validation","False"
"M131114","Field Manager, Grass","131114","1311","6113.3","horticulture production team leader","http://data.europa.eu/esco/occupation/8e24c53a-9dc6-46d1-986b-48a93f20df2a","partial_proxy","low","Turf maintenance and field-team supervision; horticulture proxy does not imply a tree-only occupation.","test_only_project_mapping_not_human_validated","False","high","","","","","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=320","http://data.europa.eu/esco/occupation/8e24c53a-9dc6-46d1-986b-48a93f20df2a","M131104","131104","Field Manager (Grass)","https://emasco.mohr.gov.my/masco/1311-04","2020","exact_normalized_title","high","320","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=320","Current eMASCO D11 profile inherited for a MASCO 2020 identity; not 2020-specific task evidence; test only.","Original current-role title and profile; candidate scores were not recomputed for the MASCO 2020 title.","partial_proxy","low","Turf maintenance and field-team supervision; horticulture proxy does not imply a tree-only occupation.","assistant_drafted_pending_domain_validation","False"
"M131202","Production and Operation Manager, Fishery","131202","1312","1312.3","aquaculture production manager","http://data.europa.eu/esco/occupation/5945cba8-19a4-4632-8a8f-4186e2bad1a3","inherited_test_proxy","low","Inherited current-role ESCO assignment, not independently revalidated for this MASCO 2020 identity. Current combined role names both fishery production/operation and aquaculture production management. Original rationale: Aquaculture production management.","test_only_project_mapping_not_human_validated","False","normal","","","","","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=320","http://data.europa.eu/esco/occupation/5945cba8-19a4-4632-8a8f-4186e2bad1a3","M131201","131201","Aquaculture and Fisheries Production/Operation Manager","https://emasco.mohr.gov.my/masco/1312-01","2020","combined_title_split","medium","320","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=320","Current eMASCO D11 profile inherited for a MASCO 2020 identity; not 2020-specific task evidence; test only.","Original current-role title and profile; candidate scores were not recomputed for the MASCO 2020 title.","close_match","medium","Aquaculture production management.","assistant_drafted_pending_domain_validation","False"
"M131203","Aquaculture Production Manager","131203","1312","1312.3","aquaculture production manager","http://data.europa.eu/esco/occupation/5945cba8-19a4-4632-8a8f-4186e2bad1a3","inherited_test_proxy","low","Inherited current-role ESCO assignment, not independently revalidated for this MASCO 2020 identity. Current combined role names both fishery production/operation and aquaculture production management. Original rationale: Aquaculture production management.","test_only_project_mapping_not_human_validated","False","normal","","","","","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=320","http://data.europa.eu/esco/occupation/5945cba8-19a4-4632-8a8f-4186e2bad1a3","M131201","131201","Aquaculture and Fisheries Production/Operation Manager","https://emasco.mohr.gov.my/masco/1312-01","2020","combined_title_split","medium","320","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=320","Current eMASCO D11 profile inherited for a MASCO 2020 identity; not 2020-specific task evidence; test only.","Original current-role title and profile; candidate scores were not recomputed for the MASCO 2020 title.","close_match","medium","Aquaculture production management.","assistant_drafted_pending_domain_validation","False"
"M132101","Manufacturing Manager","132101","1321","1321.2","manufacturing manager","http://data.europa.eu/esco/occupation/6426ada1-4d8c-4612-99e3-91bc569805ee","close_match","high","Preferred occupation title matches after removing Malaysian grade/competency wrappers.","test_only_project_mapping_not_human_validated","False","normal","","","","","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=320","http://data.europa.eu/esco/occupation/6426ada1-4d8c-4612-99e3-91bc569805ee","M132101","132101","Manufacturing Manager","https://emasco.mohr.gov.my/masco/1321-01","2020","exact_normalized_title","high","320","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=320","Current eMASCO D11 profile inherited for a MASCO 2020 identity; not 2020-specific task evidence; test only.","Original current-role title and profile; candidate scores were not recomputed for the MASCO 2020 title.","close_match","high","Preferred occupation title matches after removing Malaysian grade/competency wrappers.","assistant_drafted_pending_domain_validation","False"
"M132102","Production and Operation Manager, Manufacturing","132102","1321","1321.2.1","industrial production manager","http://data.europa.eu/esco/occupation/eb9479c6-5fdf-4f45-ace4-28b547b8c7e5","inherited_test_proxy","medium","Inherited current-role ESCO assignment, not independently revalidated for this MASCO 2020 identity. Manufacturing production management corresponds to the 2020 production-and-operation manager, manufacturing. Original rationale: Industrial production management.","test_only_project_mapping_not_human_validated","False","normal","","","","","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=320","http://data.europa.eu/esco/occupation/eb9479c6-5fdf-4f45-ace4-28b547b8c7e5","M132104","132104","Production Manager (Manufacturing)","https://emasco.mohr.gov.my/masco/1321-04","2020","reviewed_functional_equivalent","medium","320","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=320","Current eMASCO D11 profile inherited for a MASCO 2020 identity; not 2020-specific task evidence; test only.","Original current-role title and profile; candidate scores were not recomputed for the MASCO 2020 title.","close_match","medium","Industrial production management.","assistant_drafted_pending_domain_validation","False"
"M132104","Electrical Manager","132104","1321","3123.1.11","electrical supervisor","http://data.europa.eu/esco/occupation/8862c29b-3810-4fbc-85c7-c9ee87535f73","partial_proxy","low","Electrical work supervision; ESCO supervisory seniority is below the managerial title.","test_only_project_mapping_not_human_validated","False","high","","","","","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=321","http://data.europa.eu/esco/occupation/8862c29b-3810-4fbc-85c7-c9ee87535f73","M132102","132102","Electrical Manager","https://emasco.mohr.gov.my/masco/1321-02","2020","exact_normalized_title","high","321","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=321","Current eMASCO D11 profile inherited for a MASCO 2020 identity; not 2020-specific task evidence; test only.","Original current-role title and profile; candidate scores were not recomputed for the MASCO 2020 title.","partial_proxy","low","Electrical work supervision; ESCO supervisory seniority is below the managerial title.","assistant_drafted_pending_domain_validation","False"
"M132105","Energy Manager","132105","1321","1349.12","energy manager","http://data.europa.eu/esco/occupation/a005f8a2-2d8a-433e-8d89-13575f822fd4","close_match","high","Energy management responsibilities.","test_only_project_mapping_not_human_validated","False","normal","","","","","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=321","http://data.europa.eu/esco/occupation/a005f8a2-2d8a-433e-8d89-13575f822fd4","M132103","132103","Energy Manager","https://emasco.mohr.gov.my/masco/1321-03","2020","exact_normalized_title","high","321","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=321","Current eMASCO D11 profile inherited for a MASCO 2020 identity; not 2020-specific task evidence; test only.","Original current-role title and profile; candidate scores were not recomputed for the MASCO 2020 title.","close_match","high","Energy management responsibilities.","assistant_drafted_pending_domain_validation","False"
"M132108","Ship Hull Manager","132108","1321","1321.2.1","industrial production manager","http://data.europa.eu/esco/occupation/eb9479c6-5fdf-4f45-ace4-28b547b8c7e5","broader_proxy","medium","Shipyard hull production leadership; shipbuilding specialty is missing, not an onboard engineer.","test_only_project_mapping_not_human_validated","False","normal","","","","","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=321","http://data.europa.eu/esco/occupation/eb9479c6-5fdf-4f45-ace4-28b547b8c7e5","M132105","132105","Ship Hull Manager","https://emasco.mohr.gov.my/masco/1321-05","2020","exact_normalized_title","high","321","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=321","Current eMASCO D11 profile inherited for a MASCO 2020 identity; not 2020-specific task evidence; test only.","Original current-role title and profile; candidate scores were not recomputed for the MASCO 2020 title.","broader_proxy","medium","Shipyard hull production leadership; shipbuilding specialty is missing, not an onboard engineer.","assistant_drafted_pending_domain_validation","False"
"M132109","Mechanical Manager","132109","1321","1321.2","manufacturing manager","http://data.europa.eu/esco/occupation/6426ada1-4d8c-4612-99e3-91bc569805ee","partial_proxy","low","Mechanical engineering and production management; technical mechanical-engineering content needs enrichment.","test_only_project_mapping_not_human_validated","False","high","","","","","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=321","http://data.europa.eu/esco/occupation/6426ada1-4d8c-4612-99e3-91bc569805ee","M132106","132106","Mechanical Manager","https://emasco.mohr.gov.my/masco/1321-06","2020","exact_normalized_title","high","321","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=321","Current eMASCO D11 profile inherited for a MASCO 2020 identity; not 2020-specific task evidence; test only.","Original current-role title and profile; candidate scores were not recomputed for the MASCO 2020 title.","partial_proxy","low","Mechanical engineering and production management; technical mechanical-engineering content needs enrichment.","assistant_drafted_pending_domain_validation","False"
"M132110","Welding Manager","132110","1321","7212.4","welding coordinator","http://data.europa.eu/esco/occupation/cdef4961-fcc2-4e00-bfe8-4480b33aa6f3","close_match","medium","Coordination of welding quality, procedures and personnel.","test_only_project_mapping_not_human_validated","False","normal","","","","","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=321","http://data.europa.eu/esco/occupation/cdef4961-fcc2-4e00-bfe8-4480b33aa6f3","M132107","132107","Welding Manager","https://emasco.mohr.gov.my/masco/1321-07","2020","exact_normalized_title","high","321","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=321","Current eMASCO D11 profile inherited for a MASCO 2020 identity; not 2020-specific task evidence; test only.","Original current-role title and profile; candidate scores were not recomputed for the MASCO 2020 title.","close_match","medium","Coordination of welding quality, procedures and personnel.","assistant_drafted_pending_domain_validation","False"
"M132111","Oil Mill Manager","132111","1321","1321.2.1.3","food production manager","http://data.europa.eu/esco/occupation/a7d6a377-3d3b-41cf-9301-f4a0a7ad3d96","broader_proxy","medium","Food-production management; palm-oil/halal specialty is absent from ESCO.","test_only_project_mapping_not_human_validated","False","normal","","","","","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=321","http://data.europa.eu/esco/occupation/a7d6a377-3d3b-41cf-9301-f4a0a7ad3d96","M132108","132108","Oil Mill Manager","https://emasco.mohr.gov.my/masco/1321-08","2020","exact_normalized_title","high","321","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=321","Current eMASCO D11 profile inherited for a MASCO 2020 identity; not 2020-specific task evidence; test only.","Original current-role title and profile; candidate scores were not recomputed for the MASCO 2020 title.","broader_proxy","medium","Food-production management; palm-oil/halal specialty is absent from ESCO.","assistant_drafted_pending_domain_validation","False"
"M132112","Manager, Halal Food Manufacturing","132112","1321","1321.2.1.3","food production manager","http://data.europa.eu/esco/occupation/a7d6a377-3d3b-41cf-9301-f4a0a7ad3d96","broader_proxy","medium","Food-production management; palm-oil/halal specialty is absent from ESCO.","test_only_project_mapping_not_human_validated","False","normal","","","","","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=321","http://data.europa.eu/esco/occupation/a7d6a377-3d3b-41cf-9301-f4a0a7ad3d96","M132109","132109","Manager (Halal Food Manufacturing)","https://emasco.mohr.gov.my/masco/1321-09","2020","exact_normalized_title","high","321","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=321","Current eMASCO D11 profile inherited for a MASCO 2020 identity; not 2020-specific task evidence; test only.","Original current-role title and profile; candidate scores were not recomputed for the MASCO 2020 title.","broader_proxy","medium","Food-production management; palm-oil/halal specialty is absent from ESCO.","assistant_drafted_pending_domain_validation","False"
"M132126","Power Generation Plant Manager","132126","1321","1219.5.3","power plant manager","http://data.europa.eu/esco/occupation/cb446db8-e8b3-418c-a21c-2d10faea42a5","close_match","medium","Power-plant management.","test_only_project_mapping_not_human_validated","False","normal","","","","","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=321","http://data.europa.eu/esco/occupation/cb446db8-e8b3-418c-a21c-2d10faea42a5","M132111","132111","Power Generation Plant Manager","https://emasco.mohr.gov.my/masco/1321-11","2020","exact_normalized_title","high","321","https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=321","Current eMASCO D11 profile inherited for a MASCO 2020 identity; not 2020-specific task evidence; test only.","Original current-role title and profile; candidate scores were not recomputed for the MASCO 2020 title.","close_match","medium","Power-plant management.","assistant_drafted_pending_domain_validation","False"
