role_id,skill_id,skill_name,skill_type,importance,source,source_occupation_code,source_element_id,importance_method,curation_note,raw_source_value,normalisation_or_rating_rule,one_line_justification,source_url,review_status
R02,ONET_2_A_1_d,Speaking,technical,72.0,O*NET Essential Skills,15-2051.01,2.A.1.d,O*NET Importance normalized as (raw-1)/4*100,,3.88,O*NET Importance normalized as (raw-1)/4*100,Source-derived O*NET occupation importance value.,https://www.onetcenter.org/database.html,source_derived
R02,ONET_2_A_1_c,Writing,technical,68.8,O*NET Essential Skills,15-2051.01,2.A.1.c,O*NET Importance normalized as (raw-1)/4*100,,3.752,O*NET Importance normalized as (raw-1)/4*100,Source-derived O*NET occupation importance value.,https://www.onetcenter.org/database.html,source_derived
R02,ONET_2_B_4_e,Judgment and Decision Making,soft,65.5,O*NET Transferable Skills,15-2051.01,2.B.4.e,O*NET Importance normalized as (raw-1)/4*100,,3.62,O*NET Importance normalized as (raw-1)/4*100,Source-derived O*NET occupation importance value.,https://www.onetcenter.org/database.html,source_derived
R02,ONET_2_A_1_e,Mathematics,technical,62.5,O*NET Essential Skills,15-2051.01,2.A.1.e,O*NET Importance normalized as (raw-1)/4*100,,3.5,O*NET Importance normalized as (raw-1)/4*100,Source-derived O*NET occupation importance value.,https://www.onetcenter.org/database.html,source_derived
R02,ONET_2_B_2_i,Complex Problem Solving,soft,59.5,O*NET Transferable Skills,15-2051.01,2.B.2.i,O*NET Importance normalized as (raw-1)/4*100,,3.38,O*NET Importance normalized as (raw-1)/4*100,Source-derived O*NET occupation importance value.,https://www.onetcenter.org/database.html,source_derived
R02,ONET_2_A_2_d,Monitoring,technical,53.0,O*NET Essential Skills,15-2051.01,2.A.2.d,O*NET Importance normalized as (raw-1)/4*100,,3.12,O*NET Importance normalized as (raw-1)/4*100,Source-derived O*NET occupation importance value.,https://www.onetcenter.org/database.html,source_derived
R02,ONET_2_B_4_g,Systems Analysis,soft,53.0,O*NET Transferable Skills,15-2051.01,2.B.4.g,O*NET Importance normalized as (raw-1)/4*100,,3.12,O*NET Importance normalized as (raw-1)/4*100,Source-derived O*NET occupation importance value.,https://www.onetcenter.org/database.html,source_derived
R02,ONET_2_B_4_h,Systems Evaluation,soft,53.0,O*NET Transferable Skills,15-2051.01,2.B.4.h,O*NET Importance normalized as (raw-1)/4*100,,3.12,O*NET Importance normalized as (raw-1)/4*100,Source-derived O*NET occupation importance value.,https://www.onetcenter.org/database.html,source_derived
R03,ONET_2_A_1_d,Speaking,technical,78.0,O*NET Essential Skills,13-1071.00,2.A.1.d,O*NET Importance normalized as (raw-1)/4*100,,4.12,O*NET Importance normalized as (raw-1)/4*100,Source-derived O*NET occupation importance value.,https://www.onetcenter.org/database.html,source_derived
R03,ONET_2_A_1_b,Active Listening,technical,75.0,O*NET Essential Skills,13-1071.00,2.A.1.b,O*NET Importance normalized as (raw-1)/4*100,,4.0,O*NET Importance normalized as (raw-1)/4*100,Source-derived O*NET occupation importance value.,https://www.onetcenter.org/database.html,source_derived
R03,ONET_2_A_1_a,Reading Comprehension,technical,75.0,O*NET Essential Skills,13-1071.00,2.A.1.a,O*NET Importance normalized as (raw-1)/4*100,,4.0,O*NET Importance normalized as (raw-1)/4*100,Source-derived O*NET occupation importance value.,https://www.onetcenter.org/database.html,source_derived
R03,ONET_2_A_2_a,Critical Thinking,technical,72.0,O*NET Essential Skills,13-1071.00,2.A.2.a,O*NET Importance normalized as (raw-1)/4*100,,3.88,O*NET Importance normalized as (raw-1)/4*100,Source-derived O*NET occupation importance value.,https://www.onetcenter.org/database.html,source_derived
R03,ONET_2_A_1_c,Writing,technical,72.0,O*NET Essential Skills,13-1071.00,2.A.1.c,O*NET Importance normalized as (raw-1)/4*100,,3.88,O*NET Importance normalized as (raw-1)/4*100,Source-derived O*NET occupation importance value.,https://www.onetcenter.org/database.html,source_derived
R03,ONET_2_B_1_f,Service Orientation,soft,59.5,O*NET Transferable Skills,13-1071.00,2.B.1.f,O*NET Importance normalized as (raw-1)/4*100,,3.38,O*NET Importance normalized as (raw-1)/4*100,Source-derived O*NET occupation importance value.,https://www.onetcenter.org/database.html,source_derived
R03,ONET_2_B_1_a,Social Perceptiveness,soft,59.5,O*NET Transferable Skills,13-1071.00,2.B.1.a,O*NET Importance normalized as (raw-1)/4*100,,3.38,O*NET Importance normalized as (raw-1)/4*100,Source-derived O*NET occupation importance value.,https://www.onetcenter.org/database.html,source_derived
R03,ONET_2_A_2_b,Active Learning,technical,56.2,O*NET Essential Skills,13-1071.00,2.A.2.b,O*NET Importance normalized as (raw-1)/4*100,,3.248,O*NET Importance normalized as (raw-1)/4*100,Source-derived O*NET occupation importance value.,https://www.onetcenter.org/database.html,source_derived
R03,ONET_2_B_4_e,Judgment and Decision Making,soft,56.2,O*NET Transferable Skills,13-1071.00,2.B.4.e,O*NET Importance normalized as (raw-1)/4*100,,3.248,O*NET Importance normalized as (raw-1)/4*100,Source-derived O*NET occupation importance value.,https://www.onetcenter.org/database.html,source_derived
R03,ONET_2_B_2_i,Complex Problem Solving,soft,53.0,O*NET Transferable Skills,13-1071.00,2.B.2.i,O*NET Importance normalized as (raw-1)/4*100,,3.12,O*NET Importance normalized as (raw-1)/4*100,Source-derived O*NET occupation importance value.,https://www.onetcenter.org/database.html,source_derived
R03,ONET_2_B_1_e,Instructing,soft,53.0,O*NET Transferable Skills,13-1071.00,2.B.1.e,O*NET Importance normalized as (raw-1)/4*100,,3.12,O*NET Importance normalized as (raw-1)/4*100,Source-derived O*NET occupation importance value.,https://www.onetcenter.org/database.html,source_derived
R03,ONET_2_B_1_b,Coordination,soft,50.0,O*NET Transferable Skills,13-1071.00,2.B.1.b,O*NET Importance normalized as (raw-1)/4*100,,3.0,O*NET Importance normalized as (raw-1)/4*100,Source-derived O*NET occupation importance value.,https://www.onetcenter.org/database.html,source_derived
R04,ONET_2_B_2_i,Complex Problem Solving,soft,72.0,O*NET Transferable Skills,13-1161.01,2.B.2.i,O*NET Importance normalized as (raw-1)/4*100,,3.88,O*NET Importance normalized as (raw-1)/4*100,Source-derived O*NET occupation importance value.,https://www.onetcenter.org/database.html,source_derived
R04,ONET_2_A_1_a,Reading Comprehension,technical,72.0,O*NET Essential Skills,13-1161.01,2.A.1.a,O*NET Importance normalized as (raw-1)/4*100,,3.88,O*NET Importance normalized as (raw-1)/4*100,Source-derived O*NET occupation importance value.,https://www.onetcenter.org/database.html,source_derived
R04,ONET_2_A_2_b,Active Learning,technical,68.8,O*NET Essential Skills,13-1161.01,2.A.2.b,O*NET Importance normalized as (raw-1)/4*100,,3.752,O*NET Importance normalized as (raw-1)/4*100,Source-derived O*NET occupation importance value.,https://www.onetcenter.org/database.html,source_derived
R04,ONET_2_A_1_b,Active Listening,technical,68.8,O*NET Essential Skills,13-1161.01,2.A.1.b,O*NET Importance normalized as (raw-1)/4*100,,3.752,O*NET Importance normalized as (raw-1)/4*100,Source-derived O*NET occupation importance value.,https://www.onetcenter.org/database.html,source_derived
R04,ONET_2_A_2_a,Critical Thinking,technical,68.8,O*NET Essential Skills,13-1161.01,2.A.2.a,O*NET Importance normalized as (raw-1)/4*100,,3.752,O*NET Importance normalized as (raw-1)/4*100,Source-derived O*NET occupation importance value.,https://www.onetcenter.org/database.html,source_derived
R04,ONET_2_B_4_e,Judgment and Decision Making,soft,68.8,O*NET Transferable Skills,13-1161.01,2.B.4.e,O*NET Importance normalized as (raw-1)/4*100,,3.752,O*NET Importance normalized as (raw-1)/4*100,Source-derived O*NET occupation importance value.,https://www.onetcenter.org/database.html,source_derived
R04,ONET_2_A_1_d,Speaking,technical,65.5,O*NET Essential Skills,13-1161.01,2.A.1.d,O*NET Importance normalized as (raw-1)/4*100,,3.62,O*NET Importance normalized as (raw-1)/4*100,Source-derived O*NET occupation importance value.,https://www.onetcenter.org/database.html,source_derived
R04,ONET_2_A_1_c,Writing,technical,62.5,O*NET Essential Skills,13-1161.01,2.A.1.c,O*NET Importance normalized as (raw-1)/4*100,,3.5,O*NET Importance normalized as (raw-1)/4*100,Source-derived O*NET occupation importance value.,https://www.onetcenter.org/database.html,source_derived
R04,ONET_2_A_2_d,Monitoring,technical,59.5,O*NET Essential Skills,13-1161.01,2.A.2.d,O*NET Importance normalized as (raw-1)/4*100,,3.38,O*NET Importance normalized as (raw-1)/4*100,Source-derived O*NET occupation importance value.,https://www.onetcenter.org/database.html,source_derived
R04,ONET_2_B_4_g,Systems Analysis,soft,59.5,O*NET Transferable Skills,13-1161.01,2.B.4.g,O*NET Importance normalized as (raw-1)/4*100,,3.38,O*NET Importance normalized as (raw-1)/4*100,Source-derived O*NET occupation importance value.,https://www.onetcenter.org/database.html,source_derived
R04,ONET_2_B_4_h,Systems Evaluation,soft,59.5,O*NET Transferable Skills,13-1161.01,2.B.4.h,O*NET Importance normalized as (raw-1)/4*100,,3.38,O*NET Importance normalized as (raw-1)/4*100,Source-derived O*NET occupation importance value.,https://www.onetcenter.org/database.html,source_derived
R04,ONET_2_B_1_b,Coordination,soft,56.2,O*NET Transferable Skills,13-1161.01,2.B.1.b,O*NET Importance normalized as (raw-1)/4*100,,3.248,O*NET Importance normalized as (raw-1)/4*100,Source-derived O*NET occupation importance value.,https://www.onetcenter.org/database.html,source_derived
R05,ONET_2_A_1_d,Speaking,technical,78.0,O*NET Essential Skills,27-3091.00,2.A.1.d,O*NET Importance normalized as (raw-1)/4*100,,4.12,O*NET Importance normalized as (raw-1)/4*100,Source-derived O*NET occupation importance value.,https://www.onetcenter.org/database.html,source_derived
R05,ONET_2_A_1_b,Active Listening,technical,75.0,O*NET Essential Skills,27-3091.00,2.A.1.b,O*NET Importance normalized as (raw-1)/4*100,,4.0,O*NET Importance normalized as (raw-1)/4*100,Source-derived O*NET occupation importance value.,https://www.onetcenter.org/database.html,source_derived
R05,ONET_2_A_1_a,Reading Comprehension,technical,72.0,O*NET Essential Skills,27-3091.00,2.A.1.a,O*NET Importance normalized as (raw-1)/4*100,,3.88,O*NET Importance normalized as (raw-1)/4*100,Source-derived O*NET occupation importance value.,https://www.onetcenter.org/database.html,source_derived
R05,ONET_2_A_1_c,Writing,technical,68.8,O*NET Essential Skills,27-3091.00,2.A.1.c,O*NET Importance normalized as (raw-1)/4*100,,3.752,O*NET Importance normalized as (raw-1)/4*100,Source-derived O*NET occupation importance value.,https://www.onetcenter.org/database.html,source_derived
R05,ONET_2_A_2_a,Critical Thinking,technical,65.5,O*NET Essential Skills,27-3091.00,2.A.2.a,O*NET Importance normalized as (raw-1)/4*100,,3.62,O*NET Importance normalized as (raw-1)/4*100,Source-derived O*NET occupation importance value.,https://www.onetcenter.org/database.html,source_derived
R05,ONET_2_A_2_d,Monitoring,technical,65.5,O*NET Essential Skills,27-3091.00,2.A.2.d,O*NET Importance normalized as (raw-1)/4*100,,3.62,O*NET Importance normalized as (raw-1)/4*100,Source-derived O*NET occupation importance value.,https://www.onetcenter.org/database.html,source_derived
R05,ONET_2_A_2_b,Active Learning,technical,53.0,O*NET Essential Skills,27-3091.00,2.A.2.b,O*NET Importance normalized as (raw-1)/4*100,,3.12,O*NET Importance normalized as (raw-1)/4*100,Source-derived O*NET occupation importance value.,https://www.onetcenter.org/database.html,source_derived
R05,ONET_2_B_4_e,Judgment and Decision Making,soft,53.0,O*NET Transferable Skills,27-3091.00,2.B.4.e,O*NET Importance normalized as (raw-1)/4*100,,3.12,O*NET Importance normalized as (raw-1)/4*100,Source-derived O*NET occupation importance value.,https://www.onetcenter.org/database.html,source_derived
R05,ONET_2_B_1_f,Service Orientation,soft,53.0,O*NET Transferable Skills,27-3091.00,2.B.1.f,O*NET Importance normalized as (raw-1)/4*100,,3.12,O*NET Importance normalized as (raw-1)/4*100,Source-derived O*NET occupation importance value.,https://www.onetcenter.org/database.html,source_derived
R05,ONET_2_B_1_a,Social Perceptiveness,soft,53.0,O*NET Transferable Skills,27-3091.00,2.B.1.a,O*NET Importance normalized as (raw-1)/4*100,,3.12,O*NET Importance normalized as (raw-1)/4*100,Source-derived O*NET occupation importance value.,https://www.onetcenter.org/database.html,source_derived
R05,ONET_2_B_2_i,Complex Problem Solving,soft,50.0,O*NET Transferable Skills,27-3091.00,2.B.2.i,O*NET Importance normalized as (raw-1)/4*100,,3.0,O*NET Importance normalized as (raw-1)/4*100,Source-derived O*NET occupation importance value.,https://www.onetcenter.org/database.html,source_derived
R05,ONET_2_B_1_b,Coordination,soft,50.0,O*NET Transferable Skills,27-3091.00,2.B.1.b,O*NET Importance normalized as (raw-1)/4*100,,3.0,O*NET Importance normalized as (raw-1)/4*100,Source-derived O*NET occupation importance value.,https://www.onetcenter.org/database.html,source_derived
R06,ONET_2_A_1_b,Active Listening,technical,68.8,O*NET Essential Skills,27-1024.00,2.A.1.b,O*NET Importance normalized as (raw-1)/4*100,,3.752,O*NET Importance normalized as (raw-1)/4*100,Source-derived O*NET occupation importance value.,https://www.onetcenter.org/database.html,source_derived
R06,ONET_2_A_1_d,Speaking,technical,59.5,O*NET Essential Skills,27-1024.00,2.A.1.d,O*NET Importance normalized as (raw-1)/4*100,,3.38,O*NET Importance normalized as (raw-1)/4*100,Source-derived O*NET occupation importance value.,https://www.onetcenter.org/database.html,source_derived
R06,ONET_2_A_2_b,Active Learning,technical,56.2,O*NET Essential Skills,27-1024.00,2.A.2.b,O*NET Importance normalized as (raw-1)/4*100,,3.248,O*NET Importance normalized as (raw-1)/4*100,Source-derived O*NET occupation importance value.,https://www.onetcenter.org/database.html,source_derived
R06,ONET_2_A_2_a,Critical Thinking,technical,56.2,O*NET Essential Skills,27-1024.00,2.A.2.a,O*NET Importance normalized as (raw-1)/4*100,,3.248,O*NET Importance normalized as (raw-1)/4*100,Source-derived O*NET occupation importance value.,https://www.onetcenter.org/database.html,source_derived
R06,ONET_2_A_1_c,Writing,technical,56.2,O*NET Essential Skills,27-1024.00,2.A.1.c,O*NET Importance normalized as (raw-1)/4*100,,3.248,O*NET Importance normalized as (raw-1)/4*100,Source-derived O*NET occupation importance value.,https://www.onetcenter.org/database.html,source_derived
R06,ONET_2_B_2_i,Complex Problem Solving,soft,53.0,O*NET Transferable Skills,27-1024.00,2.B.2.i,O*NET Importance normalized as (raw-1)/4*100,,3.12,O*NET Importance normalized as (raw-1)/4*100,Source-derived O*NET occupation importance value.,https://www.onetcenter.org/database.html,source_derived
R06,ONET_2_B_1_b,Coordination,soft,53.0,O*NET Transferable Skills,27-1024.00,2.B.1.b,O*NET Importance normalized as (raw-1)/4*100,,3.12,O*NET Importance normalized as (raw-1)/4*100,Source-derived O*NET occupation importance value.,https://www.onetcenter.org/database.html,source_derived
R06,ONET_2_B_4_e,Judgment and Decision Making,soft,53.0,O*NET Transferable Skills,27-1024.00,2.B.4.e,O*NET Importance normalized as (raw-1)/4*100,,3.12,O*NET Importance normalized as (raw-1)/4*100,Source-derived O*NET occupation importance value.,https://www.onetcenter.org/database.html,source_derived
R06,ONET_2_A_1_a,Reading Comprehension,technical,53.0,O*NET Essential Skills,27-1024.00,2.A.1.a,O*NET Importance normalized as (raw-1)/4*100,,3.12,O*NET Importance normalized as (raw-1)/4*100,Source-derived O*NET occupation importance value.,https://www.onetcenter.org/database.html,source_derived
R06,ONET_2_B_1_a,Social Perceptiveness,soft,53.0,O*NET Transferable Skills,27-1024.00,2.B.1.a,O*NET Importance normalized as (raw-1)/4*100,,3.12,O*NET Importance normalized as (raw-1)/4*100,Source-derived O*NET occupation importance value.,https://www.onetcenter.org/database.html,source_derived
R06,ONET_2_B_5_a,Time Management,soft,53.0,O*NET Transferable Skills,27-1024.00,2.B.5.a,O*NET Importance normalized as (raw-1)/4*100,,3.12,O*NET Importance normalized as (raw-1)/4*100,Source-derived O*NET occupation importance value.,https://www.onetcenter.org/database.html,source_derived
R06,ONET_2_A_2_d,Monitoring,technical,50.0,O*NET Essential Skills,27-1024.00,2.A.2.d,O*NET Importance normalized as (raw-1)/4*100,,3.0,O*NET Importance normalized as (raw-1)/4*100,Source-derived O*NET occupation importance value.,https://www.onetcenter.org/database.html,source_derived
R07,ONET_2_A_1_e,Mathematics,technical,59.5,O*NET Essential Skills,43-3031.00,2.A.1.e,O*NET Importance normalized as (raw-1)/4*100,,3.38,O*NET Importance normalized as (raw-1)/4*100,Source-derived O*NET occupation importance value.,https://www.onetcenter.org/database.html,source_derived
R07,ONET_2_A_1_b,Active Listening,technical,56.2,O*NET Essential Skills,43-3031.00,2.A.1.b,O*NET Importance normalized as (raw-1)/4*100,,3.248,O*NET Importance normalized as (raw-1)/4*100,Source-derived O*NET occupation importance value.,https://www.onetcenter.org/database.html,source_derived
R07,ONET_2_A_2_a,Critical Thinking,technical,56.2,O*NET Essential Skills,43-3031.00,2.A.2.a,O*NET Importance normalized as (raw-1)/4*100,,3.248,O*NET Importance normalized as (raw-1)/4*100,Source-derived O*NET occupation importance value.,https://www.onetcenter.org/database.html,source_derived
R07,ONET_2_A_1_a,Reading Comprehension,technical,56.2,O*NET Essential Skills,43-3031.00,2.A.1.a,O*NET Importance normalized as (raw-1)/4*100,,3.248,O*NET Importance normalized as (raw-1)/4*100,Source-derived O*NET occupation importance value.,https://www.onetcenter.org/database.html,source_derived
R07,ONET_2_A_1_d,Speaking,technical,53.0,O*NET Essential Skills,43-3031.00,2.A.1.d,O*NET Importance normalized as (raw-1)/4*100,,3.12,O*NET Importance normalized as (raw-1)/4*100,Source-derived O*NET occupation importance value.,https://www.onetcenter.org/database.html,source_derived
R07,ONET_2_A_1_c,Writing,technical,53.0,O*NET Essential Skills,43-3031.00,2.A.1.c,O*NET Importance normalized as (raw-1)/4*100,,3.12,O*NET Importance normalized as (raw-1)/4*100,Source-derived O*NET occupation importance value.,https://www.onetcenter.org/database.html,source_derived
R07,ONET_2_A_2_d,Monitoring,technical,50.0,O*NET Essential Skills,43-3031.00,2.A.2.d,O*NET Importance normalized as (raw-1)/4*100,,3.0,O*NET Importance normalized as (raw-1)/4*100,Source-derived O*NET occupation importance value.,https://www.onetcenter.org/database.html,source_derived
R07,ONET_2_B_5_a,Time Management,soft,50.0,O*NET Transferable Skills,43-3031.00,2.B.5.a,O*NET Importance normalized as (raw-1)/4*100,,3.0,O*NET Importance normalized as (raw-1)/4*100,Source-derived O*NET occupation importance value.,https://www.onetcenter.org/database.html,source_derived
R07,ONET_2_B_2_i,Complex Problem Solving,soft,47.0,O*NET Transferable Skills,43-3031.00,2.B.2.i,O*NET Importance normalized as (raw-1)/4*100,,2.88,O*NET Importance normalized as (raw-1)/4*100,Source-derived O*NET occupation importance value.,https://www.onetcenter.org/database.html,source_derived
R07,ONET_2_B_1_b,Coordination,soft,47.0,O*NET Transferable Skills,43-3031.00,2.B.1.b,O*NET Importance normalized as (raw-1)/4*100,,2.88,O*NET Importance normalized as (raw-1)/4*100,Source-derived O*NET occupation importance value.,https://www.onetcenter.org/database.html,source_derived
R07,ONET_2_B_1_f,Service Orientation,soft,47.0,O*NET Transferable Skills,43-3031.00,2.B.1.f,O*NET Importance normalized as (raw-1)/4*100,,2.88,O*NET Importance normalized as (raw-1)/4*100,Source-derived O*NET occupation importance value.,https://www.onetcenter.org/database.html,source_derived
R07,ONET_2_A_2_b,Active Learning,technical,43.8,O*NET Essential Skills,43-3031.00,2.A.2.b,O*NET Importance normalized as (raw-1)/4*100,,2.752,O*NET Importance normalized as (raw-1)/4*100,Source-derived O*NET occupation importance value.,https://www.onetcenter.org/database.html,source_derived
R08,ONET_2_A_1_b,Active Listening,technical,75.0,O*NET Essential Skills,43-4051.00,2.A.1.b,O*NET Importance normalized as (raw-1)/4*100,,4.0,O*NET Importance normalized as (raw-1)/4*100,Source-derived O*NET occupation importance value.,https://www.onetcenter.org/database.html,source_derived
R08,ONET_2_B_1_f,Service Orientation,soft,75.0,O*NET Transferable Skills,43-4051.00,2.B.1.f,O*NET Importance normalized as (raw-1)/4*100,,4.0,O*NET Importance normalized as (raw-1)/4*100,Source-derived O*NET occupation importance value.,https://www.onetcenter.org/database.html,source_derived
R08,ONET_2_A_1_d,Speaking,technical,72.0,O*NET Essential Skills,43-4051.00,2.A.1.d,O*NET Importance normalized as (raw-1)/4*100,,3.88,O*NET Importance normalized as (raw-1)/4*100,Source-derived O*NET occupation importance value.,https://www.onetcenter.org/database.html,source_derived
R08,ONET_2_A_1_a,Reading Comprehension,technical,59.5,O*NET Essential Skills,43-4051.00,2.A.1.a,O*NET Importance normalized as (raw-1)/4*100,,3.38,O*NET Importance normalized as (raw-1)/4*100,Source-derived O*NET occupation importance value.,https://www.onetcenter.org/database.html,source_derived
R08,ONET_2_A_2_a,Critical Thinking,technical,56.2,O*NET Essential Skills,43-4051.00,2.A.2.a,O*NET Importance normalized as (raw-1)/4*100,,3.248,O*NET Importance normalized as (raw-1)/4*100,Source-derived O*NET occupation importance value.,https://www.onetcenter.org/database.html,source_derived
R08,ONET_2_B_2_i,Complex Problem Solving,soft,53.0,O*NET Transferable Skills,43-4051.00,2.B.2.i,O*NET Importance normalized as (raw-1)/4*100,,3.12,O*NET Importance normalized as (raw-1)/4*100,Source-derived O*NET occupation importance value.,https://www.onetcenter.org/database.html,source_derived
R08,ONET_2_B_5_a,Time Management,soft,53.0,O*NET Transferable Skills,43-4051.00,2.B.5.a,O*NET Importance normalized as (raw-1)/4*100,,3.12,O*NET Importance normalized as (raw-1)/4*100,Source-derived O*NET occupation importance value.,https://www.onetcenter.org/database.html,source_derived
R08,ONET_2_A_2_d,Monitoring,technical,50.0,O*NET Essential Skills,43-4051.00,2.A.2.d,O*NET Importance normalized as (raw-1)/4*100,,3.0,O*NET Importance normalized as (raw-1)/4*100,Source-derived O*NET occupation importance value.,https://www.onetcenter.org/database.html,source_derived
R08,ONET_2_B_1_d,Negotiation,soft,50.0,O*NET Transferable Skills,43-4051.00,2.B.1.d,O*NET Importance normalized as (raw-1)/4*100,,3.0,O*NET Importance normalized as (raw-1)/4*100,Source-derived O*NET occupation importance value.,https://www.onetcenter.org/database.html,source_derived
R08,ONET_2_B_1_c,Persuasion,soft,50.0,O*NET Transferable Skills,43-4051.00,2.B.1.c,O*NET Importance normalized as (raw-1)/4*100,,3.0,O*NET Importance normalized as (raw-1)/4*100,Source-derived O*NET occupation importance value.,https://www.onetcenter.org/database.html,source_derived
R08,ONET_2_B_1_a,Social Perceptiveness,soft,50.0,O*NET Transferable Skills,43-4051.00,2.B.1.a,O*NET Importance normalized as (raw-1)/4*100,,3.0,O*NET Importance normalized as (raw-1)/4*100,Source-derived O*NET occupation importance value.,https://www.onetcenter.org/database.html,source_derived
R08,ONET_2_A_1_c,Writing,technical,50.0,O*NET Essential Skills,43-4051.00,2.A.1.c,O*NET Importance normalized as (raw-1)/4*100,,3.0,O*NET Importance normalized as (raw-1)/4*100,Source-derived O*NET occupation importance value.,https://www.onetcenter.org/database.html,source_derived
R09,ONET_2_A_1_b,Active Listening,technical,75.0,O*NET Essential Skills,43-6014.00,2.A.1.b,O*NET Importance normalized as (raw-1)/4*100,,4.0,O*NET Importance normalized as (raw-1)/4*100,Source-derived O*NET occupation importance value.,https://www.onetcenter.org/database.html,source_derived
