role_id,task_rank,onet_task_id,task_type,task,source
R04,6,20320,Core,"Coordinate with developers to optimize Web site architecture, server configuration, or page construction for search engine consumption and optimal visibility.",O*NET 31.0 Task Statements
R04,7,20318,Core,Assist in setting up or optimizing analytics tools for tracking visitors' behaviors.,O*NET 31.0 Task Statements
R04,8,20326,Core,Identify appropriate Key Performance Indicators (KPIs) and report key metrics from digital campaigns.,O*NET 31.0 Task Statements
R05,1,9326,Core,Follow ethical codes that protect the confidentiality of information.,O*NET 31.0 Task Statements
R05,2,9328,Core,"Translate messages simultaneously or consecutively into specified languages, orally or by using hand signs, maintaining message content, context, and style as much as possible.",O*NET 31.0 Task Statements
R05,3,9335,Core,"Listen to speakers' statements to determine meanings and to prepare translations, using electronic listening systems as necessary.",O*NET 31.0 Task Statements
R05,4,9333,Core,"Compile terminology and information to be used in translations, including technical terms such as those for legal or medical material.",O*NET 31.0 Task Statements
R05,5,9332,Core,"Refer to reference materials, such as dictionaries, lexicons, encyclopedias, and computerized terminology banks, as needed to ensure translation accuracy.",O*NET 31.0 Task Statements
R05,6,9330,Core,Check translations of technical terms and terminology to ensure that they are accurate and remain consistent throughout translation revisions.,O*NET 31.0 Task Statements
R05,7,9327,Core,"Identify and resolve conflicts related to the meanings of words, concepts, practices, or behaviors.",O*NET 31.0 Task Statements
R05,8,9337,Core,Compile information on content and context of information to be translated and on intended audience.,O*NET 31.0 Task Statements
R06,1,307,Core,Key information into computer equipment to create layouts for client or supervisor.,O*NET 31.0 Task Statements
R06,2,304,Core,"Review final layouts and suggest improvements, as needed.",O*NET 31.0 Task Statements
R06,3,300,Core,"Determine size and arrangement of illustrative material and copy, and select style and size of type.",O*NET 31.0 Task Statements
R06,4,306,Core,"Develop graphics and layouts for product illustrations, company logos, and Web sites.",O*NET 31.0 Task Statements
R06,5,299,Core,"Create designs, concepts, and sample layouts, based on knowledge of layout principles and esthetic design concepts.",O*NET 31.0 Task Statements
R06,6,301,Core,Use computer software to generate new images.,O*NET 31.0 Task Statements
R06,7,23970,Core,Prepare digital files for printing.,O*NET 31.0 Task Statements
R06,8,305,Core,Confer with clients to discuss and determine layout design.,O*NET 31.0 Task Statements
R07,1,2487,Core,"Operate computers programmed with accounting software to record, store, and analyze information.",O*NET 31.0 Task Statements
R07,2,2486,Core,"Check figures, postings, and documents for correct entry, mathematical accuracy, and proper codes.",O*NET 31.0 Task Statements
R07,3,2488,Core,"Comply with federal, state, and company policies, procedures, and regulations.",O*NET 31.0 Task Statements
R07,4,2495,Core,"Operate 10-key calculators, typewriters, and copy machines to perform calculations and produce documents.",O*NET 31.0 Task Statements
R07,5,2500,Core,"Receive, record, and bank cash, checks, and vouchers.",O*NET 31.0 Task Statements
R07,6,2493,Core,Code documents according to company procedures.,O*NET 31.0 Task Statements
R07,7,2497,Core,"Perform financial calculations, such as amounts due, interest charges, balances, discounts, equity, and principal.",O*NET 31.0 Task Statements
R07,8,2496,Core,Reconcile or note and report discrepancies found in records.,O*NET 31.0 Task Statements
R08,1,18565,Core,"Confer with customers by telephone or in person to provide information about products or services, take or enter orders, cancel accounts, or obtain details of complaints.",O*NET 31.0 Task Statements
R08,2,2578,Core,"Keep records of customer interactions or transactions, recording details of inquiries, complaints, or comments, as well as actions taken.",O*NET 31.0 Task Statements
R08,3,2580,Core,Check to ensure that appropriate changes were made to resolve customers' problems.,O*NET 31.0 Task Statements
R08,4,2581,Core,Contact customers to respond to inquiries or to notify them of claim investigation results or any planned adjustments.,O*NET 31.0 Task Statements
R08,5,2583,Core,"Determine charges for services requested, collect deposits or payments, or arrange for billing.",O*NET 31.0 Task Statements
R08,6,2584,Core,"Complete contract forms, prepare change of address records, or issue service discontinuance orders, using computers.",O*NET 31.0 Task Statements
R08,7,2582,Core,Refer unresolved customer grievances to designated departments for further investigation.,O*NET 31.0 Task Statements
R09,1,2790,Core,"Answer telephones and give information to callers, take messages, or transfer calls to appropriate individuals.",O*NET 31.0 Task Statements
R09,2,2791,Core,Greet visitors or callers and handle their inquiries or direct them to the appropriate persons according to their needs.,O*NET 31.0 Task Statements
R09,3,20281,Core,"Create, maintain, and enter information into databases.",O*NET 31.0 Task Statements
R09,4,20280,Core,"Use computers for various applications, such as database management or word processing.",O*NET 31.0 Task Statements
R09,5,20283,Core,"Operate office equipment, such as fax machines, copiers, or phone systems and arrange for repairs when equipment malfunctions.",O*NET 31.0 Task Statements
R09,6,20282,Core,"Set up and manage paper or electronic filing systems, recording information, updating paperwork, or maintaining documents, such as attendance records, correspondence, or other material.",O*NET 31.0 Task Statements
R09,7,2813,Core,"Operate electronic mail systems and coordinate the flow of information, internally or with other organizations.",O*NET 31.0 Task Statements
R09,8,2801,Core,"Schedule and confirm appointments for clients, customers, or supervisors.",O*NET 31.0 Task Statements
R10,1,17027,Core,"Provide feedback to students, using positive reinforcement techniques to encourage, motivate, or build confidence in students.",O*NET 31.0 Task Statements
R10,2,17026,Core,"Review class material with students by discussing text, working solutions to problems, or reviewing worksheets or other assignments.",O*NET 31.0 Task Statements
R10,3,17034,Core,Assess students' progress throughout tutoring sessions.,O*NET 31.0 Task Statements
R10,4,17036,Core,"Teach students study skills, note-taking skills, and test-taking strategies.",O*NET 31.0 Task Statements
R10,5,17037,Core,"Provide private instruction to individual or small groups of students to improve academic performance, improve occupational skills, or prepare for academic or occupational tests.",O*NET 31.0 Task Statements
R10,6,17023,Core,Participate in training and development sessions to improve tutoring practices or learn new tutoring techniques.,O*NET 31.0 Task Statements
R10,7,17033,Core,"Collaborate with students, parents, teachers, school administrators, or counselors to determine student needs, develop tutoring plans, or assess student progress.",O*NET 31.0 Task Statements
R10,8,17025,Core,"Monitor student performance or assist students in academic environments, such as classrooms, laboratories, or computing centers.",O*NET 31.0 Task Statements
