metadata_key,metadata_value
d13_quality_fix_20260830.mapping.M122301,"{""role_id"":""M122301"",""masco_code"":""122301"",""esco_code"":""1223.2"",""mapping_relation"":""close_match"",""mapping_confidence"":""high"",""review_status"":""auto_approved_medium_or_high_test_mapping"",""use_in_role_skills"":true,""approval_threshold"":""medium"",""reviewer"":""User-Authorized Automated Confidence Rule"",""review_date"":""2026-08-30"",""approval_is_not_exact_equivalence"":true,""production_ready"":false}"
d13_quality_fix_20260830.mapping.M131102,"{""role_id"":""M131102"",""masco_code"":""131102"",""esco_code"":""1311.1"",""mapping_relation"":""close_match"",""mapping_confidence"":""medium"",""review_status"":""auto_approved_medium_or_high_test_mapping"",""use_in_role_skills"":true,""approval_threshold"":""medium"",""reviewer"":""User-Authorized Automated Confidence Rule"",""review_date"":""2026-08-30"",""approval_is_not_exact_equivalence"":true,""production_ready"":false}"
d13_quality_fix_20260830.mapping.M131106,"{""role_id"":""M131106"",""masco_code"":""131106"",""esco_code"":""6130.1"",""mapping_relation"":""broader_proxy"",""mapping_confidence"":""medium"",""review_status"":""auto_approved_medium_or_high_test_mapping"",""use_in_role_skills"":true,""approval_threshold"":""medium"",""reviewer"":""User-Authorized Automated Confidence Rule"",""review_date"":""2026-08-30"",""approval_is_not_exact_equivalence"":true,""production_ready"":false}"
d13_quality_fix_20260830.mapping.M131111,"{""role_id"":""M131111"",""masco_code"":""131111"",""esco_code"":""1120.1"",""mapping_relation"":""partial_proxy"",""mapping_confidence"":""low"",""review_status"":""pending_low_confidence_review"",""use_in_role_skills"":false,""approval_threshold"":""medium"",""reviewer"":null,""review_date"":null,""approval_is_not_exact_equivalence"":true,""production_ready"":false}"
d13_quality_fix_20260830.mapping.M131114,"{""role_id"":""M131114"",""masco_code"":""131114"",""esco_code"":""6113.3"",""mapping_relation"":""partial_proxy"",""mapping_confidence"":""low"",""review_status"":""pending_low_confidence_review"",""use_in_role_skills"":false,""approval_threshold"":""medium"",""reviewer"":null,""review_date"":null,""approval_is_not_exact_equivalence"":true,""production_ready"":false}"
d13_quality_fix_20260830.mapping.M131202,"{""role_id"":""M131202"",""masco_code"":""131202"",""esco_code"":""1312.3"",""mapping_relation"":""partial_proxy"",""mapping_confidence"":""low"",""review_status"":""pending_low_confidence_review"",""use_in_role_skills"":false,""approval_threshold"":""medium"",""reviewer"":null,""review_date"":null,""approval_is_not_exact_equivalence"":true,""production_ready"":false}"
d13_quality_fix_20260830.mapping.M131203,"{""role_id"":""M131203"",""masco_code"":""131203"",""esco_code"":""1312.3"",""mapping_relation"":""close_match"",""mapping_confidence"":""high"",""review_status"":""auto_approved_medium_or_high_test_mapping"",""use_in_role_skills"":true,""approval_threshold"":""medium"",""reviewer"":""User-Authorized Automated Confidence Rule"",""review_date"":""2026-08-30"",""approval_is_not_exact_equivalence"":true,""production_ready"":false}"
d13_quality_fix_20260830.mapping.M132101,"{""role_id"":""M132101"",""masco_code"":""132101"",""esco_code"":""1321.2"",""mapping_relation"":""close_match"",""mapping_confidence"":""high"",""review_status"":""auto_approved_medium_or_high_test_mapping"",""use_in_role_skills"":true,""approval_threshold"":""medium"",""reviewer"":""User-Authorized Automated Confidence Rule"",""review_date"":""2026-08-30"",""approval_is_not_exact_equivalence"":true,""production_ready"":false}"
d13_quality_fix_20260830.mapping.M132102,"{""role_id"":""M132102"",""masco_code"":""132102"",""esco_code"":""1321.2.1"",""mapping_relation"":""close_match"",""mapping_confidence"":""medium"",""review_status"":""auto_approved_medium_or_high_test_mapping"",""use_in_role_skills"":true,""approval_threshold"":""medium"",""reviewer"":""User-Authorized Automated Confidence Rule"",""review_date"":""2026-08-30"",""approval_is_not_exact_equivalence"":true,""production_ready"":false}"
d13_quality_fix_20260830.mapping.M132104,"{""role_id"":""M132104"",""masco_code"":""132104"",""esco_code"":""3123.1.11"",""mapping_relation"":""partial_proxy"",""mapping_confidence"":""low"",""review_status"":""pending_low_confidence_review"",""use_in_role_skills"":false,""approval_threshold"":""medium"",""reviewer"":null,""review_date"":null,""approval_is_not_exact_equivalence"":true,""production_ready"":false}"
d13_quality_fix_20260830.mapping.M132105,"{""role_id"":""M132105"",""masco_code"":""132105"",""esco_code"":""1349.12"",""mapping_relation"":""close_match"",""mapping_confidence"":""high"",""review_status"":""auto_approved_medium_or_high_test_mapping"",""use_in_role_skills"":true,""approval_threshold"":""medium"",""reviewer"":""User-Authorized Automated Confidence Rule"",""review_date"":""2026-08-30"",""approval_is_not_exact_equivalence"":true,""production_ready"":false}"
d13_quality_fix_20260830.mapping.M132108,"{""role_id"":""M132108"",""masco_code"":""132108"",""esco_code"":""1321.2.1"",""mapping_relation"":""broader_proxy"",""mapping_confidence"":""medium"",""review_status"":""auto_approved_medium_or_high_test_mapping"",""use_in_role_skills"":true,""approval_threshold"":""medium"",""reviewer"":""User-Authorized Automated Confidence Rule"",""review_date"":""2026-08-30"",""approval_is_not_exact_equivalence"":true,""production_ready"":false}"
d13_quality_fix_20260830.mapping.M132109,"{""role_id"":""M132109"",""masco_code"":""132109"",""esco_code"":""1321.2"",""mapping_relation"":""partial_proxy"",""mapping_confidence"":""low"",""review_status"":""pending_low_confidence_review"",""use_in_role_skills"":false,""approval_threshold"":""medium"",""reviewer"":null,""review_date"":null,""approval_is_not_exact_equivalence"":true,""production_ready"":false}"
d13_quality_fix_20260830.mapping.M132110,"{""role_id"":""M132110"",""masco_code"":""132110"",""esco_code"":""7212.4"",""mapping_relation"":""close_match"",""mapping_confidence"":""medium"",""review_status"":""auto_approved_medium_or_high_test_mapping"",""use_in_role_skills"":true,""approval_threshold"":""medium"",""reviewer"":""User-Authorized Automated Confidence Rule"",""review_date"":""2026-08-30"",""approval_is_not_exact_equivalence"":true,""production_ready"":false}"
d13_quality_fix_20260830.mapping.M132111,"{""role_id"":""M132111"",""masco_code"":""132111"",""esco_code"":""1321.2.1.3"",""mapping_relation"":""broader_proxy"",""mapping_confidence"":""medium"",""review_status"":""auto_approved_medium_or_high_test_mapping"",""use_in_role_skills"":true,""approval_threshold"":""medium"",""reviewer"":""User-Authorized Automated Confidence Rule"",""review_date"":""2026-08-30"",""approval_is_not_exact_equivalence"":true,""production_ready"":false}"
d13_quality_fix_20260830.mapping.M132112,"{""role_id"":""M132112"",""masco_code"":""132112"",""esco_code"":""1321.2.1.3"",""mapping_relation"":""broader_proxy"",""mapping_confidence"":""medium"",""review_status"":""auto_approved_medium_or_high_test_mapping"",""use_in_role_skills"":true,""approval_threshold"":""medium"",""reviewer"":""User-Authorized Automated Confidence Rule"",""review_date"":""2026-08-30"",""approval_is_not_exact_equivalence"":true,""production_ready"":false}"
d13_quality_fix_20260830.mapping.M132126,"{""role_id"":""M132126"",""masco_code"":""132126"",""esco_code"":""1219.5.3"",""mapping_relation"":""close_match"",""mapping_confidence"":""medium"",""review_status"":""auto_approved_medium_or_high_test_mapping"",""use_in_role_skills"":true,""approval_threshold"":""medium"",""reviewer"":""User-Authorized Automated Confidence Rule"",""review_date"":""2026-08-30"",""approval_is_not_exact_equivalence"":true,""production_ready"":false}"
d13_quality_fix_20260830.mapping.M132201,"{""role_id"":""M132201"",""masco_code"":""132201"",""esco_code"":""1322.1.1"",""mapping_relation"":""close_match"",""mapping_confidence"":""medium"",""review_status"":""auto_approved_medium_or_high_test_mapping"",""use_in_role_skills"":true,""approval_threshold"":""medium"",""reviewer"":""User-Authorized Automated Confidence Rule"",""review_date"":""2026-08-30"",""approval_is_not_exact_equivalence"":true,""production_ready"":false}"
d13_quality_fix_20260830.mapping.M132203,"{""role_id"":""M132203"",""masco_code"":""132203"",""esco_code"":""1322.1.2"",""mapping_relation"":""broader_proxy"",""mapping_confidence"":""medium"",""review_status"":""auto_approved_medium_or_high_test_mapping"",""use_in_role_skills"":true,""approval_threshold"":""medium"",""reviewer"":""User-Authorized Automated Confidence Rule"",""review_date"":""2026-08-30"",""approval_is_not_exact_equivalence"":true,""production_ready"":false}"
d13_quality_fix_20260830.mapping.M132207,"{""role_id"":""M132207"",""masco_code"":""132207"",""esco_code"":""1322.1.2"",""mapping_relation"":""broader_proxy"",""mapping_confidence"":""medium"",""review_status"":""auto_approved_medium_or_high_test_mapping"",""use_in_role_skills"":true,""approval_threshold"":""medium"",""reviewer"":""User-Authorized Automated Confidence Rule"",""review_date"":""2026-08-30"",""approval_is_not_exact_equivalence"":true,""production_ready"":false}"
d13_quality_fix_20260830.mapping.M132210,"{""role_id"":""M132210"",""masco_code"":""132210"",""esco_code"":""1321.2.1.7"",""mapping_relation"":""close_match"",""mapping_confidence"":""medium"",""review_status"":""auto_approved_medium_or_high_test_mapping"",""use_in_role_skills"":true,""approval_threshold"":""medium"",""reviewer"":""User-Authorized Automated Confidence Rule"",""review_date"":""2026-08-30"",""approval_is_not_exact_equivalence"":true,""production_ready"":false}"
d13_quality_fix_20260830.mapping.M132301,"{""role_id"":""M132301"",""masco_code"":""132301"",""esco_code"":""1323.1"",""mapping_relation"":""close_match"",""mapping_confidence"":""high"",""review_status"":""auto_approved_medium_or_high_test_mapping"",""use_in_role_skills"":true,""approval_threshold"":""medium"",""reviewer"":""User-Authorized Automated Confidence Rule"",""review_date"":""2026-08-30"",""approval_is_not_exact_equivalence"":true,""production_ready"":false}"
d13_quality_fix_20260830.mapping.M132310,"{""role_id"":""M132310"",""masco_code"":""132310"",""esco_code"":""1323.1"",""mapping_relation"":""broader_proxy"",""mapping_confidence"":""medium"",""review_status"":""auto_approved_medium_or_high_test_mapping"",""use_in_role_skills"":true,""approval_threshold"":""medium"",""reviewer"":""User-Authorized Automated Confidence Rule"",""review_date"":""2026-08-30"",""approval_is_not_exact_equivalence"":true,""production_ready"":false}"
d13_quality_fix_20260830.mapping.M132311,"{""role_id"":""M132311"",""masco_code"":""132311"",""esco_code"":""2165.4"",""mapping_relation"":""broader_proxy"",""mapping_confidence"":""medium"",""review_status"":""auto_approved_medium_or_high_test_mapping"",""use_in_role_skills"":true,""approval_threshold"":""medium"",""reviewer"":""User-Authorized Automated Confidence Rule"",""review_date"":""2026-08-30"",""approval_is_not_exact_equivalence"":true,""production_ready"":false}"
d13_quality_fix_20260830.mapping.M132401,"{""role_id"":""M132401"",""masco_code"":""132401"",""esco_code"":""1324.7"",""mapping_relation"":""close_match"",""mapping_confidence"":""medium"",""review_status"":""auto_approved_medium_or_high_test_mapping"",""use_in_role_skills"":true,""approval_threshold"":""medium"",""reviewer"":""User-Authorized Automated Confidence Rule"",""review_date"":""2026-08-30"",""approval_is_not_exact_equivalence"":true,""production_ready"":false}"
d13_quality_fix_20260830.mapping.M132402,"{""role_id"":""M132402"",""masco_code"":""132402"",""esco_code"":""1324.3.1.5"",""mapping_relation"":""close_match"",""mapping_confidence"":""medium"",""review_status"":""auto_approved_medium_or_high_test_mapping"",""use_in_role_skills"":true,""approval_threshold"":""medium"",""reviewer"":""User-Authorized Automated Confidence Rule"",""review_date"":""2026-08-30"",""approval_is_not_exact_equivalence"":true,""production_ready"":false}"
d13_quality_fix_20260830.mapping.M132405,"{""role_id"":""M132405"",""masco_code"":""132405"",""esco_code"":""1324.3"",""mapping_relation"":""close_match"",""mapping_confidence"":""medium"",""review_status"":""auto_approved_medium_or_high_test_mapping"",""use_in_role_skills"":true,""approval_threshold"":""medium"",""reviewer"":""User-Authorized Automated Confidence Rule"",""review_date"":""2026-08-30"",""approval_is_not_exact_equivalence"":true,""production_ready"":false}"
d13_quality_fix_20260830.mapping.M132414,"{""role_id"":""M132414"",""masco_code"":""132414"",""esco_code"":""1324.3"",""mapping_relation"":""broader_proxy"",""mapping_confidence"":""medium"",""review_status"":""auto_approved_medium_or_high_test_mapping"",""use_in_role_skills"":true,""approval_threshold"":""medium"",""reviewer"":""User-Authorized Automated Confidence Rule"",""review_date"":""2026-08-30"",""approval_is_not_exact_equivalence"":true,""production_ready"":false}"
d13_quality_fix_20260830.mapping.M132416,"{""role_id"":""M132416"",""masco_code"":""132416"",""esco_code"":""1324.3"",""mapping_relation"":""broader_proxy"",""mapping_confidence"":""medium"",""review_status"":""auto_approved_medium_or_high_test_mapping"",""use_in_role_skills"":true,""approval_threshold"":""medium"",""reviewer"":""User-Authorized Automated Confidence Rule"",""review_date"":""2026-08-30"",""approval_is_not_exact_equivalence"":true,""production_ready"":false}"
d13_quality_fix_20260830.mapping.M151101,"{""role_id"":""M151101"",""masco_code"":""151101"",""esco_code"":""1330.2"",""mapping_relation"":""close_match"",""mapping_confidence"":""high"",""review_status"":""auto_approved_medium_or_high_test_mapping"",""use_in_role_skills"":true,""approval_threshold"":""medium"",""reviewer"":""User-Authorized Automated Confidence Rule"",""review_date"":""2026-08-30"",""approval_is_not_exact_equivalence"":true,""production_ready"":false}"
d13_quality_fix_20260830.mapping.M151102,"{""role_id"":""M151102"",""masco_code"":""151102"",""esco_code"":""1330.1"",""mapping_relation"":""close_match"",""mapping_confidence"":""high"",""review_status"":""auto_approved_medium_or_high_test_mapping"",""use_in_role_skills"":true,""approval_threshold"":""medium"",""reviewer"":""User-Authorized Automated Confidence Rule"",""review_date"":""2026-08-30"",""approval_is_not_exact_equivalence"":true,""production_ready"":false}"
d13_quality_fix_20260830.mapping.M151103,"{""role_id"":""M151103"",""masco_code"":""151103"",""esco_code"":""2529.1"",""mapping_relation"":""close_match"",""mapping_confidence"":""medium"",""review_status"":""auto_approved_medium_or_high_test_mapping"",""use_in_role_skills"":true,""approval_threshold"":""medium"",""reviewer"":""User-Authorized Automated Confidence Rule"",""review_date"":""2026-08-30"",""approval_is_not_exact_equivalence"":true,""production_ready"":false}"
d13_quality_fix_20260830.mapping.M151106,"{""role_id"":""M151106"",""masco_code"":""151106"",""esco_code"":""1330.5"",""mapping_relation"":""broader_proxy"",""mapping_confidence"":""medium"",""review_status"":""auto_approved_medium_or_high_test_mapping"",""use_in_role_skills"":true,""approval_threshold"":""medium"",""reviewer"":""User-Authorized Automated Confidence Rule"",""review_date"":""2026-08-30"",""approval_is_not_exact_equivalence"":true,""production_ready"":false}"
d13_quality_fix_20260830.mapping.M151108,"{""role_id"":""M151108"",""masco_code"":""151108"",""esco_code"":""1330.5"",""mapping_relation"":""partial_proxy"",""mapping_confidence"":""low"",""review_status"":""pending_low_confidence_review"",""use_in_role_skills"":false,""approval_threshold"":""medium"",""reviewer"":null,""review_date"":null,""approval_is_not_exact_equivalence"":true,""production_ready"":false}"
d13_quality_fix_20260830.mapping.M151112,"{""role_id"":""M151112"",""masco_code"":""151112"",""esco_code"":""1330.5.1"",""mapping_relation"":""close_match"",""mapping_confidence"":""medium"",""review_status"":""auto_approved_medium_or_high_test_mapping"",""use_in_role_skills"":true,""approval_threshold"":""medium"",""reviewer"":""User-Authorized Automated Confidence Rule"",""review_date"":""2026-08-30"",""approval_is_not_exact_equivalence"":true,""production_ready"":false}"
d13_quality_fix_20260830.mapping.M151113,"{""role_id"":""M151113"",""masco_code"":""151113"",""esco_code"":""1330.5"",""mapping_relation"":""broader_proxy"",""mapping_confidence"":""medium"",""review_status"":""auto_approved_medium_or_high_test_mapping"",""use_in_role_skills"":true,""approval_threshold"":""medium"",""reviewer"":""User-Authorized Automated Confidence Rule"",""review_date"":""2026-08-30"",""approval_is_not_exact_equivalence"":true,""production_ready"":false}"
d13_quality_fix_20260830.mapping.M151116,"{""role_id"":""M151116"",""masco_code"":""151116"",""esco_code"":""1330.9"",""mapping_relation"":""close_match"",""mapping_confidence"":""medium"",""review_status"":""auto_approved_medium_or_high_test_mapping"",""use_in_role_skills"":true,""approval_threshold"":""medium"",""reviewer"":""User-Authorized Automated Confidence Rule"",""review_date"":""2026-08-30"",""approval_is_not_exact_equivalence"":true,""production_ready"":false}"
d13_quality_fix_20260830.mapping.M151117,"{""role_id"":""M151117"",""masco_code"":""151117"",""esco_code"":""1330.5"",""mapping_relation"":""broader_proxy"",""mapping_confidence"":""medium"",""review_status"":""auto_approved_medium_or_high_test_mapping"",""use_in_role_skills"":true,""approval_threshold"":""medium"",""reviewer"":""User-Authorized Automated Confidence Rule"",""review_date"":""2026-08-30"",""approval_is_not_exact_equivalence"":true,""production_ready"":false}"
d13_quality_fix_20260830.mapping.M151119,"{""role_id"":""M151119"",""masco_code"":""151119"",""esco_code"":""2654.1.7"",""mapping_relation"":""partial_proxy"",""mapping_confidence"":""low"",""review_status"":""pending_low_confidence_review"",""use_in_role_skills"":false,""approval_threshold"":""medium"",""reviewer"":null,""review_date"":null,""approval_is_not_exact_equivalence"":true,""production_ready"":false}"
d13_quality_fix_20260830.mapping.M151122,"{""role_id"":""M151122"",""masco_code"":""151122"",""esco_code"":""1330.7"",""mapping_relation"":""close_match"",""mapping_confidence"":""medium"",""review_status"":""auto_approved_medium_or_high_test_mapping"",""use_in_role_skills"":true,""approval_threshold"":""medium"",""reviewer"":""User-Authorized Automated Confidence Rule"",""review_date"":""2026-08-30"",""approval_is_not_exact_equivalence"":true,""production_ready"":false}"
d13_quality_fix_20260830.mapping.M151123,"{""role_id"":""M151123"",""masco_code"":""151123"",""esco_code"":""1330.5"",""mapping_relation"":""broader_proxy"",""mapping_confidence"":""medium"",""review_status"":""auto_approved_medium_or_high_test_mapping"",""use_in_role_skills"":true,""approval_threshold"":""medium"",""reviewer"":""User-Authorized Automated Confidence Rule"",""review_date"":""2026-08-30"",""approval_is_not_exact_equivalence"":true,""production_ready"":false}"
d13_quality_fix_20260830.mapping.M151124,"{""role_id"":""M151124"",""masco_code"":""151124"",""esco_code"":""1330.7"",""mapping_relation"":""partial_proxy"",""mapping_confidence"":""low"",""review_status"":""pending_low_confidence_review"",""use_in_role_skills"":false,""approval_threshold"":""medium"",""reviewer"":null,""review_date"":null,""approval_is_not_exact_equivalence"":true,""production_ready"":false}"
d13_quality_fix_20260830.mapping.M151127,"{""role_id"":""M151127"",""masco_code"":""151127"",""esco_code"":""2131.3"",""mapping_relation"":""broader_proxy"",""mapping_confidence"":""medium"",""review_status"":""auto_approved_medium_or_high_test_mapping"",""use_in_role_skills"":true,""approval_threshold"":""medium"",""reviewer"":""User-Authorized Automated Confidence Rule"",""review_date"":""2026-08-30"",""approval_is_not_exact_equivalence"":true,""production_ready"":false}"
d13_quality_fix_20260830.mapping.M151128,"{""role_id"":""M151128"",""masco_code"":""151128"",""esco_code"":""2431.7"",""mapping_relation"":""broader_proxy"",""mapping_confidence"":""medium"",""review_status"":""auto_approved_medium_or_high_test_mapping"",""use_in_role_skills"":true,""approval_threshold"":""medium"",""reviewer"":""User-Authorized Automated Confidence Rule"",""review_date"":""2026-08-30"",""approval_is_not_exact_equivalence"":true,""production_ready"":false}"
d13_quality_fix_20260830.mapping.M151130,"{""role_id"":""M151130"",""masco_code"":""151130"",""esco_code"":""1330.5"",""mapping_relation"":""broader_proxy"",""mapping_confidence"":""medium"",""review_status"":""auto_approved_medium_or_high_test_mapping"",""use_in_role_skills"":true,""approval_threshold"":""medium"",""reviewer"":""User-Authorized Automated Confidence Rule"",""review_date"":""2026-08-30"",""approval_is_not_exact_equivalence"":true,""production_ready"":false}"
d13_quality_fix_20260830.mapping.M151132,"{""role_id"":""M151132"",""masco_code"":""151132"",""esco_code"":""2434.2"",""mapping_relation"":""close_match"",""mapping_confidence"":""medium"",""review_status"":""auto_approved_medium_or_high_test_mapping"",""use_in_role_skills"":true,""approval_threshold"":""medium"",""reviewer"":""User-Authorized Automated Confidence Rule"",""review_date"":""2026-08-30"",""approval_is_not_exact_equivalence"":true,""production_ready"":false}"
d13_quality_fix_20260830.mapping.M151135,"{""role_id"":""M151135"",""masco_code"":""151135"",""esco_code"":""1330.5.1"",""mapping_relation"":""close_match"",""mapping_confidence"":""medium"",""review_status"":""auto_approved_medium_or_high_test_mapping"",""use_in_role_skills"":true,""approval_threshold"":""medium"",""reviewer"":""User-Authorized Automated Confidence Rule"",""review_date"":""2026-08-30"",""approval_is_not_exact_equivalence"":true,""production_ready"":false}"
d13_quality_fix_20260830.mapping.M161202,"{""role_id"":""M161202"",""masco_code"":""161202"",""esco_code"":""2221.2"",""mapping_relation"":""partial_proxy"",""mapping_confidence"":""low"",""review_status"":""pending_low_confidence_review"",""use_in_role_skills"":false,""approval_threshold"":""medium"",""reviewer"":null,""review_date"":null,""approval_is_not_exact_equivalence"":true,""production_ready"":false}"
d13_quality_fix_20260830.mapping.M161210,"{""role_id"":""M161210"",""masco_code"":""161210"",""esco_code"":""1223.2"",""mapping_relation"":""partial_proxy"",""mapping_confidence"":""low"",""review_status"":""pending_low_confidence_review"",""use_in_role_skills"":false,""approval_threshold"":""medium"",""reviewer"":null,""review_date"":null,""approval_is_not_exact_equivalence"":true,""production_ready"":false}"
d13_quality_fix_20260830.mapping.M161211,"{""role_id"":""M161211"",""masco_code"":""161211"",""esco_code"":""3253.1"",""mapping_relation"":""broader_proxy"",""mapping_confidence"":""medium"",""review_status"":""auto_approved_medium_or_high_test_mapping"",""use_in_role_skills"":true,""approval_threshold"":""medium"",""reviewer"":""User-Authorized Automated Confidence Rule"",""review_date"":""2026-08-30"",""approval_is_not_exact_equivalence"":true,""production_ready"":false}"
d13_quality_fix_20260830.mapping.M211101,"{""role_id"":""M211101"",""masco_code"":""211101"",""esco_code"":""2111.3"",""mapping_relation"":""close_match"",""mapping_confidence"":""high"",""review_status"":""auto_approved_medium_or_high_test_mapping"",""use_in_role_skills"":true,""approval_threshold"":""medium"",""reviewer"":""User-Authorized Automated Confidence Rule"",""review_date"":""2026-08-30"",""approval_is_not_exact_equivalence"":true,""production_ready"":false}"
d13_quality_fix_20260830.mapping.M211129,"{""role_id"":""M211129"",""masco_code"":""211129"",""esco_code"":""3153.3"",""mapping_relation"":""close_match"",""mapping_confidence"":""high"",""review_status"":""auto_approved_medium_or_high_test_mapping"",""use_in_role_skills"":true,""approval_threshold"":""medium"",""reviewer"":""User-Authorized Automated Confidence Rule"",""review_date"":""2026-08-30"",""approval_is_not_exact_equivalence"":true,""production_ready"":false}"
d13_quality_fix_20260830.mapping.M211201,"{""role_id"":""M211201"",""masco_code"":""211201"",""esco_code"":""2112.1"",""mapping_relation"":""broader_proxy"",""mapping_confidence"":""medium"",""review_status"":""auto_approved_medium_or_high_test_mapping"",""use_in_role_skills"":true,""approval_threshold"":""medium"",""reviewer"":""User-Authorized Automated Confidence Rule"",""review_date"":""2026-08-30"",""approval_is_not_exact_equivalence"":true,""production_ready"":false}"
