role_id,role_title,masco_code,masco_unit_group_code,chosen_esco_code,chosen_esco_title,chosen_esco_uri,mapping_relation,mapping_confidence,mapping_rationale,review_status,production_ready,priority,reviewer,review_date,review_decision,review_notes,masco_source_url,esco_source_url
M121416,Technology Manager,121416,1214,1330.5,ICT Operations Manager,http://data.europa.eu/esco/occupation/f0ca39a8-1e30-487c-95f9-ef2d5e734adc,broader_proxy,medium,"Retained the previously curated duty-based ESCO assignment after fresh MASCO 2020 title/profile retrieval. No stronger unambiguous occupational identity was established. Prior reasoning: D11 description concerns IT infrastructure and services, not generic product technology.",auto_approved_medium_or_high_test_mapping,false,normal,User-Authorized Automated Confidence Rule,2026-08-30,Approved for Test Mapping,User authorized automatic approval at Medium or High confidence. Mapping relationship retained; not an official crosswalk or exact occupational equivalence. Only ESCO essential links retained as test core candidates; optional skills remain conditional.,https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=319,http://data.europa.eu/esco/occupation/f0ca39a8-1e30-487c-95f9-ef2d5e734adc
M122301,Research and Development Manager,122301,1223,1223.2,Research and Development Manager,http://data.europa.eu/esco/occupation/73ceb2f9-18e3-4cfe-9c06-e9fb31ece440,close_match,high,Unique ESCO preferred title matches the MASCO 2020 title after public-service grade/competency-wrapper normalization. Qualification and full task equivalence are not assumed.,auto_approved_medium_or_high_test_mapping,false,normal,User-Authorized Automated Confidence Rule,2026-08-30,Approved for Test Mapping,User authorized automatic approval at Medium or High confidence. Mapping relationship retained; not an official crosswalk or exact occupational equivalence. Only ESCO essential links retained as test core candidates; optional skills remain conditional.,https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=320,http://data.europa.eu/esco/occupation/73ceb2f9-18e3-4cfe-9c06-e9fb31ece440
M131102,Forestry Manager,131102,1311,1311.1,Forester,http://data.europa.eu/esco/occupation/f04eaeff-52f5-4d52-93ad-6f846884827f,close_match,medium,Retained the previously curated duty-based ESCO assignment after fresh MASCO 2020 title/profile retrieval. No stronger unambiguous occupational identity was established. Prior reasoning: ESCO alternate title matches the cleaned MASCO title; national qualifications and full task scope are not assumed equivalent.,auto_approved_medium_or_high_test_mapping,false,normal,User-Authorized Automated Confidence Rule,2026-08-30,Approved for Test Mapping,User authorized automatic approval at Medium or High confidence. Mapping relationship retained; not an official crosswalk or exact occupational equivalence. Only ESCO essential links retained as test core candidates; optional skills remain conditional.,https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=320,http://data.europa.eu/esco/occupation/f04eaeff-52f5-4d52-93ad-6f846884827f
M131106,Agricultural Manager,131106,1311,6130.1,Farm Manager,http://data.europa.eu/esco/occupation/4552095e-3396-4831-86ad-4fc34ec39a19,broader_proxy,medium,Retained the previously curated duty-based ESCO assignment after fresh MASCO 2020 title/profile retrieval. No stronger unambiguous occupational identity was established. Prior reasoning: Agricultural production and farm operations management.,auto_approved_medium_or_high_test_mapping,false,normal,User-Authorized Automated Confidence Rule,2026-08-30,Approved for Test Mapping,User authorized automatic approval at Medium or High confidence. Mapping relationship retained; not an official crosswalk or exact occupational equivalence. Only ESCO essential links retained as test core candidates; optional skills remain conditional.,https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=320,http://data.europa.eu/esco/occupation/4552095e-3396-4831-86ad-4fc34ec39a19
M131111,Veterinary Manager,131111,1311,1120.1,Animal Facility Manager,http://data.europa.eu/esco/occupation/93dfef83-579c-4bef-b0ba-d41ee9cbda85,partial_proxy,low,Retained the previously curated duty-based ESCO assignment after fresh MASCO 2020 title/profile retrieval. No stronger unambiguous occupational identity was established. Prior reasoning: Animal-facility operations and staff management; veterinary clinical oversight requires enrichment. D11 task text appears to describe turf maintenance and is excluded from this decision.,pending_low_confidence_review,false,high,,,Pending Review,Below user-authorized Medium threshold. ESCO comparison retained; skill requirements held out.,https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=320,http://data.europa.eu/esco/occupation/93dfef83-579c-4bef-b0ba-d41ee9cbda85
M131114,"Field Manager, Grass",131114,1311,6113.3,Horticulture Production Team Leader,http://data.europa.eu/esco/occupation/8e24c53a-9dc6-46d1-986b-48a93f20df2a,partial_proxy,low,Retained the previously curated duty-based ESCO assignment after fresh MASCO 2020 title/profile retrieval. No stronger unambiguous occupational identity was established. Prior reasoning: Turf maintenance and field-team supervision; horticulture proxy does not imply a tree-only occupation.,pending_low_confidence_review,false,high,,,Pending Review,Below user-authorized Medium threshold. ESCO comparison retained; skill requirements held out.,https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=320,http://data.europa.eu/esco/occupation/8e24c53a-9dc6-46d1-986b-48a93f20df2a
M131202,"Production and Operation Manager, Fishery",131202,1312,1312.3,Aquaculture Production Manager,http://data.europa.eu/esco/occupation/5945cba8-19a4-4632-8a8f-4186e2bad1a3,partial_proxy,low,Fishery production management retains an aquaculture-production proxy for testing. Capture fisheries and aquaculture are not exact equivalents; production management is closer in level than a fish-processing operator.,pending_low_confidence_review,false,high,,,Pending Review,Below user-authorized Medium threshold. ESCO comparison retained; skill requirements held out.,https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=320,http://data.europa.eu/esco/occupation/5945cba8-19a4-4632-8a8f-4186e2bad1a3
M131203,Aquaculture Production Manager,131203,1312,1312.3,Aquaculture Production Manager,http://data.europa.eu/esco/occupation/5945cba8-19a4-4632-8a8f-4186e2bad1a3,close_match,high,The separated Aquaculture Production Manager is an exact preferred ESCO occupation.,auto_approved_medium_or_high_test_mapping,false,normal,User-Authorized Automated Confidence Rule,2026-08-30,Approved for Test Mapping,User authorized automatic approval at Medium or High confidence. Mapping relationship retained; not an official crosswalk or exact occupational equivalence. Only ESCO essential links retained as test core candidates; optional skills remain conditional.,https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=320,http://data.europa.eu/esco/occupation/5945cba8-19a4-4632-8a8f-4186e2bad1a3
M132101,Manufacturing Manager,132101,1321,1321.2,Manufacturing Manager,http://data.europa.eu/esco/occupation/6426ada1-4d8c-4612-99e3-91bc569805ee,close_match,high,Unique ESCO preferred title matches the MASCO 2020 title after public-service grade/competency-wrapper normalization. Qualification and full task equivalence are not assumed.,auto_approved_medium_or_high_test_mapping,false,normal,User-Authorized Automated Confidence Rule,2026-08-30,Approved for Test Mapping,User authorized automatic approval at Medium or High confidence. Mapping relationship retained; not an official crosswalk or exact occupational equivalence. Only ESCO essential links retained as test core candidates; optional skills remain conditional.,https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=320,http://data.europa.eu/esco/occupation/6426ada1-4d8c-4612-99e3-91bc569805ee
M132102,"Production and Operation Manager, Manufacturing",132102,1321,1321.2.1,Industrial Production Manager,http://data.europa.eu/esco/occupation/eb9479c6-5fdf-4f45-ace4-28b547b8c7e5,close_match,medium,Manufacturing production-and-operation management corresponds to industrial production management in the compared profiles.,auto_approved_medium_or_high_test_mapping,false,normal,User-Authorized Automated Confidence Rule,2026-08-30,Approved for Test Mapping,User authorized automatic approval at Medium or High confidence. Mapping relationship retained; not an official crosswalk or exact occupational equivalence. Only ESCO essential links retained as test core candidates; optional skills remain conditional.,https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=320,http://data.europa.eu/esco/occupation/eb9479c6-5fdf-4f45-ace4-28b547b8c7e5
M132104,Electrical Manager,132104,1321,3123.1.11,Electrical Supervisor,http://data.europa.eu/esco/occupation/8862c29b-3810-4fbc-85c7-c9ee87535f73,partial_proxy,low,Retained the previously curated duty-based ESCO assignment after fresh MASCO 2020 title/profile retrieval. No stronger unambiguous occupational identity was established. Prior reasoning: Electrical work supervision; ESCO supervisory seniority is below the managerial title.,pending_low_confidence_review,false,high,,,Pending Review,Below user-authorized Medium threshold. ESCO comparison retained; skill requirements held out.,https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=321,http://data.europa.eu/esco/occupation/8862c29b-3810-4fbc-85c7-c9ee87535f73
M132105,Energy Manager,132105,1321,1349.12,Energy Manager,http://data.europa.eu/esco/occupation/a005f8a2-2d8a-433e-8d89-13575f822fd4,close_match,high,Unique ESCO preferred title matches the MASCO 2020 title after public-service grade/competency-wrapper normalization. Qualification and full task equivalence are not assumed.,auto_approved_medium_or_high_test_mapping,false,normal,User-Authorized Automated Confidence Rule,2026-08-30,Approved for Test Mapping,User authorized automatic approval at Medium or High confidence. Mapping relationship retained; not an official crosswalk or exact occupational equivalence. Only ESCO essential links retained as test core candidates; optional skills remain conditional.,https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=321,http://data.europa.eu/esco/occupation/a005f8a2-2d8a-433e-8d89-13575f822fd4
M132108,Ship Hull Manager,132108,1321,1321.2.1,Industrial Production Manager,http://data.europa.eu/esco/occupation/eb9479c6-5fdf-4f45-ace4-28b547b8c7e5,broader_proxy,medium,"Retained the previously curated duty-based ESCO assignment after fresh MASCO 2020 title/profile retrieval. No stronger unambiguous occupational identity was established. Prior reasoning: Shipyard hull production leadership; shipbuilding specialty is missing, not an onboard engineer.",auto_approved_medium_or_high_test_mapping,false,normal,User-Authorized Automated Confidence Rule,2026-08-30,Approved for Test Mapping,User authorized automatic approval at Medium or High confidence. Mapping relationship retained; not an official crosswalk or exact occupational equivalence. Only ESCO essential links retained as test core candidates; optional skills remain conditional.,https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=321,http://data.europa.eu/esco/occupation/eb9479c6-5fdf-4f45-ace4-28b547b8c7e5
M132109,Mechanical Manager,132109,1321,1321.2,Manufacturing Manager,http://data.europa.eu/esco/occupation/6426ada1-4d8c-4612-99e3-91bc569805ee,partial_proxy,low,Retained the previously curated duty-based ESCO assignment after fresh MASCO 2020 title/profile retrieval. No stronger unambiguous occupational identity was established. Prior reasoning: Mechanical engineering and production management; technical mechanical-engineering content needs enrichment.,pending_low_confidence_review,false,high,,,Pending Review,Below user-authorized Medium threshold. ESCO comparison retained; skill requirements held out.,https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=321,http://data.europa.eu/esco/occupation/6426ada1-4d8c-4612-99e3-91bc569805ee
M132110,Welding Manager,132110,1321,7212.4,Welding Coordinator,http://data.europa.eu/esco/occupation/cdef4961-fcc2-4e00-bfe8-4480b33aa6f3,close_match,medium,"Retained the previously curated duty-based ESCO assignment after fresh MASCO 2020 title/profile retrieval. No stronger unambiguous occupational identity was established. Prior reasoning: Coordination of welding quality, procedures and personnel.",auto_approved_medium_or_high_test_mapping,false,normal,User-Authorized Automated Confidence Rule,2026-08-30,Approved for Test Mapping,User authorized automatic approval at Medium or High confidence. Mapping relationship retained; not an official crosswalk or exact occupational equivalence. Only ESCO essential links retained as test core candidates; optional skills remain conditional.,https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=321,http://data.europa.eu/esco/occupation/cdef4961-fcc2-4e00-bfe8-4480b33aa6f3
M132111,Oil Mill Manager,132111,1321,1321.2.1.3,Food Production Manager,http://data.europa.eu/esco/occupation/a7d6a377-3d3b-41cf-9301-f4a0a7ad3d96,broader_proxy,medium,Retained the previously curated duty-based ESCO assignment after fresh MASCO 2020 title/profile retrieval. No stronger unambiguous occupational identity was established. Prior reasoning: Food-production management; palm-oil/halal specialty is absent from ESCO.,auto_approved_medium_or_high_test_mapping,false,normal,User-Authorized Automated Confidence Rule,2026-08-30,Approved for Test Mapping,User authorized automatic approval at Medium or High confidence. Mapping relationship retained; not an official crosswalk or exact occupational equivalence. Only ESCO essential links retained as test core candidates; optional skills remain conditional.,https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=321,http://data.europa.eu/esco/occupation/a7d6a377-3d3b-41cf-9301-f4a0a7ad3d96
M132112,"Manager, Halal Food Manufacturing",132112,1321,1321.2.1.3,Food Production Manager,http://data.europa.eu/esco/occupation/a7d6a377-3d3b-41cf-9301-f4a0a7ad3d96,broader_proxy,medium,Retained the previously curated duty-based ESCO assignment after fresh MASCO 2020 title/profile retrieval. No stronger unambiguous occupational identity was established. Prior reasoning: Food-production management; palm-oil/halal specialty is absent from ESCO.,auto_approved_medium_or_high_test_mapping,false,normal,User-Authorized Automated Confidence Rule,2026-08-30,Approved for Test Mapping,User authorized automatic approval at Medium or High confidence. Mapping relationship retained; not an official crosswalk or exact occupational equivalence. Only ESCO essential links retained as test core candidates; optional skills remain conditional.,https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=321,http://data.europa.eu/esco/occupation/a7d6a377-3d3b-41cf-9301-f4a0a7ad3d96
M132126,Power Generation Plant Manager,132126,1321,1219.5.3,Power Plant Manager,http://data.europa.eu/esco/occupation/cb446db8-e8b3-418c-a21c-2d10faea42a5,close_match,medium,Retained the previously curated duty-based ESCO assignment after fresh MASCO 2020 title/profile retrieval. No stronger unambiguous occupational identity was established. Prior reasoning: Power-plant management.,auto_approved_medium_or_high_test_mapping,false,normal,User-Authorized Automated Confidence Rule,2026-08-30,Approved for Test Mapping,User authorized automatic approval at Medium or High confidence. Mapping relationship retained; not an official crosswalk or exact occupational equivalence. Only ESCO essential links retained as test core candidates; optional skills remain conditional.,https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=321,http://data.europa.eu/esco/occupation/cb446db8-e8b3-418c-a21c-2d10faea42a5
M132201,"Production and Operation Manager, Mine",132201,1322,1322.1.1,Mine Production Manager,http://data.europa.eu/esco/occupation/df66a6e6-2130-4932-8aaf-263dafa569fa,close_match,medium,Retained the previously curated duty-based ESCO assignment after fresh MASCO 2020 title/profile retrieval. No stronger unambiguous occupational identity was established. Prior reasoning: Mine production management.,auto_approved_medium_or_high_test_mapping,false,normal,User-Authorized Automated Confidence Rule,2026-08-30,Approved for Test Mapping,User authorized automatic approval at Medium or High confidence. Mapping relationship retained; not an official crosswalk or exact occupational equivalence. Only ESCO essential links retained as test core candidates; optional skills remain conditional.,https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=321,http://data.europa.eu/esco/occupation/df66a6e6-2130-4932-8aaf-263dafa569fa
M132203,"Production and Operation Manager, Oil and Gas Extraction",132203,1322,1322.1.2,Oil and Gas Production Manager,http://data.europa.eu/esco/occupation/0633ec3f-91f1-4038-bc29-e0ec4cd7f1e9,broader_proxy,medium,"Retained the previously curated duty-based ESCO assignment after fresh MASCO 2020 title/profile retrieval. No stronger unambiguous occupational identity was established. Prior reasoning: Oil/gas production operations; offshore installation duties need enrichment, not renewable-energy management.",auto_approved_medium_or_high_test_mapping,false,normal,User-Authorized Automated Confidence Rule,2026-08-30,Approved for Test Mapping,User authorized automatic approval at Medium or High confidence. Mapping relationship retained; not an official crosswalk or exact occupational equivalence. Only ESCO essential links retained as test core candidates; optional skills remain conditional.,https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=321,http://data.europa.eu/esco/occupation/0633ec3f-91f1-4038-bc29-e0ec4cd7f1e9
M132207,Offshore Installation Manager,132207,1322,1322.1.2,Oil and Gas Production Manager,http://data.europa.eu/esco/occupation/0633ec3f-91f1-4038-bc29-e0ec4cd7f1e9,broader_proxy,medium,"Retained the previously curated duty-based ESCO assignment after fresh MASCO 2020 title/profile retrieval. No stronger unambiguous occupational identity was established. Prior reasoning: Oil/gas production operations; offshore installation duties need enrichment, not renewable-energy management.",auto_approved_medium_or_high_test_mapping,false,normal,User-Authorized Automated Confidence Rule,2026-08-30,Approved for Test Mapping,User authorized automatic approval at Medium or High confidence. Mapping relationship retained; not an official crosswalk or exact occupational equivalence. Only ESCO essential links retained as test core candidates; optional skills remain conditional.,https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=321,http://data.europa.eu/esco/occupation/0633ec3f-91f1-4038-bc29-e0ec4cd7f1e9
M132210,"Manager, Metallurgy",132210,1322,1321.2.1.7,Metallurgical Manager,http://data.europa.eu/esco/occupation/45517bc3-0887-416d-95fe-6ace1b90bddd,close_match,medium,Retained the previously curated duty-based ESCO assignment after fresh MASCO 2020 title/profile retrieval. No stronger unambiguous occupational identity was established. Prior reasoning: Metallurgical production management.,auto_approved_medium_or_high_test_mapping,false,normal,User-Authorized Automated Confidence Rule,2026-08-30,Approved for Test Mapping,User authorized automatic approval at Medium or High confidence. Mapping relationship retained; not an official crosswalk or exact occupational equivalence. Only ESCO essential links retained as test core candidates; optional skills remain conditional.,https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=321,http://data.europa.eu/esco/occupation/45517bc3-0887-416d-95fe-6ace1b90bddd
M132301,Construction Manager,132301,1323,1323.1,Construction Manager,http://data.europa.eu/esco/occupation/faed05c0-c1d1-4e34-b575-0dea96459e56,close_match,high,Unique ESCO preferred title matches the MASCO 2020 title after public-service grade/competency-wrapper normalization. Qualification and full task equivalence are not assumed.,auto_approved_medium_or_high_test_mapping,false,normal,User-Authorized Automated Confidence Rule,2026-08-30,Approved for Test Mapping,User authorized automatic approval at Medium or High confidence. Mapping relationship retained; not an official crosswalk or exact occupational equivalence. Only ESCO essential links retained as test core candidates; optional skills remain conditional.,https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=321,http://data.europa.eu/esco/occupation/faed05c0-c1d1-4e34-b575-0dea96459e56
M132310,Building and Architecture Manager,132310,1323,1323.1,Construction Manager,http://data.europa.eu/esco/occupation/faed05c0-c1d1-4e34-b575-0dea96459e56,broader_proxy,medium,Retained the previously curated duty-based ESCO assignment after fresh MASCO 2020 title/profile retrieval. No stronger unambiguous occupational identity was established. Prior reasoning: Building and architectural construction management.,auto_approved_medium_or_high_test_mapping,false,normal,User-Authorized Automated Confidence Rule,2026-08-30,Approved for Test Mapping,User authorized automatic approval at Medium or High confidence. Mapping relationship retained; not an official crosswalk or exact occupational equivalence. Only ESCO essential links retained as test core candidates; optional skills remain conditional.,https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=321,http://data.europa.eu/esco/occupation/faed05c0-c1d1-4e34-b575-0dea96459e56
M132311,Land Surveyor Manager,132311,1323,2165.4,Land Surveyor,http://data.europa.eu/esco/occupation/d8e502b4-1be6-4d10-a224-151688f8f0c8,broader_proxy,medium,Retained the previously curated duty-based ESCO assignment after fresh MASCO 2020 title/profile retrieval. No stronger unambiguous occupational identity was established. Prior reasoning: Land surveying function; managerial seniority is not represented.,auto_approved_medium_or_high_test_mapping,false,normal,User-Authorized Automated Confidence Rule,2026-08-30,Approved for Test Mapping,User authorized automatic approval at Medium or High confidence. Mapping relationship retained; not an official crosswalk or exact occupational equivalence. Only ESCO essential links retained as test core candidates; optional skills remain conditional.,https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=321,http://data.europa.eu/esco/occupation/d8e502b4-1be6-4d10-a224-151688f8f0c8
