role_id,role_title,masco_code,masco_unit_group_code,chosen_esco_code,chosen_esco_title,chosen_esco_uri,mapping_relation,mapping_confidence,mapping_rationale,review_status,production_ready,masco_version,masco_code_printed,chosen_esco_isco_group,d11_esco_code,d11_esco_comparison_codes,d11_esco_comparison_titles,previous_d13_esco_code,previous_d13_esco_title,previous_d13_mapping_relation,original_pre2020_d13_esco_code,change_type,mapping_method,mapping_authority,title_match_type,title_match_score,score_interpretation,same_four_digit_group,use_in_role_skills,specialty_skills_complete,source_quality_flag,source_current_role_id,masco2020_remap_method,profile_basis,masco_source_url,profile_source_url,esco_source_url,display_case_policy
M121411,Supply Chain Manager,121411,1214,1324.8,Supply Chain Manager,http://data.europa.eu/esco/occupation/aacc3918-b5d3-484b-9480-5d29aa550d74,close_match,high,The separated 2020 Supply Chain Manager matches the preferred ESCO title; no longer share its profile indiscriminately with logistics management.,auto_approved_medium_or_high_test_mapping,false,2020,1214-11,1324,1324.8,,,1324.8,Supply Chain Manager,inherited_test_proxy,,retained_esco_occupation,2020_title_and_duty_review,Project-derived test crosswalk; not an official MASCO-ESCO crosswalk,exact_preferred_label,1,Fresh 2020-title lexical similarity; not a probability or proof of occupational equivalence,false,true,Not established,,M121404,combined_title_split,Current eMASCO D11 profile inherited for a MASCO 2020 identity; not 2020-specific task evidence; test only.,https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=319,https://emasco.mohr.gov.my/masco/1214-04,http://data.europa.eu/esco/occupation/aacc3918-b5d3-484b-9480-5d29aa550d74,title_case_with_protected_acronyms_and_product_spellings
M121416,Technology Manager,121416,1214,1330.5,ICT Operations Manager,http://data.europa.eu/esco/occupation/f0ca39a8-1e30-487c-95f9-ef2d5e734adc,broader_proxy,medium,"Retained the previously curated duty-based ESCO assignment after fresh MASCO 2020 title/profile retrieval. No stronger unambiguous occupational identity was established. Prior reasoning: D11 description concerns IT infrastructure and services, not generic product technology.",auto_approved_medium_or_high_test_mapping,false,2020,1214-16,1330,1330.5,,,1330.5,ICT Operations Manager,broader_proxy,,retained_esco_occupation,curated_proxy_retained_with_fresh_2020_retrieval,Project-derived test crosswalk; not an official MASCO-ESCO crosswalk,non_exact_title,0.585366,Fresh 2020-title lexical similarity; not a probability or proof of occupational equivalence,false,true,Not established,,M121408,exact_normalized_title,Current eMASCO D11 profile inherited for a MASCO 2020 identity; not 2020-specific task evidence; test only.,https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=319,https://emasco.mohr.gov.my/masco/1214-08,http://data.europa.eu/esco/occupation/f0ca39a8-1e30-487c-95f9-ef2d5e734adc,title_case_with_protected_acronyms_and_product_spellings
M122301,Research and Development Manager,122301,1223,1223.2,Research and Development Manager,http://data.europa.eu/esco/occupation/73ceb2f9-18e3-4cfe-9c06-e9fb31ece440,close_match,high,Unique ESCO preferred title matches the MASCO 2020 title after public-service grade/competency-wrapper normalization. Qualification and full task equivalence are not assumed.,auto_approved_medium_or_high_test_mapping,false,2020,1223-01,1223,1223.2,,,1223.2,Research and Development Manager,close_match,1223.2,retained_esco_occupation,2020_unique_preferred_title,Project-derived test crosswalk; not an official MASCO-ESCO crosswalk,exact_preferred_label,1,Fresh 2020-title lexical similarity; not a probability or proof of occupational equivalence,true,true,Not established,,M122301,exact_normalized_title,Current eMASCO D11 profile inherited for a MASCO 2020 identity; not 2020-specific task evidence; test only.,https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=320,https://emasco.mohr.gov.my/masco/1223-01,http://data.europa.eu/esco/occupation/73ceb2f9-18e3-4cfe-9c06-e9fb31ece440,title_case_with_protected_acronyms_and_product_spellings
M131102,Forestry Manager,131102,1311,1311.1,Forester,http://data.europa.eu/esco/occupation/f04eaeff-52f5-4d52-93ad-6f846884827f,close_match,medium,Retained the previously curated duty-based ESCO assignment after fresh MASCO 2020 title/profile retrieval. No stronger unambiguous occupational identity was established. Prior reasoning: ESCO alternate title matches the cleaned MASCO title; national qualifications and full task scope are not assumed equivalent.,auto_approved_medium_or_high_test_mapping,false,2020,1311-02,1311,1311.1,,,1311.1,Forester,close_match,1311.1,retained_esco_occupation,curated_proxy_retained_with_fresh_2020_retrieval,Project-derived test crosswalk; not an official MASCO-ESCO crosswalk,exact_alternate_label,1,Fresh 2020-title lexical similarity; not a probability or proof of occupational equivalence,true,true,Not established,,M131101,exact_normalized_title,Current eMASCO D11 profile inherited for a MASCO 2020 identity; not 2020-specific task evidence; test only.,https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=320,https://emasco.mohr.gov.my/masco/1311-01,http://data.europa.eu/esco/occupation/f04eaeff-52f5-4d52-93ad-6f846884827f,title_case_with_protected_acronyms_and_product_spellings
M131106,Agricultural Manager,131106,1311,6130.1,Farm Manager,http://data.europa.eu/esco/occupation/4552095e-3396-4831-86ad-4fc34ec39a19,broader_proxy,medium,Retained the previously curated duty-based ESCO assignment after fresh MASCO 2020 title/profile retrieval. No stronger unambiguous occupational identity was established. Prior reasoning: Agricultural production and farm operations management.,auto_approved_medium_or_high_test_mapping,false,2020,1311-06,6130,6130.1,,,6130.1,Farm Manager,broader_proxy,,retained_esco_occupation,curated_proxy_retained_with_fresh_2020_retrieval,Project-derived test crosswalk; not an official MASCO-ESCO crosswalk,exact_alternate_label,1,Fresh 2020-title lexical similarity; not a probability or proof of occupational equivalence,false,true,Not established,,M131102,exact_normalized_title,Current eMASCO D11 profile inherited for a MASCO 2020 identity; not 2020-specific task evidence; test only.,https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=320,https://emasco.mohr.gov.my/masco/1311-02,http://data.europa.eu/esco/occupation/4552095e-3396-4831-86ad-4fc34ec39a19,title_case_with_protected_acronyms_and_product_spellings
M131111,Veterinary Manager,131111,1311,1120.1,Animal Facility Manager,http://data.europa.eu/esco/occupation/93dfef83-579c-4bef-b0ba-d41ee9cbda85,partial_proxy,low,Retained the previously curated duty-based ESCO assignment after fresh MASCO 2020 title/profile retrieval. No stronger unambiguous occupational identity was established. Prior reasoning: Animal-facility operations and staff management; veterinary clinical oversight requires enrichment. D11 task text appears to describe turf maintenance and is excluded from this decision.,pending_low_confidence_review,false,2020,1311-11,1120,1120.1,,,1120.1,Animal Facility Manager,partial_proxy,,retained_esco_occupation,curated_proxy_retained_with_fresh_2020_retrieval,Project-derived test crosswalk; not an official MASCO-ESCO crosswalk,non_exact_title,0.487805,Fresh 2020-title lexical similarity; not a probability or proof of occupational equivalence,false,false,Not established,D11 task_summary describes turf maintenance whereas the title/description concerns veterinary management. Mapping uses title and description only.,M131103,exact_normalized_title,Current eMASCO D11 profile inherited for a MASCO 2020 identity; not 2020-specific task evidence; test only.,https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=320,https://emasco.mohr.gov.my/masco/1311-03,http://data.europa.eu/esco/occupation/93dfef83-579c-4bef-b0ba-d41ee9cbda85,title_case_with_protected_acronyms_and_product_spellings
M131114,"Field Manager, Grass",131114,1311,6113.3,Horticulture Production Team Leader,http://data.europa.eu/esco/occupation/8e24c53a-9dc6-46d1-986b-48a93f20df2a,partial_proxy,low,Retained the previously curated duty-based ESCO assignment after fresh MASCO 2020 title/profile retrieval. No stronger unambiguous occupational identity was established. Prior reasoning: Turf maintenance and field-team supervision; horticulture proxy does not imply a tree-only occupation.,pending_low_confidence_review,false,2020,1311-14,6113,6113.3,,,6113.3,Horticulture Production Team Leader,partial_proxy,,retained_esco_occupation,curated_proxy_retained_with_fresh_2020_retrieval,Project-derived test crosswalk; not an official MASCO-ESCO crosswalk,non_exact_title,0.444444,Fresh 2020-title lexical similarity; not a probability or proof of occupational equivalence,false,false,Not established,,M131104,exact_normalized_title,Current eMASCO D11 profile inherited for a MASCO 2020 identity; not 2020-specific task evidence; test only.,https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=320,https://emasco.mohr.gov.my/masco/1311-04,http://data.europa.eu/esco/occupation/8e24c53a-9dc6-46d1-986b-48a93f20df2a,title_case_with_protected_acronyms_and_product_spellings
M131202,"Production and Operation Manager, Fishery",131202,1312,1312.3,Aquaculture Production Manager,http://data.europa.eu/esco/occupation/5945cba8-19a4-4632-8a8f-4186e2bad1a3,partial_proxy,low,Fishery production management retains an aquaculture-production proxy for testing. Capture fisheries and aquaculture are not exact equivalents; production management is closer in level than a fish-processing operator.,pending_low_confidence_review,false,2020,1312-02,1312,1312.3,,,1312.3,Aquaculture Production Manager,inherited_test_proxy,,retained_esco_occupation,2020_title_and_duty_review,Project-derived test crosswalk; not an official MASCO-ESCO crosswalk,non_exact_title,0.545455,Fresh 2020-title lexical similarity; not a probability or proof of occupational equivalence,true,false,Not established,,M131201,combined_title_split,Current eMASCO D11 profile inherited for a MASCO 2020 identity; not 2020-specific task evidence; test only.,https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=320,https://emasco.mohr.gov.my/masco/1312-01,http://data.europa.eu/esco/occupation/5945cba8-19a4-4632-8a8f-4186e2bad1a3,title_case_with_protected_acronyms_and_product_spellings
M131203,Aquaculture Production Manager,131203,1312,1312.3,Aquaculture Production Manager,http://data.europa.eu/esco/occupation/5945cba8-19a4-4632-8a8f-4186e2bad1a3,close_match,high,The separated Aquaculture Production Manager is an exact preferred ESCO occupation.,auto_approved_medium_or_high_test_mapping,false,2020,1312-03,1312,1312.3,,,1312.3,Aquaculture Production Manager,inherited_test_proxy,,retained_esco_occupation,2020_title_and_duty_review,Project-derived test crosswalk; not an official MASCO-ESCO crosswalk,exact_preferred_label,1,Fresh 2020-title lexical similarity; not a probability or proof of occupational equivalence,true,true,Not established,,M131201,combined_title_split,Current eMASCO D11 profile inherited for a MASCO 2020 identity; not 2020-specific task evidence; test only.,https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=320,https://emasco.mohr.gov.my/masco/1312-01,http://data.europa.eu/esco/occupation/5945cba8-19a4-4632-8a8f-4186e2bad1a3,title_case_with_protected_acronyms_and_product_spellings
M132101,Manufacturing Manager,132101,1321,1321.2,Manufacturing Manager,http://data.europa.eu/esco/occupation/6426ada1-4d8c-4612-99e3-91bc569805ee,close_match,high,Unique ESCO preferred title matches the MASCO 2020 title after public-service grade/competency-wrapper normalization. Qualification and full task equivalence are not assumed.,auto_approved_medium_or_high_test_mapping,false,2020,1321-01,1321,1321.2,,,1321.2,Manufacturing Manager,close_match,1321.2,retained_esco_occupation,2020_unique_preferred_title,Project-derived test crosswalk; not an official MASCO-ESCO crosswalk,exact_preferred_label,1,Fresh 2020-title lexical similarity; not a probability or proof of occupational equivalence,true,true,Not established,,M132101,exact_normalized_title,Current eMASCO D11 profile inherited for a MASCO 2020 identity; not 2020-specific task evidence; test only.,https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=320,https://emasco.mohr.gov.my/masco/1321-01,http://data.europa.eu/esco/occupation/6426ada1-4d8c-4612-99e3-91bc569805ee,title_case_with_protected_acronyms_and_product_spellings
M132102,"Production and Operation Manager, Manufacturing",132102,1321,1321.2.1,Industrial Production Manager,http://data.europa.eu/esco/occupation/eb9479c6-5fdf-4f45-ace4-28b547b8c7e5,close_match,medium,Manufacturing production-and-operation management corresponds to industrial production management in the compared profiles.,auto_approved_medium_or_high_test_mapping,false,2020,1321-02,1321,1321.2.1,,,1321.2.1,Industrial Production Manager,inherited_test_proxy,,retained_esco_occupation,2020_title_and_duty_review,Project-derived test crosswalk; not an official MASCO-ESCO crosswalk,non_exact_title,0.615385,Fresh 2020-title lexical similarity; not a probability or proof of occupational equivalence,true,true,Not established,,M132104,reviewed_functional_equivalent,Current eMASCO D11 profile inherited for a MASCO 2020 identity; not 2020-specific task evidence; test only.,https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=320,https://emasco.mohr.gov.my/masco/1321-04,http://data.europa.eu/esco/occupation/eb9479c6-5fdf-4f45-ace4-28b547b8c7e5,title_case_with_protected_acronyms_and_product_spellings
M132104,Electrical Manager,132104,1321,3123.1.11,Electrical Supervisor,http://data.europa.eu/esco/occupation/8862c29b-3810-4fbc-85c7-c9ee87535f73,partial_proxy,low,Retained the previously curated duty-based ESCO assignment after fresh MASCO 2020 title/profile retrieval. No stronger unambiguous occupational identity was established. Prior reasoning: Electrical work supervision; ESCO supervisory seniority is below the managerial title.,pending_low_confidence_review,false,2020,1321-04,3123,3123.1.11,,,3123.1.11,Electrical Supervisor,partial_proxy,,retained_esco_occupation,curated_proxy_retained_with_fresh_2020_retrieval,Project-derived test crosswalk; not an official MASCO-ESCO crosswalk,non_exact_title,0.75,Fresh 2020-title lexical similarity; not a probability or proof of occupational equivalence,false,false,Not established,,M132102,exact_normalized_title,Current eMASCO D11 profile inherited for a MASCO 2020 identity; not 2020-specific task evidence; test only.,https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=321,https://emasco.mohr.gov.my/masco/1321-02,http://data.europa.eu/esco/occupation/8862c29b-3810-4fbc-85c7-c9ee87535f73,title_case_with_protected_acronyms_and_product_spellings
M132105,Energy Manager,132105,1321,1349.12,Energy Manager,http://data.europa.eu/esco/occupation/a005f8a2-2d8a-433e-8d89-13575f822fd4,close_match,high,Unique ESCO preferred title matches the MASCO 2020 title after public-service grade/competency-wrapper normalization. Qualification and full task equivalence are not assumed.,auto_approved_medium_or_high_test_mapping,false,2020,1321-05,1349,1349.12,,,1349.12,Energy Manager,close_match,,retained_esco_occupation,2020_unique_preferred_title,Project-derived test crosswalk; not an official MASCO-ESCO crosswalk,exact_preferred_label,1,Fresh 2020-title lexical similarity; not a probability or proof of occupational equivalence,false,true,Not established,,M132103,exact_normalized_title,Current eMASCO D11 profile inherited for a MASCO 2020 identity; not 2020-specific task evidence; test only.,https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=321,https://emasco.mohr.gov.my/masco/1321-03,http://data.europa.eu/esco/occupation/a005f8a2-2d8a-433e-8d89-13575f822fd4,title_case_with_protected_acronyms_and_product_spellings
M132108,Ship Hull Manager,132108,1321,1321.2.1,Industrial Production Manager,http://data.europa.eu/esco/occupation/eb9479c6-5fdf-4f45-ace4-28b547b8c7e5,broader_proxy,medium,"Retained the previously curated duty-based ESCO assignment after fresh MASCO 2020 title/profile retrieval. No stronger unambiguous occupational identity was established. Prior reasoning: Shipyard hull production leadership; shipbuilding specialty is missing, not an onboard engineer.",auto_approved_medium_or_high_test_mapping,false,2020,1321-08,1321,1321.2.1,,,1321.2.1,Industrial Production Manager,broader_proxy,,retained_esco_occupation,curated_proxy_retained_with_fresh_2020_retrieval,Project-derived test crosswalk; not an official MASCO-ESCO crosswalk,non_exact_title,0.55,Fresh 2020-title lexical similarity; not a probability or proof of occupational equivalence,true,true,Not established,,M132105,exact_normalized_title,Current eMASCO D11 profile inherited for a MASCO 2020 identity; not 2020-specific task evidence; test only.,https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=321,https://emasco.mohr.gov.my/masco/1321-05,http://data.europa.eu/esco/occupation/eb9479c6-5fdf-4f45-ace4-28b547b8c7e5,title_case_with_protected_acronyms_and_product_spellings
M132109,Mechanical Manager,132109,1321,1321.2,Manufacturing Manager,http://data.europa.eu/esco/occupation/6426ada1-4d8c-4612-99e3-91bc569805ee,partial_proxy,low,Retained the previously curated duty-based ESCO assignment after fresh MASCO 2020 title/profile retrieval. No stronger unambiguous occupational identity was established. Prior reasoning: Mechanical engineering and production management; technical mechanical-engineering content needs enrichment.,pending_low_confidence_review,false,2020,1321-09,1321,1321.2,,,1321.2,Manufacturing Manager,partial_proxy,,retained_esco_occupation,curated_proxy_retained_with_fresh_2020_retrieval,Project-derived test crosswalk; not an official MASCO-ESCO crosswalk,non_exact_title,0.615385,Fresh 2020-title lexical similarity; not a probability or proof of occupational equivalence,true,false,Not established,,M132106,exact_normalized_title,Current eMASCO D11 profile inherited for a MASCO 2020 identity; not 2020-specific task evidence; test only.,https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=321,https://emasco.mohr.gov.my/masco/1321-06,http://data.europa.eu/esco/occupation/6426ada1-4d8c-4612-99e3-91bc569805ee,title_case_with_protected_acronyms_and_product_spellings
