"role_id","masco_code","role_title","rejected_esco_code","rejected_esco_title","chosen_esco_code","chosen_esco_title","reason","rejected_esco_source_url"
"M212115","212115","Metrologist","3111.9","Metrology Technician","2112.2","Metrologist","Unique ESCO preferred title matches the MASCO 2020 title after public-service grade/competency-wrapper normalization. Qualification and full task equivalence are not assumed.","http://data.europa.eu/esco/occupation/e6a3ce2e-c0f2-47a7-937a-61ae9abfe1fa"
"M213108","213108","Biologist","3141.2.1","Bacteriology Technician","2131.4","Biologist","Unique ESCO preferred title matches the MASCO 2020 title after public-service grade/competency-wrapper normalization. Qualification and full task equivalence are not assumed.","http://data.europa.eu/esco/occupation/f3b99acc-b212-45cf-bb4f-7b83cc6f0d71"
"M213108","213108","Biologist","3141.2.2","Biochemistry Technician","2131.4","Biologist","Unique ESCO preferred title matches the MASCO 2020 title after public-service grade/competency-wrapper normalization. Qualification and full task equivalence are not assumed.","http://data.europa.eu/esco/occupation/95324a4a-a5ea-4d89-8ede-4422ccb46a28"
"M213108","213108","Biologist","3141.2.3","Biology Technician","2131.4","Biologist","Unique ESCO preferred title matches the MASCO 2020 title after public-service grade/competency-wrapper normalization. Qualification and full task equivalence are not assumed.","http://data.europa.eu/esco/occupation/31cc4199-703c-4f8a-9b46-a2070a6d35df"
"M213169","213169","Arborist","6113.6","Tree Surgeon","6112.1","Arboriculturist","Arborist is an alternate label of Arboriculturist; tree cultivation and health management fit. The narrower tree-surgery alternative is not chosen automatically.","http://data.europa.eu/esco/occupation/fa30c1cb-dbc5-409c-8124-7284592b123c"
"M213210","213210","Forestry Officer","6210.1","Forest Ranger","2132.5","Forestry Adviser","Forestry Officer duties are professional forest management; Forest Ranger is only a possible conservation/protection component. Retain the earlier duty-based ESCO proxy after the fresh 2020 retrieval.","http://data.europa.eu/esco/occupation/f489b1ec-3d6c-44b1-b1d7-c6c97db7df30"
"M213302","213302","Agronomist","2422.12.1","Agricultural Policy Officer","2132.2","Agronomist","Unique ESCO preferred title matches the MASCO 2020 title after public-service grade/competency-wrapper normalization. Qualification and full task equivalence are not assumed.","http://data.europa.eu/esco/occupation/98f17395-0f8c-4f51-9072-cb8f66fd6044"
"M213306","213306","Horticulturist","3141.2.4","Botanical Technician","2131.4.6.1","Curator of Horticulture","The separated Horticulturist includes plant collections, botanical gardens and landscapes. Curator of Horticulture is a reviewed partial professional-profile proxy; generic horticulture is not identical to botanical-curator seniority or scope.","http://data.europa.eu/esco/occupation/2c5ae1b4-c3ca-4882-b7ce-e346ae5b5b00"
"M213306","213306","Horticulturist","6113.1","Groundsman/Groundswoman","2131.4.6.1","Curator of Horticulture","The separated Horticulturist includes plant collections, botanical gardens and landscapes. Curator of Horticulture is a reviewed partial professional-profile proxy; generic horticulture is not identical to botanical-curator seniority or scope.","http://data.europa.eu/esco/occupation/a48b9a5a-5ded-482d-8cda-7fd097a32c16"
"M213322","213322","Environmental Consultant","2114.1.1","Environmental Geologist","2133.6","Environmental Programme Coordinator","Retained the previously curated duty-based ESCO assignment after fresh MASCO 2020 title/profile retrieval. No stronger unambiguous occupational identity was established. Prior reasoning: Environmental impact, sustainability and regulatory advice/programmes; exact consulting specialization varies.","http://data.europa.eu/esco/occupation/92efb42f-6b0a-44d8-94ea-0141555e6c3b"
"M213322","213322","Environmental Consultant","2143.2","Environmental Expert","2133.6","Environmental Programme Coordinator","Retained the previously curated duty-based ESCO assignment after fresh MASCO 2020 title/profile retrieval. No stronger unambiguous occupational identity was established. Prior reasoning: Environmental impact, sustainability and regulatory advice/programmes; exact consulting specialization varies.","http://data.europa.eu/esco/occupation/a7358961-46d4-4715-ac1e-6148fd042510"
"M213402","213402","Biochemist","2113.1","Chemist","2131.4.2","Biochemist","Unique ESCO preferred title matches the MASCO 2020 title after public-service grade/competency-wrapper normalization. Qualification and full task equivalence are not assumed.","http://data.europa.eu/esco/occupation/0d93706d-32fd-4de3-aa08-be1003e325da"
"M213422","213422","Pathologist","2619.2","Coroner","2212.1","Specialised Doctor","Pathologist is a clinical specialist; Coroner adds a distinct death-investigation/statutory function. Retain the earlier duty-based ESCO proxy after the fresh 2020 retrieval.","http://data.europa.eu/esco/occupation/c6c48286-2037-47e3-a132-b745dce858e2"
"M214102","214102","Robotics Engineer","2144.1.11","Mechatronics Engineer","2149.15","Robotics Engineer","Unique ESCO preferred title matches the MASCO 2020 title after public-service grade/competency-wrapper normalization. Qualification and full task equivalence are not assumed.","http://data.europa.eu/esco/occupation/ab360abd-32e2-4e03-967d-a10758efffa7"
"M214103","214103","Industrial Engineer","2141.5","Leather Goods Industrial Engineer","2141.4","Industrial Engineer","Unique ESCO preferred title matches the MASCO 2020 title after public-service grade/competency-wrapper normalization. Qualification and full task equivalence are not assumed.","http://data.europa.eu/esco/occupation/91d0f74b-8612-49cc-a7da-83ee3c4b94d9"
"M214106","214106","Communication Analyst","2153.1.1","Telecommunications Analyst","1222.1","Communication Manager","Retained the previously curated duty-based ESCO assignment after fresh MASCO 2020 title/profile retrieval. No stronger unambiguous occupational identity was established. Prior reasoning: D11 profile concerns corporate communication strategy, not telecommunications engineering; managerial level differs and taxonomy placement should be checked.","http://data.europa.eu/esco/occupation/c5d36eef-df20-47a8-a332-5b4358fa83e3"
"M214106","214106","Communication Analyst","2632.1.1","Communication Scientist","1222.1","Communication Manager","Retained the previously curated duty-based ESCO assignment after fresh MASCO 2020 title/profile retrieval. No stronger unambiguous occupational identity was established. Prior reasoning: D11 profile concerns corporate communication strategy, not telecommunications engineering; managerial level differs and taxonomy placement should be checked.","http://data.europa.eu/esco/occupation/6cd08cbe-7611-4d70-8886-6c59c0385442"
"M214169","214169","Materials Engineer","2145.1.8","Paper Engineer","2149.11","Materials Engineer","Unique ESCO preferred title matches the MASCO 2020 title after public-service grade/competency-wrapper normalization. Qualification and full task equivalence are not assumed.","http://data.europa.eu/esco/occupation/c44c078d-85e4-40a3-9598-2c333d7a24ca"
"M214169","214169","Materials Engineer","8142.10","Plastic Heat Treatment Equipment Operator","2149.11","Materials Engineer","Unique ESCO preferred title matches the MASCO 2020 title after public-service grade/competency-wrapper normalization. Qualification and full task equivalence are not assumed.","http://data.europa.eu/esco/occupation/4a5ceaae-0f05-4091-bdbf-59f250ce6374"
"M214207","214207","Civil Engineer","2164.1","Land Planner","2142.1","Civil Engineer","Unique ESCO preferred title matches the MASCO 2020 title after public-service grade/competency-wrapper normalization. Qualification and full task equivalence are not assumed.","http://data.europa.eu/esco/occupation/44508e7b-f56b-4bfb-9cd6-879838aecd94"
"M214245","214245","Quantity Surveyor Grade J41","2411.1.5","Cost Analyst","2149.14","Quantity Surveyor","Unique ESCO preferred title matches the MASCO 2020 title after public-service grade/competency-wrapper normalization. Qualification and full task equivalence are not assumed.","http://data.europa.eu/esco/occupation/84871c2a-abd1-45eb-b03a-65e51a26fd84"
"M214248","214248","Quantity Surveyor","2411.1.5","Cost Analyst","2149.14","Quantity Surveyor","Unique ESCO preferred title matches the MASCO 2020 title after public-service grade/competency-wrapper normalization. Qualification and full task equivalence are not assumed.","http://data.europa.eu/esco/occupation/84871c2a-abd1-45eb-b03a-65e51a26fd84"
"M214301","214301","Environmental Engineer","2133.7","Environmental Scientist","2143.1","Environmental Engineer","Unique ESCO preferred title matches the MASCO 2020 title after public-service grade/competency-wrapper normalization. Qualification and full task equivalence are not assumed.","http://data.europa.eu/esco/occupation/11d72bd6-779a-4643-9962-313833740094"
"M214305","214305","Environmental Analyst","2133.14","Air Pollution Analyst","2133.7","Environmental Scientist","Retained the previously curated duty-based ESCO assignment after fresh MASCO 2020 title/profile retrieval. No stronger unambiguous occupational identity was established. Prior reasoning: Environmental data, research and compliance analysis; source does not primarily describe engineering design.","http://data.europa.eu/esco/occupation/febd4100-9a9b-46a0-b964-8623d79d0f32"
"M214305","214305","Environmental Analyst","2143.1","Environmental Engineer","2133.7","Environmental Scientist","Retained the previously curated duty-based ESCO assignment after fresh MASCO 2020 title/profile retrieval. No stronger unambiguous occupational identity was established. Prior reasoning: Environmental data, research and compliance analysis; source does not primarily describe engineering design.","http://data.europa.eu/esco/occupation/ac1fc6a9-70d2-475c-8fa0-82ef83830968"
"M214402","214402","Mechanical Engineer","2141.8","Maintenance and Repair Engineer","2144.1","Mechanical Engineer","Unique ESCO preferred title matches the MASCO 2020 title after public-service grade/competency-wrapper normalization. Qualification and full task equivalence are not assumed.","http://data.europa.eu/esco/occupation/615920c5-4f63-4eb3-8b60-afaaed3ab1ff"
"M214402","214402","Mechanical Engineer","2145.1.8","Paper Engineer","2144.1","Mechanical Engineer","Unique ESCO preferred title matches the MASCO 2020 title after public-service grade/competency-wrapper normalization. Qualification and full task equivalence are not assumed.","http://data.europa.eu/esco/occupation/c44c078d-85e4-40a3-9598-2c333d7a24ca"
"M214503","214503","Chemical Engineer","2113.1","Chemist","2145.1","Chemical Engineer","Unique ESCO preferred title matches the MASCO 2020 title after public-service grade/competency-wrapper normalization. Qualification and full task equivalence are not assumed.","http://data.europa.eu/esco/occupation/0d93706d-32fd-4de3-aa08-be1003e325da"
"M214503","214503","Chemical Engineer","2146.4","Liquid Fuel Engineer","2145.1","Chemical Engineer","Unique ESCO preferred title matches the MASCO 2020 title after public-service grade/competency-wrapper normalization. Qualification and full task equivalence are not assumed.","http://data.europa.eu/esco/occupation/47dd863b-b124-4bb1-bb42-a9498492a8cb"
"M214601","214601","Mining Engineer","1322.1","Mine Manager","2146.8","Mine Planning Engineer","Retained the previously curated duty-based ESCO assignment after fresh MASCO 2020 title/profile retrieval. No stronger unambiguous occupational identity was established. Prior reasoning: Mine planning/extraction engineering component; broad mining lifecycle exceeds mine-planning specialization.","http://data.europa.eu/esco/occupation/107d21c6-973b-411c-89fd-69da48d29ada"
"M214601","214601","Mining Engineer","1322.1.1","Mine Production Manager","2146.8","Mine Planning Engineer","Retained the previously curated duty-based ESCO assignment after fresh MASCO 2020 title/profile retrieval. No stronger unambiguous occupational identity was established. Prior reasoning: Mine planning/extraction engineering component; broad mining lifecycle exceeds mine-planning specialization.","http://data.europa.eu/esco/occupation/df66a6e6-2130-4932-8aaf-263dafa569fa"
"M214601","214601","Mining Engineer","2146.11","Quarry Engineer","2146.8","Mine Planning Engineer","Retained the previously curated duty-based ESCO assignment after fresh MASCO 2020 title/profile retrieval. No stronger unambiguous occupational identity was established. Prior reasoning: Mine planning/extraction engineering component; broad mining lifecycle exceeds mine-planning specialization.","http://data.europa.eu/esco/occupation/03b2f112-a891-461d-a8d4-effb9dcf2df6"
"M214609","214609","Metallurgist","3117.3","Metallurgical Technician","2146.5","Metallurgist","Unique ESCO preferred title matches the MASCO 2020 title after public-service grade/competency-wrapper normalization. Qualification and full task equivalence are not assumed.","http://data.europa.eu/esco/occupation/06351e17-67c4-44bc-adf7-64b73f92c3b5"
"M214907","214907","Industrial Health and Safety Engineer","2146.7","Mine Health and Safety Engineer","2149.10","Health and Safety Engineer","Retained the previously curated duty-based ESCO assignment after fresh MASCO 2020 title/profile retrieval. No stronger unambiguous occupational identity was established. Prior reasoning: ESCO alternate title matches the cleaned MASCO title; national qualifications and full task scope are not assumed equivalent.","http://data.europa.eu/esco/occupation/d6d1af75-7811-4914-b16f-50441bcb0e74"
"M214919","214919","Biomedical Engineer","2152.1.5","Medical Device Engineer","2149.5.1","Biomedical Engineer","Unique ESCO preferred title matches the MASCO 2020 title after public-service grade/competency-wrapper normalization. Qualification and full task equivalence are not assumed.","http://data.europa.eu/esco/occupation/0c7c9606-fde3-4658-8136-8fe0c9b8bd09"
"M214923","214923","Commissioning Engineer","2149.2.5","Installation Engineer","2149.6","Commissioning Engineer","Unique ESCO preferred title matches the MASCO 2020 title after public-service grade/competency-wrapper normalization. Qualification and full task equivalence are not assumed.","http://data.europa.eu/esco/occupation/58c30193-d29f-4d22-8bf0-fd87346b91dd"
"M215102","215102","Electrical Engineer","2151.1.4","Mine Electrical Engineer","2151.1","Electrical Engineer","Unique ESCO preferred title matches the MASCO 2020 title after public-service grade/competency-wrapper normalization. Qualification and full task equivalence are not assumed.","http://data.europa.eu/esco/occupation/e69697d0-2639-4aad-b73a-05e0b98357b1"
"M216101","216101","Architect Grade J41","2161.1.1","Interior Architect","2161.1","Architect","Unique ESCO preferred title matches the MASCO 2020 title after public-service grade/competency-wrapper normalization. Qualification and full task equivalence are not assumed.","http://data.europa.eu/esco/occupation/efa81635-9125-4276-8902-9deb12170ea7"
"M216102","216102","Architect","2161.1.1","Interior Architect","2161.1","Architect","Unique ESCO preferred title matches the MASCO 2020 title after public-service grade/competency-wrapper normalization. Qualification and full task equivalence are not assumed.","http://data.europa.eu/esco/occupation/efa81635-9125-4276-8902-9deb12170ea7"
"M216402","216402","Town Planner","2164.1","Land Planner","2164.4","Urban Planner","Retained the previously curated duty-based ESCO assignment after fresh MASCO 2020 title/profile retrieval. No stronger unambiguous occupational identity was established. Prior reasoning: Town and urban planning.","http://data.europa.eu/esco/occupation/44508e7b-f56b-4bfb-9cd6-879838aecd94"
"M216404","216404","Traffic Engineer","2142.1.9","Transport Engineer","2164.3","Transport Planner","Retained the previously curated duty-based ESCO assignment after fresh MASCO 2020 title/profile retrieval. No stronger unambiguous occupational identity was established. Prior reasoning: ESCO alternate title matches the cleaned MASCO title; national qualifications and full task scope are not assumed equivalent.","http://data.europa.eu/esco/occupation/aad7819e-d62e-41de-a594-9f2be186a6c2"
"M216502","216502","Surveyor Grade J41","3111.14","Soil Surveying Technician","2165.4","Land Surveyor","Retained the previously curated duty-based ESCO assignment after fresh MASCO 2020 title/profile retrieval. No stronger unambiguous occupational identity was established. Prior reasoning: ESCO alternate title matches the cleaned MASCO title; national qualifications and full task scope are not assumed equivalent.","http://data.europa.eu/esco/occupation/84cb6e91-ce11-409e-9306-23c9698631af"
"M216502","216502","Surveyor Grade J41","3112.10","Surveying Technician","2165.4","Land Surveyor","Retained the previously curated duty-based ESCO assignment after fresh MASCO 2020 title/profile retrieval. No stronger unambiguous occupational identity was established. Prior reasoning: ESCO alternate title matches the cleaned MASCO title; national qualifications and full task scope are not assumed equivalent.","http://data.europa.eu/esco/occupation/624986f9-21ef-4cdf-8cf6-8407a337ec2f"
"M216507","216507","Surveyor","3111.14","Soil Surveying Technician","2165.4","Land Surveyor","Retained the previously curated duty-based ESCO assignment after fresh MASCO 2020 title/profile retrieval. No stronger unambiguous occupational identity was established. Prior reasoning: ESCO alternate title matches the cleaned MASCO title; national qualifications and full task scope are not assumed equivalent.","http://data.europa.eu/esco/occupation/84cb6e91-ce11-409e-9306-23c9698631af"
"M216507","216507","Surveyor","3112.10","Surveying Technician","2165.4","Land Surveyor","Retained the previously curated duty-based ESCO assignment after fresh MASCO 2020 title/profile retrieval. No stronger unambiguous occupational identity was established. Prior reasoning: ESCO alternate title matches the cleaned MASCO title; national qualifications and full task scope are not assumed equivalent.","http://data.europa.eu/esco/occupation/624986f9-21ef-4cdf-8cf6-8407a337ec2f"
"M216601","216601","Designer Grade B41","2654.1","Art Director","2166.9","Graphic Designer","Public-service Designer grade does not establish Art Director authority. Retain the earlier duty-based ESCO proxy after the fresh 2020 retrieval.","http://data.europa.eu/esco/occupation/cb93fd23-1f51-4495-867a-936c1967066b"
"M221211","221211","Neurologist","2111.3","Physicist","2212.1","Specialised Doctor","Neurologist is a clinical specialty; the Physicist alternate label is inconsistent with the ESCO occupation description. Retain the earlier duty-based ESCO proxy after the fresh 2020 retrieval.","http://data.europa.eu/esco/occupation/7f2761eb-4edc-48ad-9fbf-eed0a0db9a21"
"M226301","226301","Environmental Health Officer Grade U41","2133.6","Environmental Programme Coordinator","3257.1","Environmental Health Inspector","Retained the previously curated duty-based ESCO assignment after fresh MASCO 2020 title/profile retrieval. No stronger unambiguous occupational identity was established. Prior reasoning: Environmental health inspection.","http://data.europa.eu/esco/occupation/59883630-45f9-40e7-9732-9e5ff9758d2b"
"M226301","226301","Environmental Health Officer Grade U41","3257.5","Occupational Health and Safety Inspector","3257.1","Environmental Health Inspector","Retained the previously curated duty-based ESCO assignment after fresh MASCO 2020 title/profile retrieval. No stronger unambiguous occupational identity was established. Prior reasoning: Environmental health inspection.","http://data.europa.eu/esco/occupation/673f3266-ab1a-447d-9b28-fc5838dc07e3"
"M226801","226801","Occupational Therapist","2264.2","Physiotherapist","2269.4","Occupational Therapist","Unique ESCO preferred title matches the MASCO 2020 title after public-service grade/competency-wrapper normalization. Qualification and full task equivalence are not assumed.","http://data.europa.eu/esco/occupation/006cc1f9-2841-41c3-991a-dc3f2f3bd533"
"M252401","252401","Data Scientist","2131.3","Bioinformatics Scientist","2511.4","Data Scientist","Unique ESCO preferred title matches the MASCO 2020 title after public-service grade/competency-wrapper normalization. Qualification and full task equivalence are not assumed.","http://data.europa.eu/esco/occupation/68d973df-bf10-4bf7-9a1b-fbd9f604b9db"
"M253120","253120","Information Security Officer","2529.1","Chief ICT Security Officer","2529.6","ICT Security Administrator","Information Security Officer does not automatically imply chief/executive ICT security authority. Retain the earlier duty-based ESCO proxy after the fresh 2020 retrieval.","http://data.europa.eu/esco/occupation/276ba420-ef09-4a0e-b215-2c2e2f80ad28"
"M253130","253130","Cybersecurity Analyst","2529.2","Digital Forensics Expert","2529.8","Cybersecurity Risk Manager","Cybersecurity analysis is not restricted to digital forensic evidence examination. Retain the earlier duty-based ESCO proxy after the fresh 2020 retrieval.","http://data.europa.eu/esco/occupation/0c448a27-10ec-43ba-b880-d9938bade424"
"M254209","254209","Concept Artist","2651.5","Conceptual Artist","2166.5","Digital Artist","Digital concept-art creation is different from conceptual fine art. Retain the earlier duty-based ESCO proxy after the fresh 2020 retrieval.","http://data.europa.eu/esco/occupation/969f8af0-3c0d-403a-9c16-a6fb76c6b443"
"M254211","254211","Art director","1349.3","Artistic Director","2654.1","Art Director","Art director is now the precise 2020 identity. Its visual-layout and artistic-team duties match ESCO Art Director, replacing the inherited Creative Director profile.","http://data.europa.eu/esco/occupation/db4f28ff-c208-4830-ab8b-4b07776db134"
"M254316","254316","Digital Designer","2166.15","Web Designer","2166.7","Digital Media Designer","Digital design spans media; the Web Designer alias is narrower. Retain the earlier duty-based ESCO proxy after the fresh 2020 retrieval.","http://data.europa.eu/esco/occupation/30ed83ba-cc89-4d9f-a59d-5c783c1da56e"
"M311106","311106","Chemistry Technician","2113.1","Chemist","3111.1","Chemistry Technician","Unique ESCO preferred title matches the MASCO 2020 title after public-service grade/competency-wrapper normalization. Qualification and full task equivalence are not assumed.","http://data.europa.eu/esco/occupation/0d93706d-32fd-4de3-aa08-be1003e325da"
"M311106","311106","Chemistry Technician","3141.2.1","Bacteriology Technician","3111.1","Chemistry Technician","Unique ESCO preferred title matches the MASCO 2020 title after public-service grade/competency-wrapper normalization. Qualification and full task equivalence are not assumed.","http://data.europa.eu/esco/occupation/f3b99acc-b212-45cf-bb4f-7b83cc6f0d71"
"M311106","311106","Chemistry Technician","3141.2.2","Biochemistry Technician","3111.1","Chemistry Technician","Unique ESCO preferred title matches the MASCO 2020 title after public-service grade/competency-wrapper normalization. Qualification and full task equivalence are not assumed.","http://data.europa.eu/esco/occupation/95324a4a-a5ea-4d89-8ede-4422ccb46a28"
"M311110","311110","Chemistry Laboratory Assistant","3141.2","Scientific Laboratory Technician","3111.1","Chemistry Technician","Retained the previously curated duty-based ESCO assignment after fresh MASCO 2020 title/profile retrieval. No stronger unambiguous occupational identity was established. Prior reasoning: ESCO alternate title matches the cleaned MASCO title; national qualifications and full task scope are not assumed equivalent.","http://data.europa.eu/esco/occupation/4fef1907-cf82-413b-841a-02ef57e299a6"
"M311112","311112","Soil Technician","2133.11","Soil Scientist","3111.14","Soil Surveying Technician","Retained the previously curated duty-based ESCO assignment after fresh MASCO 2020 title/profile retrieval. No stronger unambiguous occupational identity was established. Prior reasoning: ESCO alternate title matches the cleaned MASCO title; national qualifications and full task scope are not assumed equivalent.","http://data.europa.eu/esco/occupation/6a3d3d28-0ab6-49b0-9a32-697e5e104bf1"
"M311114","311114","Meteorological Technician","2112.1.1","Aviation Meteorologist","3111.8","Meteorology Technician","Retained the previously curated duty-based ESCO assignment after fresh MASCO 2020 title/profile retrieval. No stronger unambiguous occupational identity was established. Prior reasoning: ESCO alternate title matches the cleaned MASCO title; national qualifications and full task scope are not assumed equivalent.","http://data.europa.eu/esco/occupation/2960c96e-7228-4327-b0a1-85fc13691844"
"M311116","311116","Geological Technician","2133.7","Environmental Scientist","3111.4","Geology Technician","Retained the previously curated duty-based ESCO assignment after fresh MASCO 2020 title/profile retrieval. No stronger unambiguous occupational identity was established. Prior reasoning: Geological technical work.","http://data.europa.eu/esco/occupation/11d72bd6-779a-4643-9962-313833740094"
"M311116","311116","Geological Technician","3111.14","Soil Surveying Technician","3111.4","Geology Technician","Retained the previously curated duty-based ESCO assignment after fresh MASCO 2020 title/profile retrieval. No stronger unambiguous occupational identity was established. Prior reasoning: Geological technical work.","http://data.europa.eu/esco/occupation/84cb6e91-ce11-409e-9306-23c9698631af"
"M311132","311132","Laboratory Technician","3141.2.1","Bacteriology Technician","3141.2","Scientific Laboratory Technician","Generic laboratory work is not automatically bacteriology. Retain the earlier duty-based ESCO proxy after the fresh 2020 retrieval.","http://data.europa.eu/esco/occupation/f3b99acc-b212-45cf-bb4f-7b83cc6f0d71"
"M311214","311214","Surveying Technician","3111.5","Hydrographic Surveying Technician","3112.10","Surveying Technician","Unique ESCO preferred title matches the MASCO 2020 title after public-service grade/competency-wrapper normalization. Qualification and full task equivalence are not assumed.","http://data.europa.eu/esco/occupation/668943cc-c454-4a1b-a296-2fcb524a6222"
"M311301","311301","Electrical Engineering Technician","3113.1.2","Electromechanical Engineering Technician","3113.1","Electrical Engineering Technician","Unique ESCO preferred title matches the MASCO 2020 title after public-service grade/competency-wrapper normalization. Qualification and full task equivalence are not assumed.","http://data.europa.eu/esco/occupation/51c7015c-dc81-4fcb-b15f-619a4656a9fe"
"M311548","311548","Equipment Technician","3521.1.3","Performance Rental Technician","7233.7","Industrial Machinery Mechanic","Equipment Technician is not specifically a performance-equipment rental occupation. Retain the earlier duty-based ESCO proxy after the fresh 2020 retrieval.","http://data.europa.eu/esco/occupation/47e4135b-95d1-4462-920c-afcbd7c4d9be"
"M311831","311831","Assistant Surveyor Grade JA29","3117.5","Mine Surveying Technician","3112.10","Surveying Technician","Assistant Surveyor is not specifically mine surveying. Retain the earlier duty-based ESCO proxy after the fresh 2020 retrieval.","http://data.europa.eu/esco/occupation/9ce12690-c3bf-4135-b7a5-b666bb8c68f5"
"M311903","311903","Maintenance Technician","7212.3","Welder","7233.7","Industrial Machinery Mechanic","Maintenance Technician services and repairs industrial machinery. Retain the industrial machinery mechanic profile; misleading Maintenance Technician aliases under welding occupations are rejected.","http://data.europa.eu/esco/occupation/7aedaa07-3884-4c5b-88f9-80997b2aa54b"
"M311903","311903","Maintenance Technician","7212.3.2","Laser Beam Welder","7233.7","Industrial Machinery Mechanic","Maintenance Technician services and repairs industrial machinery. Retain the industrial machinery mechanic profile; misleading Maintenance Technician aliases under welding occupations are rejected.","http://data.europa.eu/esco/occupation/c81af273-1112-4b3f-a2a5-b85b1290ae22"
