"role_id","masco_code","role_title","previous_esco_code","previous_esco_title","chosen_esco_code","chosen_esco_title","esco_code_changed","previous_mapping_relation","mapping_relation","mapping_method","rationale"
"M132414","132414","Shipping Manager","4323.11","Port Coordinator","1324.3","Logistics and Distribution Manager","true","inherited_test_proxy","broader_proxy","2020_title_and_duty_review","Shipping Manager oversees cargo movement, logistics schedules and distribution. The logistics/distribution manager preserves management level better than the inherited port-coordinator role; maritime-specific scope remains unrepresented."
"M132416","132416","Manager, Halal Logistics Operation","1324.3","Logistics and Distribution Manager","1324.3","Logistics and Distribution Manager","false","broader_proxy","broader_proxy","curated_proxy_retained_with_fresh_2020_retrieval","Retained the previously curated duty-based ESCO assignment after fresh MASCO 2020 title/profile retrieval. No stronger unambiguous occupational identity was established. Prior reasoning: Logistics operations; Malaysian halal assurance requires separate enrichment."
"M151101","151101","Chief Information Officer","1330.2","Chief Information Officer","1330.2","Chief Information Officer","false","inherited_test_proxy","close_match","2020_title_and_duty_review","Chief Information Officer is the separated 2020 identity and an exact ESCO preferred title."
"M151102","151102","Chief data officer","1330.2","Chief Information Officer","1330.1","Chief Data Officer","true","inherited_test_proxy","close_match","2020_title_and_duty_review","Chief Data Officer is a separate preferred ESCO occupation. Replace the inherited Chief Information Officer assignment."
"M151103","151103","Chief Information Security Officer","1330.2","Chief Information Officer","2529.1","Chief ICT Security Officer","true","inherited_test_proxy","close_match","2020_title_and_duty_review","Chief Information Security Officer is an alternate label of Chief ICT Security Officer; use the security leadership occupation rather than Chief Information Officer."
"M151106","151106","Information Systems Manager","1330.5","ICT Operations Manager","1330.5","ICT Operations Manager","false","broader_proxy","broader_proxy","curated_proxy_retained_with_fresh_2020_retrieval","Retained the previously curated duty-based ESCO assignment after fresh MASCO 2020 title/profile retrieval. No stronger unambiguous occupational identity was established. Prior reasoning: ICT service/infrastructure operations; local community-centre, network or managerial scope varies."
"M151108","151108","Village Community Center Manager","1330.5","ICT Operations Manager","1330.5","ICT Operations Manager","false","inherited_test_proxy","partial_proxy","2020_title_and_duty_review","The inherited community-centre profile concerns ICT infrastructure and digital services. ICT operations management covers that component, not all community-centre or social-development responsibilities."
"M151112","151112","Application Development Manager","1330.5.1","Software Manager","1330.5.1","Software Manager","false","inherited_test_proxy","close_match","2020_title_and_duty_review","The 2020 application/software development management identity concerns coordinating software teams and delivery; Software Manager is the functional ESCO counterpart."
"M151113","151113","Data Operations Manager","1330.1","Chief Data Officer","1330.5","ICT Operations Manager","true","inherited_test_proxy","broader_proxy","2020_title_and_duty_review","Data Operations Manager runs data infrastructure, workflows and service operations. Use ICT Operations Manager rather than assuming enterprise-wide Chief Data Officer authority; data-governance specialization remains incomplete."
"M151116","151116","Internet Service Provider","1330.9","Telecommunications Manager","1330.9","Telecommunications Manager","false","close_match","close_match","curated_proxy_retained_with_fresh_2020_retrieval","Retained the previously curated duty-based ESCO assignment after fresh MASCO 2020 title/profile retrieval. No stronger unambiguous occupational identity was established. Prior reasoning: Internet service provision is telecommunications service/network management."
"M151117","151117","Network Manager","1330.5","ICT Operations Manager","1330.5","ICT Operations Manager","false","inherited_test_proxy","broader_proxy","2020_title_and_duty_review","Network Manager directs services and infrastructure. Reject the operational Network Administrator alias as automatic equivalence because management authority differs; retain the broader ICT operations management profile."
"M151119","151119","Audio Visual Manager","2654.1.7","Technical Director","2654.1.7","Technical Director","false","partial_proxy","partial_proxy","curated_proxy_retained_with_fresh_2020_retrieval","Retained the previously curated duty-based ESCO assignment after fresh MASCO 2020 title/profile retrieval. No stronger unambiguous occupational identity was established. Prior reasoning: Technical AV direction and service coordination; venue/corporate AV scope differs from performance production."
"M151122","151122","Information Technology Project Manager","1330.7","ICT Project Manager","1330.7","ICT Project Manager","false","close_match","close_match","curated_proxy_retained_with_fresh_2020_retrieval","Retained the previously curated duty-based ESCO assignment after fresh MASCO 2020 title/profile retrieval. No stronger unambiguous occupational identity was established. Prior reasoning: ICT project management."
"M151123","151123","Information Technology Infrastructure Manager","1330.5","ICT Operations Manager","1330.5","ICT Operations Manager","false","inherited_test_proxy","broader_proxy","2020_title_and_duty_review","Information Technology Infrastructure Manager concerns infrastructure resources and daily ICT operations. The broader ICT operations management profile is retained with its scope caveat."
"M151124","151124","Information Technology Programme Manager","1330.7","ICT Project Manager","1330.7","ICT Project Manager","false","partial_proxy","partial_proxy","curated_proxy_retained_with_fresh_2020_retrieval","Retained the previously curated duty-based ESCO assignment after fresh MASCO 2020 title/profile retrieval. No stronger unambiguous occupational identity was established. Prior reasoning: ICT project delivery proxy; multi-project programme governance is not fully represented."
"M151127","151127","Bioinformatics Manager","2131.3","Bioinformatics Scientist","2131.3","Bioinformatics Scientist","false","broader_proxy","broader_proxy","curated_proxy_retained_with_fresh_2020_retrieval","Retained the previously curated duty-based ESCO assignment after fresh MASCO 2020 title/profile retrieval. No stronger unambiguous occupational identity was established. Prior reasoning: Bioinformatics function; managerial responsibilities need enrichment."
"M151128","151128","Creative Multimedia Manager","2431.7","Creative Director","2431.7","Creative Director","false","broader_proxy","broader_proxy","curated_proxy_retained_with_fresh_2020_retrieval","Retained the previously curated duty-based ESCO assignment after fresh MASCO 2020 title/profile retrieval. No stronger unambiguous occupational identity was established. Prior reasoning: Creative multimedia direction."
"M151130","151130","Network Operations Manager","1330.5","ICT Operations Manager","1330.5","ICT Operations Manager","false","broader_proxy","broader_proxy","curated_proxy_retained_with_fresh_2020_retrieval","Retained the previously curated duty-based ESCO assignment after fresh MASCO 2020 title/profile retrieval. No stronger unambiguous occupational identity was established. Prior reasoning: ICT service/infrastructure operations; local community-centre, network or managerial scope varies."
"M151132","151132","Information Technology Business Development Manager","2434.2","ICT Business Development Manager","2434.2","ICT Business Development Manager","false","close_match","close_match","curated_proxy_retained_with_fresh_2020_retrieval","Retained the previously curated duty-based ESCO assignment after fresh MASCO 2020 title/profile retrieval. No stronger unambiguous occupational identity was established. Prior reasoning: ICT business development."
"M151135","151135","Software Development Manager","1330.5.1","Software Manager","1330.5.1","Software Manager","false","inherited_test_proxy","close_match","2020_title_and_duty_review","The 2020 application/software development management identity concerns coordinating software teams and delivery; Software Manager is the functional ESCO counterpart."
"M161202","161202","Director, Nursing","2221.2","Nurse Responsible for General Care","2221.2","Nurse Responsible for General Care","false","inherited_test_proxy","partial_proxy","2020_title_and_duty_review","Director, Nursing has leadership and policy duties beyond the ESCO general-care nurse profile. The nursing-care proxy supports a test but is not a director-level equivalence."
"M161210","161210","Phytonutrients Manager","1223.2","Research and Development Manager","1223.2","Research and Development Manager","false","partial_proxy","partial_proxy","curated_proxy_retained_with_fresh_2020_retrieval","Retained the previously curated duty-based ESCO assignment after fresh MASCO 2020 title/profile retrieval. No stronger unambiguous occupational identity was established. Prior reasoning: Plant bioactive/phytonutrient R&D leadership; food biotechnology and formulation are missing specialty skills."
"M161211","161211","Health Educator","3253.1","Community Health Worker","3253.1","Community Health Worker","false","broader_proxy","broader_proxy","curated_proxy_retained_with_fresh_2020_retrieval","Retained the previously curated duty-based ESCO assignment after fresh MASCO 2020 title/profile retrieval. No stronger unambiguous occupational identity was established. Prior reasoning: Community health promotion and education; programme-level scope differs."
"M211101","211101","Physicist","2111.3","Physicist","2111.3","Physicist","false","close_match","close_match","2020_unique_preferred_title","Unique ESCO preferred title matches the MASCO 2020 title after public-service grade/competency-wrapper normalization. Qualification and full task equivalence are not assumed."
"M211129","211129","Astronaut","3153.3","Astronaut","3153.3","Astronaut","false","close_match","close_match","2020_unique_preferred_title","Unique ESCO preferred title matches the MASCO 2020 title after public-service grade/competency-wrapper normalization. Qualification and full task equivalence are not assumed."
"M211201","211201","Meteorological Officer Grade C41","2112.1","Meteorologist","2112.1","Meteorologist","false","broader_proxy","broader_proxy","curated_proxy_retained_with_fresh_2020_retrieval","Retained the previously curated duty-based ESCO assignment after fresh MASCO 2020 title/profile retrieval. No stronger unambiguous occupational identity was established. Prior reasoning: Meteorology occupation; environmental/numerical-forecast specialty or public-service grade is not separately represented."
"M211202","211202","Meteorologist","2112.1","Meteorologist","2112.1","Meteorologist","false","close_match","close_match","2020_unique_preferred_title","Unique ESCO preferred title matches the MASCO 2020 title after public-service grade/competency-wrapper normalization. Qualification and full task equivalence are not assumed."
"M211210","211210","Meteorologist, Environmental","2112.1","Meteorologist","2112.1","Meteorologist","false","broader_proxy","broader_proxy","curated_proxy_retained_with_fresh_2020_retrieval","Retained the previously curated duty-based ESCO assignment after fresh MASCO 2020 title/profile retrieval. No stronger unambiguous occupational identity was established. Prior reasoning: Meteorology occupation; environmental/numerical-forecast specialty or public-service grade is not separately represented."
"M211211","211211","Meteorologist, Numerical Weather Prediction Modeling","2112.1","Meteorologist","2112.1","Meteorologist","false","broader_proxy","broader_proxy","curated_proxy_retained_with_fresh_2020_retrieval","Retained the previously curated duty-based ESCO assignment after fresh MASCO 2020 title/profile retrieval. No stronger unambiguous occupational identity was established. Prior reasoning: Meteorology occupation; environmental/numerical-forecast specialty or public-service grade is not separately represented."
"M211302","211302","Chemist","2113.1","Chemist","2113.1","Chemist","false","close_match","close_match","2020_unique_preferred_title","Unique ESCO preferred title matches the MASCO 2020 title after public-service grade/competency-wrapper normalization. Qualification and full task equivalence are not assumed."
"M211402","211402","Geologist","2114.1","Geologist","2114.1","Geologist","false","close_match","close_match","2020_unique_preferred_title","Unique ESCO preferred title matches the MASCO 2020 title after public-service grade/competency-wrapper normalization. Qualification and full task equivalence are not assumed."
"M211424","211424","Hydrologist","2114.1.5","Hydrologist","2114.1.5","Hydrologist","false","close_match","close_match","2020_unique_preferred_title","Unique ESCO preferred title matches the MASCO 2020 title after public-service grade/competency-wrapper normalization. Qualification and full task equivalence are not assumed."
"M211432","211432","Geoscientist","2114.1","Geologist","2114.1","Geologist","false","broader_proxy","broader_proxy","curated_proxy_retained_with_fresh_2020_retrieval","Retained the previously curated duty-based ESCO assignment after fresh MASCO 2020 title/profile retrieval. No stronger unambiguous occupational identity was established. Prior reasoning: Geoscience proxy based on geological study; not every geoscience specialty is covered."
"M212101","212101","Statistician Grade E41","2120.6","Statistician","2120.6","Statistician","false","close_match","close_match","2020_unique_preferred_title","Unique ESCO preferred title matches the MASCO 2020 title after public-service grade/competency-wrapper normalization. Qualification and full task equivalence are not assumed."
"M212102","212102","Mathematician","2120.5","Mathematician","2120.5","Mathematician","false","close_match","close_match","2020_unique_preferred_title","Unique ESCO preferred title matches the MASCO 2020 title after public-service grade/competency-wrapper normalization. Qualification and full task equivalence are not assumed."
"M212106","212106","Statistician, Applied Statistics","2120.6","Statistician","2120.6","Statistician","false","inherited_test_proxy","close_match","2020_title_and_duty_review","Applied Statistics is a statistician specialization; statistical analysis and reporting duties support the general ESCO Statistician occupation."
"M212112","212112","Pricing Actuarie","2120.1","Actuarial Consultant","2120.1","Actuarial Consultant","false","inherited_test_proxy","broader_proxy","2020_title_and_duty_review","Pricing/Valuation Actuarie is the printed 2020 spelling. Retain the actuarial-consultant umbrella; pricing versus valuation/reserving specialties are not separately covered. Do not select property valuation or generic product pricing by word overlap."
"M212113","212113","Valuation Actuarie","2120.1","Actuarial Consultant","2120.1","Actuarial Consultant","false","inherited_test_proxy","broader_proxy","2020_title_and_duty_review","Pricing/Valuation Actuarie is the printed 2020 spelling. Retain the actuarial-consultant umbrella; pricing versus valuation/reserving specialties are not separately covered. Do not select property valuation or generic product pricing by word overlap."
"M212115","212115","Metrologist","2112.2","Metrologist","2112.2","Metrologist","false","close_match","close_match","2020_unique_preferred_title","Unique ESCO preferred title matches the MASCO 2020 title after public-service grade/competency-wrapper normalization. Qualification and full task equivalence are not assumed."
"M213101","213101","Wildlife Officer Grade G41","2133.9","Nature Conservation Officer","2133.9","Nature Conservation Officer","false","broader_proxy","broader_proxy","curated_proxy_retained_with_fresh_2020_retrieval","Retained the previously curated duty-based ESCO assignment after fresh MASCO 2020 title/profile retrieval. No stronger unambiguous occupational identity was established. Prior reasoning: Wildlife protection and conservation officer duties."
"M213103","213103","Microbiologist","2131.4.10","Microbiologist","2131.4.10","Microbiologist","false","close_match","close_match","2020_unique_preferred_title","Unique ESCO preferred title matches the MASCO 2020 title after public-service grade/competency-wrapper normalization. Qualification and full task equivalence are not assumed."
"M213104","213104","Serologist","2131.6","Immunologist","2131.6","Immunologist","false","broader_proxy","broader_proxy","curated_proxy_retained_with_fresh_2020_retrieval","Retained the previously curated duty-based ESCO assignment after fresh MASCO 2020 title/profile retrieval. No stronger unambiguous occupational identity was established. Prior reasoning: Serological immunology research; serology specialty is not separately represented."
"M213108","213108","Biologist","2131.4","Biologist","2131.4","Biologist","false","close_match","close_match","2020_unique_preferred_title","Unique ESCO preferred title matches the MASCO 2020 title after public-service grade/competency-wrapper normalization. Qualification and full task equivalence are not assumed."
"M213117","213117","Cystologist","2269.13.1","Cytotechnologist","2269.13.1","Cytotechnologist","false","partial_proxy","partial_proxy","curated_proxy_retained_with_fresh_2020_retrieval","Retained the previously curated duty-based ESCO assignment after fresh MASCO 2020 title/profile retrieval. No stronger unambiguous occupational identity was established. Prior reasoning: Cytological specimen analysis; scientist/technologist qualification scope needs review."
"M213120","213120","Botanist","2131.4.6","Botanist","2131.4.6","Botanist","false","close_match","close_match","2020_unique_preferred_title","Unique ESCO preferred title matches the MASCO 2020 title after public-service grade/competency-wrapper normalization. Qualification and full task equivalence are not assumed."
"M213151","213151","Ecologist","2133.5","Ecologist","2133.5","Ecologist","false","close_match","close_match","2020_unique_preferred_title","Unique ESCO preferred title matches the MASCO 2020 title after public-service grade/competency-wrapper normalization. Qualification and full task equivalence are not assumed."
"M213169","213169","Arborist","6112.1","Arboriculturist","6112.1","Arboriculturist","false","inherited_test_proxy","close_match","2020_title_and_duty_review","Arborist is an alternate label of Arboriculturist; tree cultivation and health management fit. The narrower tree-surgery alternative is not chosen automatically."
"M213202","213202","Conservator of Forests Grade G41","2132.5","Forestry Adviser","2132.5","Forestry Adviser","false","partial_proxy","partial_proxy","curated_proxy_retained_with_fresh_2020_retrieval","Retained the previously curated duty-based ESCO assignment after fresh MASCO 2020 title/profile retrieval. No stronger unambiguous occupational identity was established. Prior reasoning: Forest resource conservation and advice; enforcement duties differ from an advisory occupation."
"M213203","213203","Agricultural Officer Grade G41","2132.2","Agronomist","2132.2","Agronomist","false","partial_proxy","partial_proxy","curated_proxy_retained_with_fresh_2020_retrieval","Retained the previously curated duty-based ESCO assignment after fresh MASCO 2020 title/profile retrieval. No stronger unambiguous occupational identity was established. Prior reasoning: Applied crop and agricultural advice; regulatory and public-officer duties are only partly represented."
"M213204","213204","Land Planning Officer Grade G41","2164.1","Land Planner","2164.1","Land Planner","false","close_match","close_match","curated_proxy_retained_with_fresh_2020_retrieval","Retained the previously curated duty-based ESCO assignment after fresh MASCO 2020 title/profile retrieval. No stronger unambiguous occupational identity was established. Prior reasoning: Land-use planning."
"M213205","213205","Agricultural Officer","2132.2","Agronomist","2132.2","Agronomist","false","partial_proxy","partial_proxy","curated_proxy_retained_with_fresh_2020_retrieval","Retained the previously curated duty-based ESCO assignment after fresh MASCO 2020 title/profile retrieval. No stronger unambiguous occupational identity was established. Prior reasoning: Applied crop and agricultural advice; regulatory and public-officer duties are only partly represented."
