company_name,bursa_code,bursa_sector,report_title_year,report_url,source_page,onsite_childcare,childcare_subsidy,childcare_subsidy_amount,nursing_room,priority_parking_expectant,maternity_leave,paternity_leave,parental_childcare_leave,extended_unpaid_care_leave,remote_wfh,hybrid,part_time,flexible_hours,return_to_work_program,career_comeback_partner,benefit_raw_text,qa_checked_by
Inari Amertron Berhad,0166,Technology,Inari Annual Report 2025,https://www.inari-amertron.com/wp-content/uploads/2025/10/FY2025-Inari-Annual-Report-2025.pdf,126,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Yes (duration not stated),Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Yes,Not disclosed,No,employees entitled to maternity leave | flexible working hours offered to standard-hours employees,Pending second-person QA
CelcomDigi Berhad,6947,Telecommunications & Media,CelcomDigi Integrated Annual Report 2025 - Part 1,https://celcomdigi.listedcompany.com/newsroom/CelcomDigi_AR25_Bursa_Part1.pdf,86 (PDF p.88),Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Yes (duration not stated),Yes (duration not stated),Yes,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,No,Parental Leave | Paternity | Maternity,Pending second-person QA
CTOS Digital Berhad,5301,Technology,CTOS Digital Integrated Annual Report 2025,https://www.insage.com.my/Upload/Docs/CTOS/CTOS%20Digital%20-%20Integrated%20Annual%20Report%202025.pdf.pdf,"120, 136 (PDF pp.121, 137)",Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Yes,Not disclosed,Not disclosed,Yes,Not disclosed,Not disclosed,Not disclosed,No,hybrid working practices | employees taking parental leave,Pending second-person QA
Unisem (M) Berhad,5005,Technology,Unisem Sustainability Report 2025,https://www.unisemgroup.com/wp-content/uploads/2026/03/Unisem-M-Berhad-IAR2025-Sustainability-Report-2025.pdf,179,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Yes,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,No,employees entitled to parental leave | employees took parental leave,Pending second-person QA
Greatech Technology Berhad,0208,Technology,Greatech Technology Berhad Annual Report 2025,https://www.insage.com.my/ir/cmn/downloading.aspx?sFileName=26118000067114&sReportType=AR,79-80,Not disclosed,Not disclosed,Not disclosed,Yes,Not disclosed,Yes (duration not stated),Yes (duration not stated),Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,No,private lactation rooms | paid maternity leave | paid paternity leave,Pending second-person QA
ViTrox Corporation Berhad,0097,Technology,ViTrox Sustainability Report 2025,https://www.vitrox.com/pdf/investor/annual-report/vitrox_sr2025.pdf,Talent Attraction and Retention - Flexible Work Arrangements; Parental Benefits,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Yes,Not disclosed,Yes,Not disclosed,Not disclosed,Yes,Not disclosed,No,Work From Home Special | Flexible Working Hours | parental leave,Pending second-person QA
Axiata Group Berhad,6888,Telecommunications & Media,Axiata Integrated Annual Report 2025,https://www.axiata.com/media/0dbo52nk/axiata_integrated_annual_report_2025.pdf,65,Not disclosed,Yes,"LKR 50,000 annually (Dialog Axiata)",Yes,Not disclosed,100 days (Dialog Axiata),5 days (Dialog Axiata),Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,No,Dialog Axiata childcare allowance | 100 days maternity | five days paternity | Boost maternal support facilities,Pending second-person QA
UWC Berhad,5292,Technology,UWC Annual Report 2025,https://www.uwcberhad.com.my/wp-content/uploads/2026/01/Annual-Report-2025.pdf,56,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Yes (paid; duration not stated),Yes (paid; duration not stated),Yes,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,No,all employees eligible for parental leave | paid maternity and paternity leave,Pending second-person QA
Genetec Technology Berhad,0104,Technology,Genetec Annual Report 2025,https://www.genetec.net/wp-content/uploads/2025/11/Genetec_Annual_Report_2025.pdf,33,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Yes,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,No,parental leave | employees took parental leave,Pending second-person QA
MISC Berhad,3816,Transportation & Logistics,MISC Sustainability Report 2025,https://www.insage.com.my/Upload/Docs/MISC/MISC%20Berhad%20-%20Sustainability%20Report%202025_latest.pdf,292-293,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Yes,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,No,employees took parental leave | employees returned to work after parental leave,Pending second-person QA
Deleum Berhad,5132,Energy,Deleum Berhad Annual Report 2025,https://deleum.com/images/annualReport/AGM2026/%5BWEBSITE%5D%20Deleum%20AR2025.pdf,85,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Yes (duration not stated),Yes (duration not stated),Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Yes,Not disclosed,No,flexitime | maternity leave | paternity leave,Pending second-person QA
PETRONAS Gas Berhad,6033,Utilities,PETRONAS Gas Berhad Sustainability Report 2025,https://www.petronas.com/pgb/integrated-report-2025/assets/pdf/PGB%20Sustainability%20Report%202025.pdf,113,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Yes,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,No,parental leave,Pending second-person QA
Yinson Holdings Berhad,7293,Energy,Yinson Integrated Annual Report 2026,https://ar.yinson.com/2026/document/full-integrated-annual-report-2026.pdf,"95, 317 (PDF pp.91, 313)",Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Yes,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,No,parental leave,Pending second-person QA
Salcon Berhad,8567,Utilities,Salcon Integrated Annual Report 2025,https://salcon.listedcompany.com/misc/iar2025.pdf,89,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Yes,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,No,parental leave policy | employees entitled to and took parental leave,Pending second-person QA
Solarvest Holdings Berhad,0215,Energy,Solarvest Annual Report 2025,https://solarvest.com/wp-content/uploads/2025/07/Solarvest-Annual-Report-2025.pdf,124,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Yes,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,No,employees entitled to parental leave | employees used parental leave,Pending second-person QA
Ranhill Utilities Berhad,5272,Utilities,Ranhill Sustainability Report 2025,https://www.insage.com.my/Upload/Docs/RANHILL/Ranhill%20Sustainability%20Report%202025.pdf,60,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,98 days,7 days,Yes,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,No,98 days maternity leave | seven days paternity leave | parental leave policy,Pending second-person QA
Samaiden Group Berhad,0223,Energy,Samaiden Annual Report 2025,https://www.insage.com.my/Upload/Docs/SAMAIDEN/Samaiden-Annual%20Report%202025.pdf,70-71,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Yes,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Yes,Not disclosed,No,paid parental leave | staggered-hours programme with three schedule options,Pending second-person QA
YTL Power International Berhad,6742,Utilities,YTL Group Sustainability Report 2025 (group-wide source),https://www.ytl.com/wp-content/uploads/sites/5/2025/10/YTLGroup_SR_2025.pdf,76,Not disclosed,Not disclosed,Not disclosed,Yes,Not disclosed,Yes (duration not stated),Yes (duration not stated),Not disclosed,Not disclosed,Yes,Yes,Not disclosed,Yes,Not disclosed,No,"Mother's Room | maternity | paternity | selected business units: hybrid, remote work and flexible hours",Pending second-person QA
PETRONAS Chemicals Group Berhad,5183,Industrial Products & Services,Sustainability Performance Data (official current web source; accessed 2026-09-10),https://www.petronas.com/pcg/sustainability/sustainability-performance-data,Web - GRI 401-3 Parental leave,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Yes,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,No,employees taken parental leave | employees returned to work after parental leave,Pending second-person QA
Fraser & Neave Holdings Bhd,3689,Consumer Products & Services,Fraser & Neave Holdings Bhd Annual Report 2025,https://www.fn.com.my/wp-content/uploads/2025/12/FNHB-AR25.pdf,151,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Yes,Not disclosed,No,flexible working hours,Pending second-person QA
Nestle (Malaysia) Berhad,4707,Consumer Products & Services,Working at Nestle | Careers (official secondary source; accessed 2026-09-10),https://www.nestle.com.my/jobs/working-at-nestle,Web - Benefits: Hybrid Working Opportunities; Parenthood Benefits,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,98 days (right to extend up to 180 days; group-wide policy),Not disclosed,Yes,Not disclosed,Not disclosed,Yes,Not disclosed,Not disclosed,Not disclosed,No,Hybrid Working Opportunities | at least 14 weeks paid maternity leave | right to extend leave up to 6 months | fathers and adoptive parents,Pending second-person QA
Berjaya Food Berhad,5196,Consumer Products & Services,Berjaya Food Berhad Annual Report 2025,https://www.berjaya.com/pdf/bfood/annual-reports/bfood25.pdf,57 (PDF p.59),Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Yes (enhanced; duration not stated),Yes (enhanced; duration not stated),Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,No,enhanced maternity leave | enhanced paternity leave,Pending second-person QA
British American Tobacco (Malaysia) Berhad,4162,Consumer Products & Services,BAT Malaysia Annual Report 2025,https://www.batmalaysia.com/content/dam/endmarkets/my/en/download/investors-and-reporting/reporting/BAT_Malaysia_AR2025.pdf,83-86,Not disclosed,Not disclosed,Not disclosed,Yes,Yes,Yes (duration not stated),Yes (duration not stated),Yes,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,No,enhanced parental leave | nursing rooms | priority parking for expectant mothers | maternity | paternity,Pending second-person QA
Ajinomoto (Malaysia) Berhad,2658,Consumer Products & Services,Ajinomoto Annual Report 2025,https://www.ajinomoto.com.my/sites/default/files/content/annual-report/2025-07/ajinomoto-2025-annual-report.pdf,169,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Yes,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,No,parental leave prioritised as part of the talent strategy,Pending second-person QA
PPB Group Berhad,4065,Consumer Products & Services,PPB Sustainability Report 2025,https://www.ppbgroup.com/wp-content/uploads/ppb-sustainability-report-2025.pdf,42,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Yes,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,No,female and male employees took parental leave,Pending second-person QA
Kawan Food Berhad,7216,Consumer Products & Services,Kawan Food Annual Report 2025,https://kawanfood.com/wp-content/uploads/2026/05/Bursa-Kawan-Food-Berhad-ANNUAL-REPORT-2025.pdf,38,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Yes (duration not stated),Yes (duration not stated),Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,No,maternity leave | paternity leave,Pending second-person QA
PETRONAS Dagangan Berhad,5681,Consumer Products & Services,PETRONAS Integrated Report 2025 (group-wide source),https://www.petronas.com/sites/default/files/uploads/PIR%202025/PETRONAS%20Integrated%20Report%202025.pdf,People - employee benefits,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,98 days (Malaysia employees),5 working days (Malaysia employees),Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,No,98 days maternity leave | five working days paternity leave,Pending second-person QA
QL Resources Berhad,7084,Consumer Products & Services,QL Resources Annual Report 2026,https://ql.listedcompany.com/misc/FlippingBook_PDF_Publisher/Publications/HTML/QL_2026/72-73/,70,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Yes,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,No,employees who took parental leave,Pending second-person QA
Sime Darby Berhad,4197,Consumer Products & Services,Sime Darby Berhad Integrated Report 2025,https://www.sime.com/wp-content/uploads/2025/11/Sime-IR25_Website_Single.pdf,75 (PDF p.78),Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Yes,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,No,revised parental leave benefits in Malaysia,Pending second-person QA
KPJ Healthcare Berhad,5878,Health Care,KPJ Healthcare Berhad Sustainability Report 2025,https://kpj.listedcompany.com/newsroom/260428_KPJ_SR_2025_Part_2_20260428.pdf,139,Not disclosed,Not disclosed,Not disclosed,Yes,Not disclosed,98 days,Not disclosed,Yes,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,No,designated lactation facilities | 98 days of paid maternity leave | seven days of paid parental leave | flexible working arrangements,Pending second-person QA
Duopharma Biotech Berhad,7148,Health Care,Duopharma Biotech Sustainability Report 2025,https://duopharmabiotech.com/downloads/esg/sustainability-reports/Duopharma-Biotech-2025-Sustainability-Report.pdf,"131-132, 139-140",Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Yes (duration not stated),Yes (duration not stated),Yes,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,No,maternity leave | paternal leave | employees taking parental leave,Pending second-person QA
Hartalega Holdings Berhad,5168,Health Care,Hartalega Integrated Annual Report 2026,https://www.insage.com.my/IR/cmn/trps02/ArTopGrid.aspx?Symbol=5168,Ensuring Employee Well-being and Wellness,Not disclosed,Not disclosed,Not disclosed,Yes,Yes,Yes (duration not stated),Yes (duration not stated),Not disclosed,Not disclosed,Yes,Not disclosed,Not disclosed,Not disclosed,Not disclosed,No,maternity | paternity | Work From Home | nursing rooms | designated parking bays for pregnant employees,Pending second-person QA
Hextar Healthcare Berhad,7803,Health Care,Hextar Healthcare - Our Sustainability (official current web source; accessed 2026-09-10),https://hextarhealthcare.com/our-sustainability/,Web - Employee benefits,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,98 days,7 days,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,No,98 days maternity leave | seven days paternity leave,Pending second-person QA
Top Glove Corporation Bhd,7113,Health Care,Top Glove Sustainability Report 2025 - Part 2,https://links.sgx.com/FileOpen/TopGlove_Sustainability_Report_2025_Part_2.ashx?App=Announcement&FileID=869381,66-67,Not disclosed,Not disclosed,Not disclosed,Yes,Not disclosed,Not disclosed,Not disclosed,Yes,Not disclosed,Yes,Not disclosed,Not disclosed,Yes,Not disclosed,No,nursing room | parental leave | flexible hours | caregivers: four work-from-home days yearly,Pending second-person QA
IHH Healthcare Berhad,5225,Health Care,IHH Healthcare Sustainability Report 2025 - Part 2,https://links.sgx.com/FileOpen/2_IHH%20Healthcare%20Berhad_Sustainability%20Report%202025_Part%202.ashx?App=Announcement&FileID=885523,55,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Yes,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,No,parental leave,Pending second-person QA
Kossan Rubber Industries Bhd,7153,Health Care,Kossan Sustainability Report 2025 (official current web source; accessed 2026-09-10),https://kossan.com.my/sustainability/,Web - employee performance indicators,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Yes,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,No,employees who took parental leave | return-to-work rate,Pending second-person QA
Pharmaniaga Berhad,7081,Health Care,Pharmaniaga Integrated Report 2025,https://pharmaniaga.com/wp-content/uploads/2026/04/Pharmaniaga-IR2025.pdf,138-139 (PDF p.71),Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Yes,Not disclosed,Not disclosed,Not disclosed,Not disclosed,No,work from home | flood recovery contingency plans,Pending second-person QA
Apex Healthcare Berhad,7090,Health Care,Apex Healthcare Annual Report 2024 (latest available official report),https://apexhealthcare.com.my/wp-content/uploads/2025/04/AnnualReport2024_HIRESFinal.pdf,92 (GRI 401-3),Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Yes,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,No,parental leave | GRI 401-3,Pending second-person QA
TMC Life Sciences Berhad,0101,Health Care,TMC Life Sciences Annual Report 2025,https://www.tmclife.com/wp-content/uploads/2025/09/TMCLSB-Annual-Report-2025.pdf,70-71 (PDF pp.72-73),Not disclosed,Yes,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Yes,Yes,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,No,"childcare fee subsidy | parental leave | Infant Care Leave: up to three months unpaid, extendable case-by-case",Pending second-person QA
Sunway Berhad,5211,Industrial Products & Services,Sunway Berhad Sustainability Report 2025,https://www.sunway.com.my/wp-content/uploads/sustainability-reports/Sunway-Berhad-Sustainability-Report-2025.pdf,95,Yes,Yes,"RM250/month/child (max RM3,000/year; up to 2 children)",Yes,Yes,Yes (duration not stated),Yes (duration not stated),Yes,Yes,Not disclosed,Not disclosed,Not disclosed,Yes,Not disclosed,Yes,staggered hours | Mother's rooms | RM250 per month per child | maternity | paternity | Parental/Childcare leave | No pay leave | Childcare Centre | designated car parks | expectant mothers,Pending second-person QA
IOI Properties Group Berhad,5249,Property,IOI Properties Sustainability Report 2025,https://www.ioiproperties.com.my/investors-media/reports,79,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,98 days,7 days,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,No,98 days maternity leave | seven days paternity leave,Pending second-person QA
AmanahRaya Real Estate Investment Trust,5127,Real Estate Investment Trusts,AmanahRaya REIT Integrated Annual Report 2025,https://www.insage.com.my/Upload/Docs/ARREIT/ARREIT-IAR%202025.pdf,106,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Yes,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,No,employees entitled to parental leave | employee took and returned from parental leave,Pending second-person QA
Eco World Development Group Berhad,8206,Property,Eco World Integrated Annual Report 2025,https://ecoworld.my/wp-content/uploads/2026/02/Eco-World-Integrated-Annual-Report-2025-1.pdf,64,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Yes (extended; duration not stated),Not disclosed,Yes,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Yes,Not disclosed,No,extended maternity leave | parental leave | childcare leave | child adoption leave | staggered working hours,Pending second-person QA
Gamuda Berhad,5398,Construction,Gamuda ESG Impact Report 2025,https://gamuda.listedcompany.com/misc/esg_impact_report_2025.pdf,"53, 154",Not disclosed,Yes,Not disclosed,Not disclosed,Not disclosed,98 days,Not disclosed,Yes,Not disclosed,Yes,Not disclosed,Not disclosed,Yes,Not disclosed,No,childcare subsidies | 98 days maternity leave | parental leave | work from home | staggered hours | flexitime,Pending second-person QA
Sime Darby Property Berhad,5288,Property,Sime Darby Property Sustainability Report 2025,https://www.simedarbyproperty.com/sites/default/files/2026-04/SDP%20SR2025.pdf,"110, 150",Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Yes,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Yes,Not disclosed,No,flexible working arrangements | eligible start time 7:30 a.m. to 9:30 a.m. | parental leave,Pending second-person QA
SP Setia Berhad,8664,Property,S P Setia Berhad Integrated Report 2025,https://spsetia.com/wp-content/uploads/2026/04/S_P_Setia_Berhad_IR2025.pdf,220-221 (PDF p.112),Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Not disclosed,Yes,Not disclosed,Not disclosed,Yes,Not disclosed,No,Flexible Working Hours | core hours 10.00 a.m. to 5.00 p.m. | Working From Home for specified circumstances or personal issues,Pending second-person QA
UEM Sunrise Berhad,5148,Property,UEM Sunrise Integrated Annual Report 2025,https://www.uem.com.my/media/vltfxjnd/uem-sunrise-iar2025.pdf,"154-155, 164-165",Not disclosed,Not disclosed,Not disclosed,Yes,Not disclosed,98 days,7 days,Yes,Not disclosed,Not disclosed,Yes,Not disclosed,Yes,Not disclosed,No,nursing rooms | 98 days maternity leave | seven days paternity leave | hybrid policy | flexible schedules | parental leave,Pending second-person QA
