role_id,role_title,masco_code,masco_code_printed,masco_unit_group_code,d11_esco_code,d11_esco_comparison_codes,chosen_esco_code,chosen_esco_title,chosen_esco_uri,chosen_esco_isco_group,mapping_status,mapping_method,mapping_authority,title_match_type,title_match_score,review_status,use_in_role_skills,production_ready,coverage_note
M121408,Technology Manager,121408,1214-08,1214,,,,,,,no_unique_exact_esco_title_match,No exact preferred or alternate ESCO title match in the same four-digit group.,official eMASCO title + official ESCO v1.2.1 labels,,,manual_mapping_required,False,False,Not used; the D1 parent ESCO code is not inherited to a distinct six-digit child role.
M121409,Chief Business Officer,121409,1214-09,1214,,,,,,,no_unique_exact_esco_title_match,No exact preferred or alternate ESCO title match in the same four-digit group.,official eMASCO title + official ESCO v1.2.1 labels,,,manual_mapping_required,False,False,Not used; the D1 parent ESCO code is not inherited to a distinct six-digit child role.
M122301,Research and Development Manager,122301,1223-01,1223,,,1223.2,research and development manager,http://data.europa.eu/esco/occupation/73ceb2f9-18e3-4cfe-9c06-e9fb31ece440,1223,unique_exact_preferred_title_same_isco_group,Unique normalised exact preferred-label match within the same four-digit group.,official eMASCO title + official ESCO v1.2.1 occupation label; project-derived crosswalk,exact_preferred_label,1.000000,pending_domain_owner_review,True,False,Provisionally usable; not an official published MASCO-to-ESCO crosswalk.
M131101,Forestry Manager,131101,1311-01,1311,,,1311.1,forester,http://data.europa.eu/esco/occupation/f04eaeff-52f5-4d52-93ad-6f846884827f,1311,unique_exact_alternate_title_same_isco_group,Unique normalised exact alternate-label match within the same four-digit group.,official eMASCO title + official ESCO v1.2.1 alternate label; project-derived crosswalk,exact_alternate_label,1.000000,pending_domain_owner_review,True,False,Provisionally usable; alternate-label match requires domain-owner review.
M131102,Agricultural Manager,131102,1311-02,1311,,,,,,,no_unique_exact_esco_title_match,No exact preferred or alternate ESCO title match in the same four-digit group.,official eMASCO title + official ESCO v1.2.1 labels,,,manual_mapping_required,False,False,Not used; the D1 parent ESCO code is not inherited to a distinct six-digit child role.
M131103,Veterinary Manager,131103,1311-03,1311,,,,,,,no_unique_exact_esco_title_match,No exact preferred or alternate ESCO title match in the same four-digit group.,official eMASCO title + official ESCO v1.2.1 labels,,,manual_mapping_required,False,False,Not used; the D1 parent ESCO code is not inherited to a distinct six-digit child role.
M131104,Field Manager (Grass),131104,1311-04,1311,,,,,,,no_unique_exact_esco_title_match,No exact preferred or alternate ESCO title match in the same four-digit group.,official eMASCO title + official ESCO v1.2.1 labels,,,manual_mapping_required,False,False,Not used; the D1 parent ESCO code is not inherited to a distinct six-digit child role.
M131201,Aquaculture and Fisheries Production/Operation Manager,131201,1312-01,1312,,,,,,,no_unique_exact_esco_title_match,No exact preferred or alternate ESCO title match in the same four-digit group.,official eMASCO title + official ESCO v1.2.1 labels,,,manual_mapping_required,False,False,Not used; the D1 parent ESCO code is not inherited to a distinct six-digit child role.
M132101,Manufacturing Manager,132101,1321-01,1321,,,1321.2,manufacturing manager,http://data.europa.eu/esco/occupation/6426ada1-4d8c-4612-99e3-91bc569805ee,1321,unique_exact_preferred_title_same_isco_group,Unique normalised exact preferred-label match within the same four-digit group.,official eMASCO title + official ESCO v1.2.1 occupation label; project-derived crosswalk,exact_preferred_label,1.000000,pending_domain_owner_review,True,False,Provisionally usable; not an official published MASCO-to-ESCO crosswalk.
M132102,Electrical Manager,132102,1321-02,1321,,,,,,,no_unique_exact_esco_title_match,No exact preferred or alternate ESCO title match in the same four-digit group.,official eMASCO title + official ESCO v1.2.1 labels,,,manual_mapping_required,False,False,Not used; the D1 parent ESCO code is not inherited to a distinct six-digit child role.
M132103,Energy Manager,132103,1321-03,1321,,,,,,,no_unique_exact_esco_title_match,No exact preferred or alternate ESCO title match in the same four-digit group.,official eMASCO title + official ESCO v1.2.1 labels,,,manual_mapping_required,False,False,Not used; the D1 parent ESCO code is not inherited to a distinct six-digit child role.
M132104,Production Manager (Manufacturing),132104,1321-04,1321,,,,,,,no_unique_exact_esco_title_match,No exact preferred or alternate ESCO title match in the same four-digit group.,official eMASCO title + official ESCO v1.2.1 labels,,,manual_mapping_required,False,False,Not used; the D1 parent ESCO code is not inherited to a distinct six-digit child role.
M132105,Ship Hull Manager,132105,1321-05,1321,,,,,,,no_unique_exact_esco_title_match,No exact preferred or alternate ESCO title match in the same four-digit group.,official eMASCO title + official ESCO v1.2.1 labels,,,manual_mapping_required,False,False,Not used; the D1 parent ESCO code is not inherited to a distinct six-digit child role.
M132106,Mechanical Manager,132106,1321-06,1321,,,,,,,no_unique_exact_esco_title_match,No exact preferred or alternate ESCO title match in the same four-digit group.,official eMASCO title + official ESCO v1.2.1 labels,,,manual_mapping_required,False,False,Not used; the D1 parent ESCO code is not inherited to a distinct six-digit child role.
M132107,Welding Manager,132107,1321-07,1321,,,,,,,no_unique_exact_esco_title_match,No exact preferred or alternate ESCO title match in the same four-digit group.,official eMASCO title + official ESCO v1.2.1 labels,,,manual_mapping_required,False,False,Not used; the D1 parent ESCO code is not inherited to a distinct six-digit child role.
M132108,Oil Mill Manager,132108,1321-08,1321,,,,,,,no_unique_exact_esco_title_match,No exact preferred or alternate ESCO title match in the same four-digit group.,official eMASCO title + official ESCO v1.2.1 labels,,,manual_mapping_required,False,False,Not used; the D1 parent ESCO code is not inherited to a distinct six-digit child role.
M132109,Manager (Halal Food Manufacturing),132109,1321-09,1321,,,,,,,no_unique_exact_esco_title_match,No exact preferred or alternate ESCO title match in the same four-digit group.,official eMASCO title + official ESCO v1.2.1 labels,,,manual_mapping_required,False,False,Not used; the D1 parent ESCO code is not inherited to a distinct six-digit child role.
M132111,Power Generation Plant Manager,132111,1321-11,1321,,,,,,,no_unique_exact_esco_title_match,No exact preferred or alternate ESCO title match in the same four-digit group.,official eMASCO title + official ESCO v1.2.1 labels,,,manual_mapping_required,False,False,Not used; the D1 parent ESCO code is not inherited to a distinct six-digit child role.
M132201,Production and Operation Manager (Mine),132201,1322-01,1322,,,,,,,no_unique_exact_esco_title_match,No exact preferred or alternate ESCO title match in the same four-digit group.,official eMASCO title + official ESCO v1.2.1 labels,,,manual_mapping_required,False,False,Not used; the D1 parent ESCO code is not inherited to a distinct six-digit child role.
M132202,Production and Operation Manager (Oil and Gas Extraction),132202,1322-02,1322,,,,,,,no_unique_exact_esco_title_match,No exact preferred or alternate ESCO title match in the same four-digit group.,official eMASCO title + official ESCO v1.2.1 labels,,,manual_mapping_required,False,False,Not used; the D1 parent ESCO code is not inherited to a distinct six-digit child role.
M132203,Offshore Installation Manager,132203,1322-03,1322,,,,,,,no_unique_exact_esco_title_match,No exact preferred or alternate ESCO title match in the same four-digit group.,official eMASCO title + official ESCO v1.2.1 labels,,,manual_mapping_required,False,False,Not used; the D1 parent ESCO code is not inherited to a distinct six-digit child role.
M132205,Metallurgy Manager,132205,1322-05,1322,,,,,,,no_unique_exact_esco_title_match,No exact preferred or alternate ESCO title match in the same four-digit group.,official eMASCO title + official ESCO v1.2.1 labels,,,manual_mapping_required,False,False,Not used; the D1 parent ESCO code is not inherited to a distinct six-digit child role.
M132301,Construction Manager,132301,1323-01,1323,,,1323.1,construction manager,http://data.europa.eu/esco/occupation/faed05c0-c1d1-4e34-b575-0dea96459e56,1323,unique_exact_preferred_title_same_isco_group,Unique normalised exact preferred-label match within the same four-digit group.,official eMASCO title + official ESCO v1.2.1 occupation label; project-derived crosswalk,exact_preferred_label,1.000000,pending_domain_owner_review,True,False,Provisionally usable; not an official published MASCO-to-ESCO crosswalk.
M132302,Building and Architecture Manager,132302,1323-02,1323,,,,,,,no_unique_exact_esco_title_match,No exact preferred or alternate ESCO title match in the same four-digit group.,official eMASCO title + official ESCO v1.2.1 labels,,,manual_mapping_required,False,False,Not used; the D1 parent ESCO code is not inherited to a distinct six-digit child role.
M132303,Land Surveyor Manager,132303,1323-03,1323,,,,,,,no_unique_exact_esco_title_match,No exact preferred or alternate ESCO title match in the same four-digit group.,official eMASCO title + official ESCO v1.2.1 labels,,,manual_mapping_required,False,False,Not used; the D1 parent ESCO code is not inherited to a distinct six-digit child role.
M132401,Railway Station Master,132401,1324-01,1324,,,,,,,no_unique_exact_esco_title_match,No exact preferred or alternate ESCO title match in the same four-digit group.,official eMASCO title + official ESCO v1.2.1 labels,,,manual_mapping_required,False,False,Not used; the D1 parent ESCO code is not inherited to a distinct six-digit child role.
M132402,Transport Manager,132402,1324-02,1324,,,,,,,no_unique_exact_esco_title_match,No exact preferred or alternate ESCO title match in the same four-digit group.,official eMASCO title + official ESCO v1.2.1 labels,,,manual_mapping_required,False,False,Not used; the D1 parent ESCO code is not inherited to a distinct six-digit child role.
M132404,Port/Shipping Operations Manager,132404,1324-04,1324,,,,,,,no_unique_exact_esco_title_match,No exact preferred or alternate ESCO title match in the same four-digit group.,official eMASCO title + official ESCO v1.2.1 labels,,,manual_mapping_required,False,False,Not used; the D1 parent ESCO code is not inherited to a distinct six-digit child role.
M132405,Halal Logistics Operation Manager,132405,1324-05,1324,,,,,,,no_unique_exact_esco_title_match,No exact preferred or alternate ESCO title match in the same four-digit group.,official eMASCO title + official ESCO v1.2.1 labels,,,manual_mapping_required,False,False,Not used; the D1 parent ESCO code is not inherited to a distinct six-digit child role.
M151101,Chief Information Officer/Chief Data Officer/Chief Information Security Officer,151101,1511-01,1511,,,,,,,no_unique_exact_esco_title_match,No exact preferred or alternate ESCO title match in the same four-digit group.,official eMASCO title + official ESCO v1.2.1 labels,,,manual_mapping_required,False,False,Not used; the D1 parent ESCO code is not inherited to a distinct six-digit child role.
M151102,Information Systems Manager,151102,1511-02,1511,,,,,,,no_unique_exact_esco_title_match,No exact preferred or alternate ESCO title match in the same four-digit group.,official eMASCO title + official ESCO v1.2.1 labels,,,manual_mapping_required,False,False,Not used; the D1 parent ESCO code is not inherited to a distinct six-digit child role.
M151103,Village Community Center Manager (Information Technology),151103,1511-03,1511,,,,,,,no_unique_exact_esco_title_match,No exact preferred or alternate ESCO title match in the same four-digit group.,official eMASCO title + official ESCO v1.2.1 labels,,,manual_mapping_required,False,False,Not used; the D1 parent ESCO code is not inherited to a distinct six-digit child role.
M151104,Internet Service Provider,151104,1511-04,1511,,,,,,,no_unique_exact_esco_title_match,No exact preferred or alternate ESCO title match in the same four-digit group.,official eMASCO title + official ESCO v1.2.1 labels,,,manual_mapping_required,False,False,Not used; the D1 parent ESCO code is not inherited to a distinct six-digit child role.
M151105,Network/Communications/Infrastructure Manager,151105,1511-05,1511,,,,,,,no_unique_exact_esco_title_match,No exact preferred or alternate ESCO title match in the same four-digit group.,official eMASCO title + official ESCO v1.2.1 labels,,,manual_mapping_required,False,False,Not used; the D1 parent ESCO code is not inherited to a distinct six-digit child role.
M151106,Audio Visual Manager,151106,1511-06,1511,,,,,,,no_unique_exact_esco_title_match,No exact preferred or alternate ESCO title match in the same four-digit group.,official eMASCO title + official ESCO v1.2.1 labels,,,manual_mapping_required,False,False,Not used; the D1 parent ESCO code is not inherited to a distinct six-digit child role.
M151107,Information Technology Project Manager,151107,1511-07,1511,,,,,,,no_unique_exact_esco_title_match,No exact preferred or alternate ESCO title match in the same four-digit group.,official eMASCO title + official ESCO v1.2.1 labels,,,manual_mapping_required,False,False,Not used; the D1 parent ESCO code is not inherited to a distinct six-digit child role.
M151108,Information Technology Programme Manager,151108,1511-08,1511,,,,,,,no_unique_exact_esco_title_match,No exact preferred or alternate ESCO title match in the same four-digit group.,official eMASCO title + official ESCO v1.2.1 labels,,,manual_mapping_required,False,False,Not used; the D1 parent ESCO code is not inherited to a distinct six-digit child role.
M151109,Bioinformatics Manager,151109,1511-09,1511,,,,,,,no_unique_exact_esco_title_match,No exact preferred or alternate ESCO title match in the same four-digit group.,official eMASCO title + official ESCO v1.2.1 labels,,,manual_mapping_required,False,False,Not used; the D1 parent ESCO code is not inherited to a distinct six-digit child role.
M151110,Creative Multimedia Manager,151110,1511-10,1511,,,,,,,no_unique_exact_esco_title_match,No exact preferred or alternate ESCO title match in the same four-digit group.,official eMASCO title + official ESCO v1.2.1 labels,,,manual_mapping_required,False,False,Not used; the D1 parent ESCO code is not inherited to a distinct six-digit child role.
M151111,Network Operations Manager,151111,1511-11,1511,,,,,,,no_unique_exact_esco_title_match,No exact preferred or alternate ESCO title match in the same four-digit group.,official eMASCO title + official ESCO v1.2.1 labels,,,manual_mapping_required,False,False,Not used; the D1 parent ESCO code is not inherited to a distinct six-digit child role.
M151112,Information Technology Business Development Manager,151112,1511-12,1511,,,,,,,no_unique_exact_esco_title_match,No exact preferred or alternate ESCO title match in the same four-digit group.,official eMASCO title + official ESCO v1.2.1 labels,,,manual_mapping_required,False,False,Not used; the D1 parent ESCO code is not inherited to a distinct six-digit child role.
M151113,Software and Applications Manager,151113,1511-13,1511,,,,,,,no_unique_exact_esco_title_match,No exact preferred or alternate ESCO title match in the same four-digit group.,official eMASCO title + official ESCO v1.2.1 labels,,,manual_mapping_required,False,False,Not used; the D1 parent ESCO code is not inherited to a distinct six-digit child role.
M151118,Data Manager,151118,1511-18,1511,,,,,,,no_unique_exact_esco_title_match,No exact preferred or alternate ESCO title match in the same four-digit group.,official eMASCO title + official ESCO v1.2.1 labels,,,manual_mapping_required,False,False,Not used; the D1 parent ESCO code is not inherited to a distinct six-digit child role.
M161201,Phytonutrients Manager,161201,1612-01,1612,,,,,,,no_unique_exact_esco_title_match,No exact preferred or alternate ESCO title match in the same four-digit group.,official eMASCO title + official ESCO v1.2.1 labels,,,manual_mapping_required,False,False,Not used; the D1 parent ESCO code is not inherited to a distinct six-digit child role.
M161202,Health Educator,161202,1612-02,1612,,,,,,,no_unique_exact_esco_title_match,No exact preferred or alternate ESCO title match in the same four-digit group.,official eMASCO title + official ESCO v1.2.1 labels,,,manual_mapping_required,False,False,Not used; the D1 parent ESCO code is not inherited to a distinct six-digit child role.
M161203,Chief Nurse,161203,1612-03,1612,,,,,,,no_unique_exact_esco_title_match,No exact preferred or alternate ESCO title match in the same four-digit group.,official eMASCO title + official ESCO v1.2.1 labels,,,manual_mapping_required,False,False,Not used; the D1 parent ESCO code is not inherited to a distinct six-digit child role.
M211101,Physicist,211101,2111-01,2111,,,2111.3,physicist,http://data.europa.eu/esco/occupation/7f2761eb-4edc-48ad-9fbf-eed0a0db9a21,2111,unique_exact_preferred_title_same_isco_group,Unique normalised exact preferred-label match within the same four-digit group.,official eMASCO title + official ESCO v1.2.1 occupation label; project-derived crosswalk,exact_preferred_label,1.000000,pending_domain_owner_review,True,False,Provisionally usable; not an official published MASCO-to-ESCO crosswalk.
M211102,Astronaut,211102,2111-02,2111,,,,,,,no_unique_exact_esco_title_match,No exact preferred or alternate ESCO title match in the same four-digit group.,official eMASCO title + official ESCO v1.2.1 labels,,,manual_mapping_required,False,False,Not used; the D1 parent ESCO code is not inherited to a distinct six-digit child role.
M211201,Meteorologist,211201,2112-01,2112,,,2112.1,meteorologist,http://data.europa.eu/esco/occupation/1c862e14-80f8-4aa8-8f1c-fd2ca95b63ad,2112,unique_exact_preferred_title_same_isco_group,Unique normalised exact preferred-label match within the same four-digit group.,official eMASCO title + official ESCO v1.2.1 occupation label; project-derived crosswalk,exact_preferred_label,1.000000,pending_domain_owner_review,True,False,Provisionally usable; not an official published MASCO-to-ESCO crosswalk.
M211202,Meteorologist (Environmental),211202,2112-02,2112,,,,,,,no_unique_exact_esco_title_match,No exact preferred or alternate ESCO title match in the same four-digit group.,official eMASCO title + official ESCO v1.2.1 labels,,,manual_mapping_required,False,False,Not used; the D1 parent ESCO code is not inherited to a distinct six-digit child role.
M211203,Meteorologist (Numerical Weather Prediction Modelling),211203,2112-03,2112,,,,,,,no_unique_exact_esco_title_match,No exact preferred or alternate ESCO title match in the same four-digit group.,official eMASCO title + official ESCO v1.2.1 labels,,,manual_mapping_required,False,False,Not used; the D1 parent ESCO code is not inherited to a distinct six-digit child role.
M211204,Meteorological Officer Grade C9,211204,2112-04,2112,,,,,,,no_unique_exact_esco_title_match,No exact preferred or alternate ESCO title match in the same four-digit group.,official eMASCO title + official ESCO v1.2.1 labels,,,manual_mapping_required,False,False,Not used; the D1 parent ESCO code is not inherited to a distinct six-digit child role.
M211301,Chemist,211301,2113-01,2113,,,2113.1,chemist,http://data.europa.eu/esco/occupation/0d93706d-32fd-4de3-aa08-be1003e325da,2113,unique_exact_preferred_title_same_isco_group,Unique normalised exact preferred-label match within the same four-digit group.,official eMASCO title + official ESCO v1.2.1 occupation label; project-derived crosswalk,exact_preferred_label,1.000000,pending_domain_owner_review,True,False,Provisionally usable; not an official published MASCO-to-ESCO crosswalk.
M211401,Geologist,211401,2114-01,2114,,,2114.1,geologist,http://data.europa.eu/esco/occupation/c6196b21-20f9-4608-83fb-6f143afc740d,2114,unique_exact_preferred_title_same_isco_group,Unique normalised exact preferred-label match within the same four-digit group.,official eMASCO title + official ESCO v1.2.1 occupation label; project-derived crosswalk,exact_preferred_label,1.000000,pending_domain_owner_review,True,False,Provisionally usable; not an official published MASCO-to-ESCO crosswalk.
M211402,Hydrologist,211402,2114-02,2114,,,2114.1.5,hydrologist,http://data.europa.eu/esco/occupation/55167849-82cf-484e-b818-fa702a4e69e9,2114,unique_exact_preferred_title_same_isco_group,Unique normalised exact preferred-label match within the same four-digit group.,official eMASCO title + official ESCO v1.2.1 occupation label; project-derived crosswalk,exact_preferred_label,1.000000,pending_domain_owner_review,True,False,Provisionally usable; not an official published MASCO-to-ESCO crosswalk.
M211403,Geoscientist,211403,2114-03,2114,,,,,,,no_unique_exact_esco_title_match,No exact preferred or alternate ESCO title match in the same four-digit group.,official eMASCO title + official ESCO v1.2.1 labels,,,manual_mapping_required,False,False,Not used; the D1 parent ESCO code is not inherited to a distinct six-digit child role.
M212101,Mathematician,212101,2121-01,2121,,,,,,,no_unique_exact_esco_title_match,No exact preferred or alternate ESCO title match in the same four-digit group.,official eMASCO title + official ESCO v1.2.1 labels,,,manual_mapping_required,False,False,Not used; the D1 parent ESCO code is not inherited to a distinct six-digit child role.
M212102,Statistician,212102,2121-02,2121,,,,,,,no_unique_exact_esco_title_match,No exact preferred or alternate ESCO title match in the same four-digit group.,official eMASCO title + official ESCO v1.2.1 labels,,,manual_mapping_required,False,False,Not used; the D1 parent ESCO code is not inherited to a distinct six-digit child role.
M212103,Actuary,212103,2121-03,2121,,,,,,,no_unique_exact_esco_title_match,No exact preferred or alternate ESCO title match in the same four-digit group.,official eMASCO title + official ESCO v1.2.1 labels,,,manual_mapping_required,False,False,Not used; the D1 parent ESCO code is not inherited to a distinct six-digit child role.
M212104,Metrologist,212104,2121-04,2121,,,,,,,no_unique_exact_esco_title_match,No exact preferred or alternate ESCO title match in the same four-digit group.,official eMASCO title + official ESCO v1.2.1 labels,,,manual_mapping_required,False,False,Not used; the D1 parent ESCO code is not inherited to a distinct six-digit child role.
M212105,Statistician Grade E9,212105,2121-05,2121,,,,,,,no_unique_exact_esco_title_match,No exact preferred or alternate ESCO title match in the same four-digit group.,official eMASCO title + official ESCO v1.2.1 labels,,,manual_mapping_required,False,False,Not used; the D1 parent ESCO code is not inherited to a distinct six-digit child role.
M213101,Microbiologist,213101,2131-01,2131,,,2131.4.10,microbiologist,http://data.europa.eu/esco/occupation/a7a74a05-3dd0-46c6-99af-92df8042520c,2131,unique_exact_preferred_title_same_isco_group,Unique normalised exact preferred-label match within the same four-digit group.,official eMASCO title + official ESCO v1.2.1 occupation label; project-derived crosswalk,exact_preferred_label,1.000000,pending_domain_owner_review,True,False,Provisionally usable; not an official published MASCO-to-ESCO crosswalk.
M213102,Serologist,213102,2131-02,2131,,,,,,,no_unique_exact_esco_title_match,No exact preferred or alternate ESCO title match in the same four-digit group.,official eMASCO title + official ESCO v1.2.1 labels,,,manual_mapping_required,False,False,Not used; the D1 parent ESCO code is not inherited to a distinct six-digit child role.
M213103,Biologist,213103,2131-03,2131,,,2131.4,biologist,http://data.europa.eu/esco/occupation/eee68e13-8248-43bb-a9fb-959832a6c217,2131,unique_exact_preferred_title_same_isco_group,Unique normalised exact preferred-label match within the same four-digit group.,official eMASCO title + official ESCO v1.2.1 occupation label; project-derived crosswalk,exact_preferred_label,1.000000,pending_domain_owner_review,True,False,Provisionally usable; not an official published MASCO-to-ESCO crosswalk.
M213104,Cytologist,213104,2131-04,2131,,,,,,,no_unique_exact_esco_title_match,No exact preferred or alternate ESCO title match in the same four-digit group.,official eMASCO title + official ESCO v1.2.1 labels,,,manual_mapping_required,False,False,Not used; the D1 parent ESCO code is not inherited to a distinct six-digit child role.
M213105,Botanist,213105,2131-05,2131,,,2131.4.6,botanist,http://data.europa.eu/esco/occupation/55f001af-fa48-4c0c-a7e5-fc69babe3d45,2131,unique_exact_preferred_title_same_isco_group,Unique normalised exact preferred-label match within the same four-digit group.,official eMASCO title + official ESCO v1.2.1 occupation label; project-derived crosswalk,exact_preferred_label,1.000000,pending_domain_owner_review,True,False,Provisionally usable; not an official published MASCO-to-ESCO crosswalk.
M213106,Ecologist,213106,2131-06,2131,,,,,,,no_unique_exact_esco_title_match,No exact preferred or alternate ESCO title match in the same four-digit group.,official eMASCO title + official ESCO v1.2.1 labels,,,manual_mapping_required,False,False,Not used; the D1 parent ESCO code is not inherited to a distinct six-digit child role.
M213107,Wildlife Officer Grade G9,213107,2131-07,2131,,,,,,,no_unique_exact_esco_title_match,No exact preferred or alternate ESCO title match in the same four-digit group.,official eMASCO title + official ESCO v1.2.1 labels,,,manual_mapping_required,False,False,Not used; the D1 parent ESCO code is not inherited to a distinct six-digit child role.
M213201,Agricultural Officer,213201,2132-01,2132,,,,,,,no_unique_exact_esco_title_match,No exact preferred or alternate ESCO title match in the same four-digit group.,official eMASCO title + official ESCO v1.2.1 labels,,,manual_mapping_required,False,False,Not used; the D1 parent ESCO code is not inherited to a distinct six-digit child role.
M213202,Farm Demonstrator,213202,2132-02,2132,,,,,,,no_unique_exact_esco_title_match,No exact preferred or alternate ESCO title match in the same four-digit group.,official eMASCO title + official ESCO v1.2.1 labels,,,manual_mapping_required,False,False,Not used; the D1 parent ESCO code is not inherited to a distinct six-digit child role.
M213203,Forestry Officer,213203,2132-03,2132,,,,,,,no_unique_exact_esco_title_match,No exact preferred or alternate ESCO title match in the same four-digit group.,official eMASCO title + official ESCO v1.2.1 labels,,,manual_mapping_required,False,False,Not used; the D1 parent ESCO code is not inherited to a distinct six-digit child role.
M213204,Aquaculture Executive,213204,2132-04,2132,,,,,,,no_unique_exact_esco_title_match,No exact preferred or alternate ESCO title match in the same four-digit group.,official eMASCO title + official ESCO v1.2.1 labels,,,manual_mapping_required,False,False,Not used; the D1 parent ESCO code is not inherited to a distinct six-digit child role.
M213206,Conservator of Forests Grade G9,213206,2132-06,2132,,,,,,,no_unique_exact_esco_title_match,No exact preferred or alternate ESCO title match in the same four-digit group.,official eMASCO title + official ESCO v1.2.1 labels,,,manual_mapping_required,False,False,Not used; the D1 parent ESCO code is not inherited to a distinct six-digit child role.
M213207,Agricultural Officer Grade G9,213207,2132-07,2132,,,,,,,no_unique_exact_esco_title_match,No exact preferred or alternate ESCO title match in the same four-digit group.,official eMASCO title + official ESCO v1.2.1 labels,,,manual_mapping_required,False,False,Not used; the D1 parent ESCO code is not inherited to a distinct six-digit child role.
M213208,Land Planning Officer Grade G9,213208,2132-08,2132,,,,,,,no_unique_exact_esco_title_match,No exact preferred or alternate ESCO title match in the same four-digit group.,official eMASCO title + official ESCO v1.2.1 labels,,,manual_mapping_required,False,False,Not used; the D1 parent ESCO code is not inherited to a distinct six-digit child role.
M213301,Agronomist,213301,2133-01,2133,,,,,,,no_unique_exact_esco_title_match,No exact preferred or alternate ESCO title match in the same four-digit group.,official eMASCO title + official ESCO v1.2.1 labels,,,manual_mapping_required,False,False,Not used; the D1 parent ESCO code is not inherited to a distinct six-digit child role.
