resume_id,split,role_id,target_esco_code,target_esco_title,previous_esco_codes,text,feature_definition
134815,train,R09,4120.1,secretary,2341.1;2341.1,primary school teacher ; primary school teacher ; education Bachelor,prior standardized ESCO occupation titles plus education level; latest role excluded
135330,train,R04,2431.10.3,marketing assistant,2431.10.3;2635.3.18;5152.2.1;5223.4,marketing assistant ; migrant social worker ; domestic butler ; sales assistant ; education Bachelor,prior standardized ESCO occupation titles plus education level; latest role excluded
136259,test,R04,2431.10.4,online marketer,2432.4,intercultural communication consultant ; education Master,prior standardized ESCO occupation titles plus education level; latest role excluded
136911,train,R01,2512.4,software developer,2642.1.5,copy editor ; education Master,prior standardized ESCO occupation titles plus education level; latest role excluded
137103,test,R10,2359.9,further education teacher,5223.4;3343.5,sales assistant ; scopist ; education Bachelor,prior standardized ESCO occupation titles plus education level; latest role excluded
137125,val,R10,2359.2,academic support officer,3343.1,administrative assistant ; education Master,prior standardized ESCO occupation titles plus education level; latest role excluded
137276,train,R06,2166.9,graphic designer,2166.7,digital media designer ; education No tertiary qualification,prior standardized ESCO occupation titles plus education level; latest role excluded
138449,train,R07,4311.2,sales support assistant,5223.5,sales processor ; education Bachelor,prior standardized ESCO occupation titles plus education level; latest role excluded
138627,train,R06,2166.7,digital media designer,2149.16,test engineer ; education Secondary school,prior standardized ESCO occupation titles plus education level; latest role excluded
140119,train,R08,4222.1,customer contact centre information clerk,9411.2,quick service restaurant crew member ; education Secondary school,prior standardized ESCO occupation titles plus education level; latest role excluded
1405,test,R03,2423.6,recruitment consultant,5230.1,cashier ; education No tertiary qualification,prior standardized ESCO occupation titles plus education level; latest role excluded
140563,train,R04,2431.10.3,marketing assistant,5131.1,restaurant host/restaurant hostess ; education Master,prior standardized ESCO occupation titles plus education level; latest role excluded
140962,train,R06,2166.9,graphic designer,3332.1;7215.4,event assistant ; tent installer ; education Master,prior standardized ESCO occupation titles plus education level; latest role excluded
141100,train,R04,2431.10.4,online marketer,5242.1;2431.10.3,promotions demonstrator ; marketing assistant ; education Master,prior standardized ESCO occupation titles plus education level; latest role excluded
141132,train,R06,2166.9,graphic designer,2166.9,graphic designer ; education Bachelor,prior standardized ESCO occupation titles plus education level; latest role excluded
141438,train,R07,4311.2,sales support assistant,4225.1,customer service representative ; education Secondary school,prior standardized ESCO occupation titles plus education level; latest role excluded
144841,train,R03,2423.6,recruitment consultant,4416.1;2635.3.15;3412.4.12,human resources assistant ; homelessness worker ; residential home older adult care worker ; education Bachelor,prior standardized ESCO occupation titles plus education level; latest role excluded
145034,train,R03,2423.6,recruitment consultant,3343.1.6,project support officer ; education No tertiary qualification,prior standardized ESCO occupation titles plus education level; latest role excluded
146217,test,R09,4120.1,secretary,3433.3,taxidermist ; education Master,prior standardized ESCO occupation titles plus education level; latest role excluded
147300,train,R10,2359.6,e-learning architect,2149.2,application engineer ; education Master,prior standardized ESCO occupation titles plus education level; latest role excluded
147415,val,R07,4311.2,sales support assistant,1120.3,chief executive officer ; education Secondary school,prior standardized ESCO occupation titles plus education level; latest role excluded
147446,train,R10,2359.11,learning mentor,2310.1.41;2166.14,university research assistant ; stop-motion animator ; education Master,prior standardized ESCO occupation titles plus education level; latest role excluded
149221,train,R06,2166.10,illustrator,2166.10,illustrator ; education Master,prior standardized ESCO occupation titles plus education level; latest role excluded
14998,train,R09,4120.1,secretary,5223.4,sales assistant ; education Master,prior standardized ESCO occupation titles plus education level; latest role excluded
150308,train,R04,2431.10,marketing consultant,5131.2,waiter/waitress ; education Master,prior standardized ESCO occupation titles plus education level; latest role excluded
15098,train,R07,4311.2,sales support assistant,2512.5,user interface developer ; education Master,prior standardized ESCO occupation titles plus education level; latest role excluded
15303,val,R07,4311.1,billing clerk,5223.6,shop assistant ; education Secondary school,prior standardized ESCO occupation titles plus education level; latest role excluded
153193,train,R04,2431.14,pricing specialist,4225.1,customer service representative ; education No tertiary qualification,prior standardized ESCO occupation titles plus education level; latest role excluded
154463,train,R04,2431.10.3,marketing assistant,5131.2;5131.1,waiter/waitress ; restaurant host/restaurant hostess ; education Bachelor,prior standardized ESCO occupation titles plus education level; latest role excluded
155020,train,R05,2643.4,linguist,3422.3.1,football coach ; education Bachelor,prior standardized ESCO occupation titles plus education level; latest role excluded
156030,train,R04,2431.6,client relations manager,2421.1,business analyst ; education Master,prior standardized ESCO occupation titles plus education level; latest role excluded
156639,test,R10,2359.14,tutor,2264.2,physiotherapist ; education Master,prior standardized ESCO occupation titles plus education level; latest role excluded
158718,train,R04,2431.10.4,online marketer,5111.2.3,train attendant ; education Bachelor,prior standardized ESCO occupation titles plus education level; latest role excluded
159651,train,R06,2166.4,desktop publisher,3343.2,editorial assistant ; education Bachelor,prior standardized ESCO occupation titles plus education level; latest role excluded
161003,train,R08,4222.1,customer contact centre information clerk,4222.1.1,live chat operator ; education Bachelor,prior standardized ESCO occupation titles plus education level; latest role excluded
161466,val,R09,4120.1,secretary,9321.2,hand packer ; education Bachelor,prior standardized ESCO occupation titles plus education level; latest role excluded
161761,train,R07,4311.2,sales support assistant,4311.2,sales support assistant ; education Secondary school,prior standardized ESCO occupation titles plus education level; latest role excluded
161852,train,R08,4222.1,customer contact centre information clerk,3343.1,administrative assistant ; education No tertiary qualification,prior standardized ESCO occupation titles plus education level; latest role excluded
162677,train,R04,2431.10.3,marketing assistant,9333.8.1,warehouse order picker ; education Master,prior standardized ESCO occupation titles plus education level; latest role excluded
163798,train,R03,2423.3,human resources officer,3343.4,management assistant ; education Master,prior standardized ESCO occupation titles plus education level; latest role excluded
164153,train,R01,2512.5,user interface developer,2432.5,online community manager ; education No tertiary qualification,prior standardized ESCO occupation titles plus education level; latest role excluded
165610,train,R04,2431.4,brand manager,2330.1.18;2431.10.4,science teacher secondary school ; online marketer ; education Master,prior standardized ESCO occupation titles plus education level; latest role excluded
166040,train,R08,4222.1,customer contact centre information clerk,3343.1;3412.4.13,administrative assistant ; residential home young people care worker ; education Bachelor,prior standardized ESCO occupation titles plus education level; latest role excluded
166179,train,R03,2423.6,recruitment consultant,5142.4;4416.1,make-up and hair designer ; human resources assistant ; education No tertiary qualification,prior standardized ESCO occupation titles plus education level; latest role excluded
166181,train,R05,2643.2,interpreter,2643.2;2643.6,interpreter ; translator ; education Master,prior standardized ESCO occupation titles plus education level; latest role excluded
166503,train,R07,4311.2,sales support assistant,5223.5,sales processor ; education Secondary school,prior standardized ESCO occupation titles plus education level; latest role excluded
16761,val,R01,2512.5,user interface developer,2512.4,software developer ; education Bachelor,prior standardized ESCO occupation titles plus education level; latest role excluded
168785,train,R04,2431.10.3,marketing assistant,5131.2,waiter/waitress ; education Bachelor,prior standardized ESCO occupation titles plus education level; latest role excluded
169593,train,R05,2643.6,translator,2310.1.17;2641.4.2;2652.3.2,fine arts instructor ; script writer ; singer ; education Master,prior standardized ESCO occupation titles plus education level; latest role excluded
169938,train,R05,2643.2,interpreter,5223.4,sales assistant ; education Master,prior standardized ESCO occupation titles plus education level; latest role excluded
170846,train,R02,2511.10,ICT consultant,2511.10,ICT consultant ; education Bachelor,prior standardized ESCO occupation titles plus education level; latest role excluded
171313,val,R07,4311.1,billing clerk,2413.2,middle office analyst ; education Secondary school,prior standardized ESCO occupation titles plus education level; latest role excluded
171693,train,R04,2431.10.4,online marketer,2431.10;2513.4,marketing consultant ; web content manager ; education Bachelor,prior standardized ESCO occupation titles plus education level; latest role excluded
172097,train,R07,4311.2,sales support assistant,1213.5,1213.5 ; education No tertiary qualification,prior standardized ESCO occupation titles plus education level; latest role excluded
172580,train,R07,4311.2,sales support assistant,5162.1,companion ; education No tertiary qualification,prior standardized ESCO occupation titles plus education level; latest role excluded
173166,train,R02,2511.13,ICT system analyst,1330.6;2521.4,ICT product manager ; database integrator ; education Master,prior standardized ESCO occupation titles plus education level; latest role excluded
173224,train,R04,2431.6,client relations manager,4225.1,customer service representative ; education Master,prior standardized ESCO occupation titles plus education level; latest role excluded
17489,train,R06,2166.3,animator,2166.3,animator ; education Bachelor,prior standardized ESCO occupation titles plus education level; latest role excluded
175303,train,R10,2359.8,educational counsellor,2320.1.13,food service vocational teacher ; education Bachelor,prior standardized ESCO occupation titles plus education level; latest role excluded
176479,train,R06,2166.4,desktop publisher,2641.4,writer ; education Secondary school,prior standardized ESCO occupation titles plus education level; latest role excluded
177872,train,R08,4222.1,customer contact centre information clerk,2431.14,pricing specialist ; education Secondary school,prior standardized ESCO occupation titles plus education level; latest role excluded
178045,train,R03,2423.2,employment and vocational integration consultant,3431.1,photographer ; education Master,prior standardized ESCO occupation titles plus education level; latest role excluded
178605,train,R02,2511.3,data analyst,3343.1,administrative assistant ; education Master,prior standardized ESCO occupation titles plus education level; latest role excluded
179253,train,R09,4120.1,secretary,4412.2,postman/postwoman ; education Bachelor,prior standardized ESCO occupation titles plus education level; latest role excluded
181777,train,R07,4311.1,billing clerk,3343.1,administrative assistant ; education Secondary school,prior standardized ESCO occupation titles plus education level; latest role excluded
181988,train,R03,2423.6,recruitment consultant,3343.1,administrative assistant ; education Secondary school,prior standardized ESCO occupation titles plus education level; latest role excluded
182418,train,R09,4120.1,secretary,1439.1;1420.3,call centre manager ; sales account manager ; education Bachelor,prior standardized ESCO occupation titles plus education level; latest role excluded
186642,train,R09,4120.1,secretary,5132.1.2;3343.1;3412.3;3343.1,cocktail bartender ; administrative assistant ; life coach ; administrative assistant ; education Bachelor,prior standardized ESCO occupation titles plus education level; latest role excluded
187273,train,R07,4311.2,sales support assistant,4120.1,secretary ; education Bachelor,prior standardized ESCO occupation titles plus education level; latest role excluded
188048,train,R05,2643.2,interpreter,2354.1;2353.1;2330.1.12,music teacher ; language school teacher ; modern languages teacher secondary school ; education Bachelor,prior standardized ESCO occupation titles plus education level; latest role excluded
188052,train,R09,4120.1,secretary,2353.1,language school teacher ; education Bachelor,prior standardized ESCO occupation titles plus education level; latest role excluded
188307,train,R07,4311.2,sales support assistant,4311.2,sales support assistant ; education Secondary school,prior standardized ESCO occupation titles plus education level; latest role excluded
188855,train,R09,4120.1,secretary,1345.1,headteacher ; education Secondary school,prior standardized ESCO occupation titles plus education level; latest role excluded
188999,test,R07,4311.2,sales support assistant,2431.10.3,marketing assistant ; education Bachelor,prior standardized ESCO occupation titles plus education level; latest role excluded
190146,train,R08,4222.1,customer contact centre information clerk,5246.1,food service worker ; education Secondary school,prior standardized ESCO occupation titles plus education level; latest role excluded
190372,train,R05,2643.2,interpreter,3435.25,theatre technician ; education Bachelor,prior standardized ESCO occupation titles plus education level; latest role excluded
191187,train,R07,4311.2,sales support assistant,3343.1.7,supply chain assistant ; education Bachelor,prior standardized ESCO occupation titles plus education level; latest role excluded
192646,train,R08,4222.1,customer contact centre information clerk,2351.3;3412.6;2359.8;3343.1,education inspector ; volunteer mentor ; educational counsellor ; administrative assistant ; education Bachelor,prior standardized ESCO occupation titles plus education level; latest role excluded
1934,train,R06,2166.9,graphic designer,3252.2,medical records manager ; education Bachelor,prior standardized ESCO occupation titles plus education level; latest role excluded
193684,train,R04,2431.10.4,online marketer,7512.1,baker ; education Master,prior standardized ESCO occupation titles plus education level; latest role excluded
194289,train,R04,2431.5,business developer,2431.5,business developer ; education Master,prior standardized ESCO occupation titles plus education level; latest role excluded
194801,test,R09,4120.1,secretary,4211.2,post office counter clerk ; education Bachelor,prior standardized ESCO occupation titles plus education level; latest role excluded
195662,val,R04,2431.10.4,online marketer,1221.3.2.1,sales manager ; education Master,prior standardized ESCO occupation titles plus education level; latest role excluded
196926,train,R07,4311.2,sales support assistant,3343.1.7,supply chain assistant ; education Bachelor,prior standardized ESCO occupation titles plus education level; latest role excluded
197538,train,R07,4311.1,billing clerk,5223.7.34;1420.3,telecommunications equipment specialised seller ; sales account manager ; education Secondary school,prior standardized ESCO occupation titles plus education level; latest role excluded
198110,test,R07,4311.2,sales support assistant,4419.2;2431.10.3;3343.1,foreign language correspondence clerk ; marketing assistant ; administrative assistant ; education Master,prior standardized ESCO occupation titles plus education level; latest role excluded
200184,train,R09,4120.1,secretary,5223.4,sales assistant ; education Bachelor,prior standardized ESCO occupation titles plus education level; latest role excluded
20216,train,R04,2431.13,network marketer,2522.1.2;3422.4.7,system configurator ; tennis coach ; education Bachelor,prior standardized ESCO occupation titles plus education level; latest role excluded
202175,train,R07,4311.1,billing clerk,3313.1,accounting assistant ; education Bachelor,prior standardized ESCO occupation titles plus education level; latest role excluded
202236,train,R04,2431.10.4,online marketer,1221.3.2,marketing manager ; education Master,prior standardized ESCO occupation titles plus education level; latest role excluded
202299,train,R09,4120.1,secretary,3341.7,office manager ; education Bachelor,prior standardized ESCO occupation titles plus education level; latest role excluded
202733,train,R07,4311.2,sales support assistant,3343.1,administrative assistant ; education Bachelor,prior standardized ESCO occupation titles plus education level; latest role excluded
203608,train,R04,2431.10.2,eBusiness manager,3324.4.11,wholesale merchant in electronic and telecommunications equipment and parts ; education Bachelor,prior standardized ESCO occupation titles plus education level; latest role excluded
204196,train,R04,2431.10.4,online marketer,2166.7,digital media designer ; education Master,prior standardized ESCO occupation titles plus education level; latest role excluded
204527,train,R10,2359.4,assessor of prior learning,2511.1,computer scientist ; education Bachelor,prior standardized ESCO occupation titles plus education level; latest role excluded
204675,train,R04,2431.14,pricing specialist,4312.2.1,financial markets back office administrator ; education Secondary school,prior standardized ESCO occupation titles plus education level; latest role excluded
205459,train,R04,2431.5,business developer,5221.1,retail entrepreneur ; education Bachelor,prior standardized ESCO occupation titles plus education level; latest role excluded
205654,test,R09,4120.1,secretary,1212.1,employee volunteering programme coordinator ; education Secondary school,prior standardized ESCO occupation titles plus education level; latest role excluded
207135,val,R10,2359.11,learning mentor,2264.2;2264.2;3412.4.8,physiotherapist ; physiotherapist ; mental health support worker ; education Bachelor,prior standardized ESCO occupation titles plus education level; latest role excluded
207198,train,R04,2431.6,client relations manager,9333.8.1,warehouse order picker ; education Bachelor,prior standardized ESCO occupation titles plus education level; latest role excluded
207255,train,R05,2643.2,interpreter,2511.14;2643.2,ICT system architect ; interpreter ; education No tertiary qualification,prior standardized ESCO occupation titles plus education level; latest role excluded
207395,train,R06,2166.7,digital media designer,2166.9,graphic designer ; education Bachelor,prior standardized ESCO occupation titles plus education level; latest role excluded
207944,train,R05,2643.4.1,lawyer linguist,2330.1,secondary school teacher ; education Master,prior standardized ESCO occupation titles plus education level; latest role excluded
207981,train,R04,2431.13,network marketer,2423.6;3412.3;2421.2;4120.1;2423.6,recruitment consultant ; life coach ; business consultant ; secretary ; recruitment consultant ; education No tertiary qualification,prior standardized ESCO occupation titles plus education level; latest role excluded
209723,train,R06,2166.7,digital media designer,2431.10.4,online marketer ; education Master,prior standardized ESCO occupation titles plus education level; latest role excluded
211801,train,R06,2166.9,graphic designer,2166.9,graphic designer ; education No tertiary qualification,prior standardized ESCO occupation titles plus education level; latest role excluded
211818,train,R02,2511.10,ICT consultant,1420.4.12,computer software and multimedia shop manager ; education No tertiary qualification,prior standardized ESCO occupation titles plus education level; latest role excluded
212908,train,R06,2166.9,graphic designer,2166.9,graphic designer ; education No tertiary qualification,prior standardized ESCO occupation titles plus education level; latest role excluded
214160,train,R04,2431.6,client relations manager,4416.1,human resources assistant ; education Bachelor,prior standardized ESCO occupation titles plus education level; latest role excluded
216558,train,R10,2359.7,e-learning developer,4224.1.1,camping ground operative ; education Master,prior standardized ESCO occupation titles plus education level; latest role excluded
216936,train,R10,2359.2,academic support officer,3343.1,administrative assistant ; education Bachelor,prior standardized ESCO occupation titles plus education level; latest role excluded
217045,train,R10,2359.14,tutor,3313.1,accounting assistant ; education Bachelor,prior standardized ESCO occupation titles plus education level; latest role excluded
217777,val,R08,4222.1,customer contact centre information clerk,9412.1,kitchen assistant ; education Secondary school,prior standardized ESCO occupation titles plus education level; latest role excluded
218748,train,R06,2166.9,graphic designer,2431.13,network marketer ; education Bachelor,prior standardized ESCO occupation titles plus education level; latest role excluded
218789,train,R07,4311.1,billing clerk,2411.1.7,financial auditor ; education Secondary school,prior standardized ESCO occupation titles plus education level; latest role excluded
220382,train,R07,4311.2,sales support assistant,3331.2.2,shipping agent ; education Secondary school,prior standardized ESCO occupation titles plus education level; latest role excluded
221343,train,R06,2166.3,animator,2166.14;2652.3,stop-motion animator ; musician ; education Master,prior standardized ESCO occupation titles plus education level; latest role excluded
221550,train,R04,2431.10.4,online marketer,4221.4,tourist information officer ; education Bachelor,prior standardized ESCO occupation titles plus education level; latest role excluded
221669,train,R04,2431.10,marketing consultant,1211.1.3,budget manager ; education Master,prior standardized ESCO occupation titles plus education level; latest role excluded
222871,train,R04,2431.10.4,online marketer,2431.10.4,online marketer ; education Bachelor,prior standardized ESCO occupation titles plus education level; latest role excluded
224425,test,R03,2423.4,labour relations officer,2422.12.15,social services policy officer ; education Secondary school,prior standardized ESCO occupation titles plus education level; latest role excluded
224974,train,R06,2166.9,graphic designer,2166.9,graphic designer ; education Master,prior standardized ESCO occupation titles plus education level; latest role excluded
225784,train,R04,2431.6,client relations manager,5132.1.1;5223.6,barista ; shop assistant ; education Secondary school,prior standardized ESCO occupation titles plus education level; latest role excluded
226180,train,R04,2431.6,client relations manager,5311.1.2;2166.3,babysitter ; animator ; education Bachelor,prior standardized ESCO occupation titles plus education level; latest role excluded
227822,train,R07,4311.1,billing clerk,3331.2.1.4,import export specialist in chemical products ; education Bachelor,prior standardized ESCO occupation titles plus education level; latest role excluded
228609,train,R02,2511.19,user experience analyst,2513.3,user interface designer ; education No tertiary qualification,prior standardized ESCO occupation titles plus education level; latest role excluded
230666,train,R10,2359.2,academic support officer,5131.2,waiter/waitress ; education Bachelor,prior standardized ESCO occupation titles plus education level; latest role excluded
230911,val,R04,2431.5,business developer,2433.4,sales engineer ; education Bachelor,prior standardized ESCO occupation titles plus education level; latest role excluded
230989,train,R08,4222.1,customer contact centre information clerk,5132.1,bartender ; education Bachelor,prior standardized ESCO occupation titles plus education level; latest role excluded
231182,test,R09,4120.1,secretary,1341.1,child care coordinator ; education Bachelor,prior standardized ESCO occupation titles plus education level; latest role excluded
232152,train,R03,2423.3,human resources officer,3412.3;3423.2.2;2359.13,life coach ; personal trainer ; public speaking coach ; education Bachelor,prior standardized ESCO occupation titles plus education level; latest role excluded
232179,train,R06,2166.1,3D modeller,5223.4,sales assistant ; education Bachelor,prior standardized ESCO occupation titles plus education level; latest role excluded
233881,train,R10,2359.11,learning mentor,9411.2;2351.1,quick service restaurant crew member ; curriculum administrator ; education Master,prior standardized ESCO occupation titles plus education level; latest role excluded
234961,train,R04,2431.10.4,online marketer,2166.9,graphic designer ; education Master,prior standardized ESCO occupation titles plus education level; latest role excluded
235788,test,R10,2359.4,assessor of prior learning,3423.1;3343.2,activity leader ; editorial assistant ; education Master,prior standardized ESCO occupation titles plus education level; latest role excluded
237753,test,R04,2431.10,marketing consultant,1420.3,sales account manager ; education Bachelor,prior standardized ESCO occupation titles plus education level; latest role excluded
238327,train,R07,4311.1,billing clerk,1212.2;2423.6,human resources manager ; recruitment consultant ; education No tertiary qualification,prior standardized ESCO occupation titles plus education level; latest role excluded
238911,train,R06,2166.9,graphic designer,2513.4,web content manager ; education No tertiary qualification,prior standardized ESCO occupation titles plus education level; latest role excluded
239299,train,R09,4120.1,secretary,1111.6;1111.4,secretary of state ; mayor ; education Master,prior standardized ESCO occupation titles plus education level; latest role excluded
239762,val,R06,2166.6,digital games designer,2651.6,drawing artist ; education Master,prior standardized ESCO occupation titles plus education level; latest role excluded
240101,train,R06,2166.9,graphic designer,5311.1.3;3343.1,child day care worker ; administrative assistant ; education No tertiary qualification,prior standardized ESCO occupation titles plus education level; latest role excluded
241223,train,R07,4311.2,sales support assistant,1420.3,sales account manager ; education Bachelor,prior standardized ESCO occupation titles plus education level; latest role excluded
242010,train,R04,2431.13,network marketer,5223.4,sales assistant ; education Bachelor,prior standardized ESCO occupation titles plus education level; latest role excluded
242951,val,R05,2643.2,interpreter,3343.1,administrative assistant ; education Secondary school,prior standardized ESCO occupation titles plus education level; latest role excluded
