company_name,symbol,bursa_code,target_sector,actual_sector,selection_basis,evidence_status,report_title_year,report_url,source_page,family_support_pillar,parental_leave_pillar,flexible_work_pillar,returnship_pillar,pillar_count,benefit_raw_text,qa_checked_by,selection_source_url,sector_rank,source_id,local_report_file,source_download_status,source_sha256,source_pdf_pages
Gabungan AQRS Berhad,GBGAQRS,5226,Construction,Construction,Same-sector report-qualified replacement,Report evidence completed,Gabungan AQRS Annual Report 2024,https://cdn1.i3investor.com/my/files/st88k/5226_GBGAQRS/annual/2024-06-30/5226_GBGAQRS_AnnualReport_2024-06-30_GBGAQRSAR2024Part2_1755750368.pdf,83,Not disclosed,Yes,Not disclosed,Not disclosed,1,The report provides parental-leave data.,Codex report review 2026-09-20,https://cdn1.i3investor.com/my/files/st88k/5226_GBGAQRS/annual/2024-06-30/5226_GBGAQRS_AnnualReport_2024-06-30_GBGAQRSAR2024Part2_1755750368.pdf,11,SRC-011,SOURCE_FILES/SRC_011_Gabungan_AQRS_Berhad.pdf,downloaded,320ec3e1ce8260f29fc3a730b265c7b416da6d52ed18bcc94ec7c96921bf215c,58
Kumpulan Kitacon Berhad,KITACON,5310,Construction,Construction,Same-sector report-qualified replacement,Report evidence completed,Kitacon Annual Report 2023,https://cdn1.i3investor.com/my/files/st88k/5310_KITACON/annual/2023-12-31/5310_KITACON_AnnualReport_2023-12-31_Kitacon_AR2023FINAL_1318121755.pdf,42-44,Not disclosed,Yes,Not disclosed,Not disclosed,1,Maternity and paternity leave are listed among employee benefits.,Codex report review 2026-09-20,https://cdn1.i3investor.com/my/files/st88k/5310_KITACON/annual/2023-12-31/5310_KITACON_AnnualReport_2023-12-31_Kitacon_AR2023FINAL_1318121755.pdf,12,SRC-012,SOURCE_FILES/SRC_012_Kumpulan_Kitacon_Berhad.pdf,downloaded,8a6216ce4ed5dbde4c2048891a85b34a5565e472c301e7467e2dd51f8c1ebd99,140
Ahmad Zaki Resources Berhad,AZRB,7078,Construction,Construction,Same-sector report-qualified replacement,Report evidence completed,AZRB Annual Report 2023,https://newsfile.futunn.com/public/NN-PersistNoticeAttachment/7781/20231103/MYX/MYX_3397967_229563.pdf,59,Not disclosed,Yes,Not disclosed,Not disclosed,1,The benefits schedule includes parental leave.,Codex report review 2026-09-20,https://newsfile.futunn.com/public/NN-PersistNoticeAttachment/7781/20231103/MYX/MYX_3397967_229563.pdf,13,SRC-013,SOURCE_FILES/SRC_013_Ahmad_Zaki_Resources_Berhad.pdf,downloaded,a352eda893b2a75f6f3772bc464f4249ce066fde247effe80e11ef64270bd12d,70
MGB Berhad,MGB,7595,Construction,Construction,Same-sector report-qualified replacement,Report evidence completed,MGB Annual Report 2024,https://newsfile.futunn.com/public/NN-PersistNoticeAttachment/7781/20250430/MYX/MYX_3549240_242061.pdf,105,Not disclosed,Yes,Not disclosed,Not disclosed,1,The report discloses parental leave.,Codex report review 2026-09-20,https://newsfile.futunn.com/public/NN-PersistNoticeAttachment/7781/20250430/MYX/MYX_3549240_242061.pdf,14,SRC-014,SOURCE_FILES/SRC_014_MGB_Berhad.pdf,downloaded,0692a0f610d8dddb9e95afd7ce762c3db6794d0474bba8789ac68ae53bf3783f,180
FBG Holdings Berhad,FBG,7047,Construction,Construction,Same-sector report-qualified replacement,Report evidence completed,FBG Holdings Annual Report 2024,https://www.insage.com.my/ir/cmn/downloading.aspx?sFileName=25303000064511&sReportType=AR,74,Not disclosed,Yes,Not disclosed,Not disclosed,1,The employee-leave disclosure includes maternity and paternity leave.,Codex report review 2026-09-20,https://www.insage.com.my/ir/cmn/downloading.aspx?sFileName=25303000064511&sReportType=AR,15,SRC-015,SOURCE_FILES/SRC_015_FBG_Holdings_Berhad.pdf,downloaded,c15775a89b1fe0c677729e63fe239cfa224bd1af65f22102d0c6485af6c7bb34,271
Widad Group Berhad,WIDAD,0162,Construction,Construction,Same-sector report-qualified replacement,Report evidence completed,Widad Annual Report 2024,https://newsfile.futunn.com/public/NN-PersistNoticeAttachment/7781/20250430/MYX/MYX_3550303_242741.pdf,66,Not disclosed,Yes,Not disclosed,Not disclosed,1,Parental leave is disclosed as an employee benefit.,Codex report review 2026-09-20,https://newsfile.futunn.com/public/NN-PersistNoticeAttachment/7781/20250430/MYX/MYX_3550303_242741.pdf,16,SRC-016,SOURCE_FILES/SRC_016_Widad_Group_Berhad.pdf,downloaded,791b1e94cd3587c5a1696fa120decb12d3046d533d18442a354fb736421e52b3,201
Nestcon Berhad,NESTCON,0235,Construction,Construction,Same-sector report-qualified replacement,Report evidence completed,Nestcon Annual Report 2025,https://www.insage.com.my/Upload/Docs/NESTCON/Nestcon%20Annual%20Report%202025.pdf,50,Not disclosed,Yes,Yes,Not disclosed,2,The report discloses parental leave and flexible working arrangements.,Codex report review 2026-09-20,https://www.insage.com.my/Upload/Docs/NESTCON/Nestcon%20Annual%20Report%202025.pdf,17,SRC-017,SOURCE_FILES/SRC_017_Nestcon_Berhad.pdf,downloaded,826518478c5e02923a18b5bd37ab236302ef5e8cc95d292bfc5a9b7f34b29fa4,176
Haily Group Berhad,HAILY,0237,Construction,Construction,Same-sector report-qualified replacement,Report evidence completed,Haily Annual Report 2024,https://haily.my/material/documents/5th-agm-docs/Haily%20Group%20Berhads%20Annual%20Report%202024%20%28Part%201%29.pdf,Sustainability Statement – Employee Management,Not disclosed,Yes,Not disclosed,Not disclosed,1,Maternity and paternity leave are included in the leave framework.,Codex report review 2026-09-20,https://haily.my/material/documents/5th-agm-docs/Haily%20Group%20Berhads%20Annual%20Report%202024%20%28Part%201%29.pdf,18,SRC-018,SOURCE_FILES/SRC_018_Haily_Group_Berhad.pdf,downloaded,ce5888f50d2403525215b2e440442d1a0d7e4b23334e6d207132cbe03a845ab5,89
Bina Darulaman Berhad,BDB,6173,Construction,Construction,Same-sector report-qualified replacement,Report evidence completed,BDB Annual Report 2023,https://bdb.com.my/wp-content/uploads/2024/06/BDB-AR2023-060624.pdf,129,Not disclosed,Yes,Not disclosed,Not disclosed,1,The report includes parental-leave disclosure.,Codex report review 2026-09-20,https://bdb.com.my/wp-content/uploads/2024/06/BDB-AR2023-060624.pdf,19,SRC-019,SOURCE_FILES/SRC_019_Bina_Darulaman_Berhad.pdf,downloaded,ad5d899eea5248137e61461dd7e47e779c3dd24af93fddffce7ffdc64fb1f602,264
HSS Engineers Berhad,HSSEB,0185,Construction,Construction,Same-sector report-qualified replacement,Report evidence completed,HSS Sustainability Report 2024,https://www.hssgroup.com.my/wp-content/uploads/2025/09/HSS-Sustainability-Report-2024.pdf,61,Not disclosed,Yes,Not disclosed,Not disclosed,1,Parental-leave participation and return data are reported.,Codex report review 2026-09-20,https://www.hssgroup.com.my/wp-content/uploads/2025/09/HSS-Sustainability-Report-2024.pdf,20,SRC-020,SOURCE_FILES/SRC_020_HSS_Engineers_Berhad.pdf,downloaded,3437abb295ecb01df82bcaaf34833a7f989fda3e6e21db2be14bf2860485fa4a,32
British American Tobacco (Malaysia) Berhad,BAT,4162,Consumer Products & Services,Consumer Products & Services,Existing report-qualified evidence,Report evidence completed,BAT Malaysia Annual Report 2025,https://www.batmalaysia.com/content/dam/endmarkets/my/en/download/investors-and-reporting/reporting/BAT_Malaysia_AR2025.pdf,83-86,Yes,Yes,Not disclosed,Not disclosed,2,enhanced parental leave | nursing rooms | priority parking for expectant mothers | maternity | paternity,Pending second-person QA,https://www.batmalaysia.com/content/dam/endmarkets/my/en/download/investors-and-reporting/reporting/BAT_Malaysia_AR2025.pdf,1,SRC-021,SOURCE_FILES/SRC_021_British_American_Tobacco_Malaysia_Berhad.pdf,downloaded,dcaf5ab0db1a338bd80a0d04ba7c07c21fd4c54175b07a622d06da4d51f0efdb,281
Ajinomoto (Malaysia) Berhad,AJI,2658,Consumer Products & Services,Consumer Products & Services,Existing report-qualified evidence,Report evidence completed,Ajinomoto Annual Report 2025,https://www.ajinomoto.com.my/sites/default/files/content/annual-report/2025-07/ajinomoto-2025-annual-report.pdf,169,Not disclosed,Yes,Not disclosed,Not disclosed,1,parental leave prioritised as part of the talent strategy,Pending second-person QA,https://www.ajinomoto.com.my/sites/default/files/content/annual-report/2025-07/ajinomoto-2025-annual-report.pdf,2,SRC-022,SOURCE_FILES/SRC_022_Ajinomoto_Malaysia_Berhad.pdf,downloaded,a0537dbba70370be446ac3bc2f34666e022caab95045fc1f6cae8d15008740fc,199
Berjaya Food Berhad,BJFOOD,5196,Consumer Products & Services,Consumer Products & Services,Existing report-qualified evidence,Report evidence completed,Berjaya Food Berhad Annual Report 2025,https://www.berjaya.com/pdf/bfood/annual-reports/bfood25.pdf,57 (PDF p.59),Not disclosed,Yes,Not disclosed,Not disclosed,1,enhanced maternity leave | enhanced paternity leave,Pending second-person QA,https://www.berjaya.com/pdf/bfood/annual-reports/bfood25.pdf,3,SRC-023,SOURCE_FILES/SRC_023_Berjaya_Food_Berhad.pdf,downloaded,4c19b3e78a0c9ac3351f725b6f37ef201c48512ea96c08b3fa9641adbfff676d,210
Fraser & Neave Holdings Bhd,F&N,3689,Consumer Products & Services,Consumer Products & Services,Existing report-qualified evidence,Report evidence completed,Fraser & Neave Holdings Bhd Annual Report 2025,https://www.fn.com.my/wp-content/uploads/2025/12/FNHB-AR25.pdf,151,Not disclosed,Not disclosed,Yes,Not disclosed,1,flexible working hours,Pending second-person QA,https://www.fn.com.my/wp-content/uploads/2025/12/FNHB-AR25.pdf,4,SRC-024,SOURCE_FILES/SRC_024_Fraser_Neave_Holdings_Bhd.pdf,downloaded,81a6ae793bf7f2ac09e5d2a1f7d8ffa74594004a4eabb13cd5cdc4089e6e8773,141
Kawan Food Berhad,KAWAN,7216,Consumer Products & Services,Consumer Products & Services,Existing report-qualified evidence,Report evidence completed,Kawan Food Annual Report 2025,https://kawanfood.com/wp-content/uploads/2026/05/Bursa-Kawan-Food-Berhad-ANNUAL-REPORT-2025.pdf,38,Not disclosed,Yes,Not disclosed,Not disclosed,1,maternity leave | paternity leave,Pending second-person QA,https://kawanfood.com/wp-content/uploads/2026/05/Bursa-Kawan-Food-Berhad-ANNUAL-REPORT-2025.pdf,5,SRC-025,SOURCE_FILES/SRC_025_Kawan_Food_Berhad.pdf,downloaded,312cad73023aacf9a69a4135957d6c5125f7469d0cee8bee73560e06e6e85e45,122
PETRONAS Dagangan Berhad,PETDAG,5681,Consumer Products & Services,Consumer Products & Services,Existing report-qualified evidence,Report evidence completed,PETRONAS Integrated Report 2025 (group-wide source),https://www.petronas.com/sites/default/files/uploads/PIR%202025/PETRONAS%20Integrated%20Report%202025.pdf,People - employee benefits,Not disclosed,Yes,Not disclosed,Not disclosed,1,98 days maternity leave | five working days paternity leave,Pending second-person QA,https://www.petronas.com/sites/default/files/uploads/PIR%202025/PETRONAS%20Integrated%20Report%202025.pdf,6,SRC-026,SOURCE_FILES/SRC_026_PETRONAS_Dagangan_Berhad.pdf,downloaded,a4758ac4ce5fab5d4aeb1456b881a53247a14acdc20c809f0463606caeb429d5,118
PPB Group Berhad,PPB,4065,Consumer Products & Services,Consumer Products & Services,Existing report-qualified evidence,Report evidence completed,PPB Sustainability Report 2025,https://www.ppbgroup.com/wp-content/uploads/ppb-sustainability-report-2025.pdf,42,Not disclosed,Yes,Not disclosed,Not disclosed,1,female and male employees took parental leave,Pending second-person QA,https://www.ppbgroup.com/wp-content/uploads/ppb-sustainability-report-2025.pdf,7,SRC-027,SOURCE_FILES/SRC_027_PPB_Group_Berhad.pdf,downloaded,a4d5c9394acb11933438058d73d5848fbe3f46063bceef15cbf060037efb1f05,39
QL Resources Berhad,QL,7084,Consumer Products & Services,Consumer Products & Services,Existing report-qualified evidence,Report evidence completed,QL Resources Annual Report 2026,https://ql.listedcompany.com/misc/FlippingBook_PDF_Publisher/Publications/HTML/QL_2026/72-73/,70,Not disclosed,Yes,Not disclosed,Not disclosed,1,employees who took parental leave,Pending second-person QA,https://ql.listedcompany.com/misc/FlippingBook_PDF_Publisher/Publications/HTML/QL_2026/72-73/,8,SRC-028,SOURCE_FILES/SRC_028_QL_Resources_Berhad.pdf,downloaded,cb104a13ae7de80d951ea1848985b9a86d4fc792a002c44588923a3edf407ca3,150
Sime Darby Berhad,SIME,4197,Consumer Products & Services,Consumer Products & Services,Existing report-qualified evidence,Report evidence completed,Sime Darby Berhad Integrated Report 2025,https://www.sime.com/wp-content/uploads/2025/11/Sime-IR25_Website_Single.pdf,75 (PDF p.78),Not disclosed,Yes,Not disclosed,Not disclosed,1,revised parental leave benefits in Malaysia,Pending second-person QA,https://www.sime.com/wp-content/uploads/2025/11/Sime-IR25_Website_Single.pdf,9,SRC-029,SOURCE_FILES/SRC_029_Sime_Darby_Berhad.pdf,downloaded,fde7bde47d2f932085059e778192065957378cd82d858cb7a68aca49b29d4546,317
MR D.I.Y. Group (M) Berhad,MRDIY,5296,Consumer Products & Services,Consumer Products & Services,New official-report finding,Report evidence completed,MR D.I.Y. Sustainability Report 2025,https://corporate.mrdiy.com/misc/sustainability/MRDIY-Sustainability_Report_2025.pdf,Benefits and Entitlements,Not disclosed,Yes,Not disclosed,Not disclosed,1,The FY2025 report discloses 98 days of maternity leave and seven days of paternity leave for full-time employees.,Codex report review 2026-09-20,https://corporate.mrdiy.com/misc/sustainability/MRDIY-Sustainability_Report_2025.pdf,10,SRC-030,SOURCE_FILES/SRC_030_MR_D_I_Y_Group_M_Berhad.pdf,downloaded,ba38bdea32427b5293d13df30986240e786d3698e2ce4ccb3afb51e222b3565f,87
Genting Berhad,GENTING,3182,Consumer Products & Services,Consumer Products & Services,New official-report finding,Report evidence completed,Genting Sustainability Report 2025,https://www.genting.com/sustainability-reports,Enhancing Workplace Practices,Not disclosed,Not disclosed,Yes,Not disclosed,1,The report states that flexible work arrangements are implemented where appropriate to manage workload and excessive-hours risk.,Codex report review 2026-09-20,https://www.genting.com/sustainability-reports,11,SRC-031,SOURCE_FILES/SRC_031_Genting_Berhad.pdf,downloaded,82d72e8aff031fb46d0c4fe61bf5a6c02fa85afa1333522bad1acf6af38fd925,9
Nestlé (Malaysia) Berhad,NESTLE,4707,Consumer Products & Services,Consumer Products & Services,New official-report finding,Report evidence completed,Nestlé in Society Report 2024,https://www.nestle.com.my/sites/g/files/pydnoa251/files/2025-04/NESTLE-NIS2024.pdf,Employee Compensation and Benefits,Not disclosed,Yes,Not disclosed,Not disclosed,1,"Nestlé Malaysia reports enhanced parental leave above statutory requirements; 189 employees took parental leave in 2024, with a 100% return-to-work rate and 95% retention rate.",Codex report review 2026-09-20,https://www.nestle.com.my/sites/g/files/pydnoa251/files/2025-04/NESTLE-NIS2024.pdf,12,SRC-032,SOURCE_FILES/SRC_032_Nestl_Malaysia_Berhad.pdf,downloaded,68baeda55099b4b99f49be2ab18b0e2ea722fdaf12dcc6052098c25c3b71e725,73
Genting Malaysia Berhad,GENM,4715,Consumer Products & Services,Consumer Products & Services,New official-report finding,Report evidence completed,Genting Malaysia Sustainability Report 2025,https://www.gentingmalaysia.com/wp-content/uploads/2026/04/GENM-Sustainability-Report-2025.pdf,82-83,Not disclosed,Yes,Yes,Not disclosed,2,"Genting UK offers flexible working arrangements and hybrid work for office roles, together with enhanced maternity and paternity pay.",Codex report review 2026-09-20,https://www.gentingmalaysia.com/wp-content/uploads/2026/04/GENM-Sustainability-Report-2025.pdf,13,SRC-033,SOURCE_FILES/SRC_033_Genting_Malaysia_Berhad.pdf,downloaded,9eacd925812aaa61549f2ac3830b04f24950e21321b785372de0a3f68de1caf9,145
Hong Leong Industries Berhad,HLIND,3301,Consumer Products & Services,Consumer Products & Services,New official-report finding,Report evidence completed,Hong Leong Industries Annual Report 2025,https://newsfile.futunn.com/public/NN-PersistNoticeAttachment/7781/20251006/MYX/MYX_3596525_246230.pdf,61,Not disclosed,Yes,Not disclosed,Not disclosed,1,"The FY2025 report lists parental leave among the Group's employee benefits, alongside compassionate and examination leave.",Codex report review 2026-09-20,https://newsfile.futunn.com/public/NN-PersistNoticeAttachment/7781/20251006/MYX/MYX_3596525_246230.pdf,14,SRC-034,SOURCE_FILES/SRC_034_Hong_Leong_Industries_Berhad.pdf,downloaded,9967204eb18493dc369bf0e6a37c85edd2642d1e1b8216cd97ae111b0c910e5f,194
MSM Malaysia Holdings Berhad,MSM,5202,Consumer Products & Services,Consumer Products & Services,Same-sector official-report replacement pool,Report evidence completed,MSM Annual Integrated Report 2025,https://www.insage.com.my/BursaNews/Attachment/202604/20260430/MSM-AN20260430A1-2.pdf,98,Not disclosed,Yes,Yes,Not disclosed,2,MSM reports flexible hours and hybrid work arrangements; 79 employees took parental leave and all returned to work.,Codex report review 2026-09-20,https://www.insage.com.my/BursaNews/Attachment/202604/20260430/MSM-AN20260430A1-2.pdf,15,SRC-035,SOURCE_FILES/SRC_035_MSM_Malaysia_Holdings_Berhad.pdf,downloaded,924414bd4918658bfdde81529a14c2ea8b020cd05eb3a852d5d8002f62777485,239
Heineken Malaysia Berhad,HEIM,3255,Consumer Products & Services,Consumer Products & Services,New official-report finding,Report evidence completed,Heineken Malaysia Annual Report 2024,https://www.heinekenmalaysia.com/wp-content/uploads/2025/04/Interactive-Annual-Report-2024.pdf,ESG Review,Not disclosed,Yes,Not disclosed,Not disclosed,1,"Heineken Malaysia reports 337 employees eligible for parental leave, nine users and a 100% return-to-work rate in FY2024.",Codex report review 2026-09-20,https://www.heinekenmalaysia.com/wp-content/uploads/2025/04/Interactive-Annual-Report-2024.pdf,16,SRC-036,SOURCE_FILES/SRC_036_Heineken_Malaysia_Berhad.pdf,downloaded,415ead836657a86e2fa75fb667db8e293a2faa3a765e2bc5940c0c606f57cc49,100
Guan Chong Berhad,GCB,5102,Consumer Products & Services,Consumer Products & Services,New official-report finding,Report evidence completed,Guan Chong Integrated Annual Report 2022,https://cdn1.i3investor.com/my/files/st88k/5102_GCB/annual/2022-12-31/5102_GCB_AnnualReport_2022-12-31_AR2022Part3_-895631921.pdf,121,Not disclosed,Yes,Not disclosed,Not disclosed,1,Guan Chong contractually provides parental leave across its production facilities; all 69 FY2022 users returned to work.,Codex report review 2026-09-20,https://cdn1.i3investor.com/my/files/st88k/5102_GCB/annual/2022-12-31/5102_GCB_AnnualReport_2022-12-31_AR2022Part3_-895631921.pdf,17,SRC-037,SOURCE_FILES/SRC_037_Guan_Chong_Berhad.pdf,downloaded,47c71080fa16cac3db6545429e23a5e7d7326b268c901adc6d9692c035be1e17,191
Eco-Shop Marketing Berhad,ECOSHOP,5337,Consumer Products & Services,Consumer Products & Services,Verified report finding,Report evidence completed,Eco-Shop Annual Report 2025,https://investor.eco-shop.com.my/investor-relations/upload/file/Annual-Report-2025.pdf,57,Yes,Yes,Yes,Not disclosed,3,"The report discloses nursing rooms, parental leave and flexible work arrangements.",Codex report review 2026-09-20,https://investor.eco-shop.com.my/investor-relations/upload/file/Annual-Report-2025.pdf,18,SRC-038,SOURCE_FILES/SRC_038_Eco_Shop_Marketing_Berhad.pdf,downloaded,7f05e10b1d0cff36814f908222e91cef4b34f6775e88844e31e4c0cad671a6d7,188
Oriental Holdings Berhad,ORIENT,4006,Consumer Products & Services,Consumer Products & Services,Verified report finding,Report evidence completed,Oriental Holdings Sustainability Report 2023,https://ohb.com.my/storage/371/Sustainability-Report-FY2023.pdf,67,Not disclosed,Yes,Not disclosed,Not disclosed,1,Parental-leave eligibility and participation are disclosed.,Codex report review 2026-09-20,https://ohb.com.my/storage/371/Sustainability-Report-FY2023.pdf,19,SRC-039,SOURCE_FILES/SRC_039_Oriental_Holdings_Berhad.pdf,downloaded,94562600be980c2ee6ca8a47bfc2d6edc558437ac9f56b52dae57facc08fb456,95
MST Golf Group Berhad,MSTGOLF,5316,Consumer Products & Services,Consumer Products & Services,Same-sector report-qualified replacement,Report evidence completed,MST Golf Annual Report 2024,https://www.insage.com.my/BursaNews/Attachment/202504/20250425/MSTGOLF-AN20250425A2-2.pdf,62-64,Not disclosed,Yes,Yes,Not disclosed,2,The report discloses parental leave and flexible working arrangements.,Codex report review 2026-09-20,https://www.insage.com.my/BursaNews/Attachment/202504/20250425/MSTGOLF-AN20250425A2-2.pdf,20,SRC-040,SOURCE_FILES/SRC_040_MST_Golf_Group_Berhad.pdf,downloaded,534d5eb94f59522c3a83705c111590ec30be463d34a6e98c56b5f42761dcddae,219
Deleum Berhad,DELEUM,5132,Energy,Energy,Existing report-qualified evidence,Report evidence completed,Deleum Berhad Annual Report 2025,https://deleum.com/images/annualReport/AGM2026/%5BWEBSITE%5D%20Deleum%20AR2025.pdf,85,Not disclosed,Yes,Yes,Not disclosed,2,flexitime | maternity leave | paternity leave,Pending second-person QA,https://deleum.com/images/annualReport/AGM2026/%5BWEBSITE%5D%20Deleum%20AR2025.pdf,1,SRC-041,SOURCE_FILES/SRC_041_Deleum_Berhad.pdf,downloaded,7262c21f52df0a85336caf4a67c90c7e47a3c0b378cdf5bb18efb0dff0e1d296,302
