"role_id","masco2020_title","current_database_release_title","action"
"M325302","Community Health Promoter","Village Health Worker","Do not append/overwrite by role_id; version-aware migration or a separate database is required."
"M325606","Radiographist Equipment, Medical, General","Ophthalmic Assistant","Do not append/overwrite by role_id; version-aware migration or a separate database is required."
"M325703","Public Health Unit Inspector","Product Quality Inspector","Do not append/overwrite by role_id; version-aware migration or a separate database is required."
"M325705","Occupational Safety and Health Inspector","Mine Safety Inspector","Do not append/overwrite by role_id; version-aware migration or a separate database is required."
"M325802","Ambulance Officer","Emergency Paramedic","Do not append/overwrite by role_id; version-aware migration or a separate database is required."
"M331401","Assistant Statistics Officer Grade E29","Assistant Statistics Officer Grade E5","Do not append/overwrite by role_id; version-aware migration or a separate database is required."
"M351101","Computer Technician Grade FT19","Computer Technician","Do not append/overwrite by role_id; version-aware migration or a separate database is required."
"M351105","Computer Technician","Engineering Assistant (Telecommunications)","Do not append/overwrite by role_id; version-aware migration or a separate database is required."
"M351203","Information Technology Technician","Computer Assistant","Do not append/overwrite by role_id; version-aware migration or a separate database is required."
"M351206","Computer Assistant","Computer Programming Assistant","Do not append/overwrite by role_id; version-aware migration or a separate database is required."
"M351207","Communications Assistant (ICT)","Call Centre Trainer","Do not append/overwrite by role_id; version-aware migration or a separate database is required."
"M351208","Database Assistant","Data Centre Supervisor","Do not append/overwrite by role_id; version-aware migration or a separate database is required."
"M351209","Computer Programming Assistant","Technical Support Technician","Do not append/overwrite by role_id; version-aware migration or a separate database is required."
"M351402","Web Technician","Creative Assistance","Do not append/overwrite by role_id; version-aware migration or a separate database is required."
"M352101","Audio-Visual Technician Grade N19","Cinematographer","Do not append/overwrite by role_id; version-aware migration or a separate database is required."
"M352102","Cinematographer","Motion Picture Assistant","Do not append/overwrite by role_id; version-aware migration or a separate database is required."
"M352105","Motion Picture Assistant","Broadcast Technician","Do not append/overwrite by role_id; version-aware migration or a separate database is required."
"M352108","Sound Mixer","Videographer","Do not append/overwrite by role_id; version-aware migration or a separate database is required."
"M352111","Ships Radio Officer","Audio-Visual Technician Grade N1, N2, N3, N4","Do not append/overwrite by role_id; version-aware migration or a separate database is required."
"M363201","Designer Grade B19","Interior Designer","Do not append/overwrite by role_id; version-aware migration or a separate database is required."
"M431201","Administrative Assistant (Finance) Grade W19","Statistical Clerk","Do not append/overwrite by role_id; version-aware migration or a separate database is required."
"M431215","Finance Clerk","Actuarial Assistant","Do not append/overwrite by role_id; version-aware migration or a separate database is required."
"M431217","Brokerage Clerk","Leasing Assistant","Do not append/overwrite by role_id; version-aware migration or a separate database is required."
"M431218","Insurance clerk","Administrative Assistant (Finance) Grade W1","Do not append/overwrite by role_id; version-aware migration or a separate database is required."
"M431219","Tax Clerk","Statistical Assistant Grade E1","Do not append/overwrite by role_id; version-aware migration or a separate database is required."
"M818202","Boilerman","Competent Person (CP) - Internal Combustion Engine Driver","Do not append/overwrite by role_id; version-aware migration or a separate database is required."
